,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
0,Reggie Williams,2007,VMI,33,32.4,28.1,7.9,12.1,65.8%,2.3,7.2,31.9%,5.3,8.1,65.9%,3.3,4.6,8.0,4.4,1.7,0.3,3.0,2.0
1,Trey Johnson,2007,Jackson St,35,37.8,27.1,6.6,14.7,45.0%,2.3,6.8,33.3%,7.0,9.5,74.3%,1.3,3.2,4.5,2.6,0.9,0.1,3.6,1.8
2,Morris Almond,2007,Rice,32,33.4,26.4,5.8,11.7,49.6%,2.4,5.3,45.6%,7.5,8.9,84.6%,1.3,5.2,6.6,1.2,1.2,0.8,3.4,2.1
3,Kevin Durant,2007,Texas,35,35.9,25.8,6.4,12.7,50.5%,2.3,5.8,40.4%,6.0,7.3,81.6%,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0
4,Gary Neal,2007,Towson,32,36.5,25.3,5.4,10.0,54.2%,2.9,8.7,33.5%,5.7,6.8,83.6%,0.9,3.3,4.2,3.5,1.4,0.2,2.3,2.1
5,Bo McCalebb,2007,New Orleans,31,34.5,25.0,8.4,16.9,49.9%,0.8,2.5,33.3%,5.7,8.0,71.0%,2.5,4.4,6.8,3.3,2.0,0.2,2.8,2.8
6,Rodney Stuckey,2007,Eastern Wash.,29,33.3,24.6,6.3,11.7,54.1%,1.5,5.6,26.7%,7.4,8.8,84.6%,1.2,3.4,4.7,5.5,2.4,0.3,3.4,2.3
7,Gerald Brown,2007,Loyola MD,29,35.1,22.2,5.1,10.2,49.7%,2.0,5.8,34.3%,6.0,8.1,74.8%,1.3,3.7,5.0,2.7,1.9,0.4,4.1,3.4
8,Stephen Curry,2007,Davidson,34,30.9,21.5,3.5,6.6,53.6%,3.6,8.8,40.8%,3.6,4.3,85.5%,0.9,3.7,4.6,2.8,1.8,0.2,2.8,2.6
9,Jaycee Carroll,2007,Utah St,35,35.9,21.3,4.9,8.4,58.8%,2.4,5.5,43.2%,4.3,4.9,88.8%,2.3,4.0,6.3,1.8,0.9,0.2,2.5,2.2
10,Alex Harris,2007,UCSB,29,35.1,21.1,4.1,8.5,48.8%,2.4,5.3,45.8%,5.4,6.9,78.6%,1.2,3.6,4.8,2.1,0.9,0.1,2.7,1.9
11,Adrian Banks,2007,Arkansas St,33,36.9,21.1,4.1,8.0,51.1%,2.9,6.2,47.5%,4.1,5.5,73.2%,0.8,3.6,4.4,1.9,0.9,0.1,2.6,1.2
12,Arizona Reid,2007,High Point,32,33.2,21.0,8.3,15.7,52.8%,0.6,1.8,34.5%,2.5,3.8,65.9%,3.1,6.4,9.5,1.9,1.2,0.5,2.8,2.8
13,Kyle Hines,2007,UNCG,29,32.0,20.9,8.0,14.3,56.0%,0.0,0.2,16.7%,4.8,7.9,60.0%,3.4,5.6,9.0,0.9,1.4,2.2,2.6,2.9
14,Chris Lofton,2007,Tennessee,31,29.6,20.8,3.2,5.6,56.6%,3.4,8.2,41.9%,4.2,5.1,81.1%,1.1,2.0,3.1,1.7,1.5,0.1,1.6,1.6
15,Loren Stokes,2007,Hofstra,33,37.9,20.6,6.3,12.7,49.9%,0.9,2.5,37.3%,5.1,7.6,67.1%,1.2,4.4,5.6,3.0,1.2,0.3,2.7,2.1
16,Charron Fisher,2007,Niagara,27,33.5,20.6,5.6,11.5,48.7%,1.4,3.8,36.3%,5.3,6.9,76.8%,2.8,5.3,8.0,1.1,0.9,0.5,3.0,2.5
17,Adam Haluska,2007,Iowa,31,34.5,20.5,3.2,7.0,45.9%,2.9,8.0,36.3%,5.4,6.2,87.0%,0.9,3.8,4.6,2.6,1.4,0.3,1.7,1.7
18,Caleb Green,2007,Oral Roberts,34,34.8,20.5,5.9,11.6,50.8%,0.2,0.5,35.3%,8.2,10.8,76.0%,2.8,6.5,9.3,2.6,1.4,0.4,4.0,2.9
19,DeAndre Rice,2007,Fla Atlantic,21,34.2,20.5,3.4,6.4,52.6%,3.2,6.8,47.9%,4.0,5.0,79.2%,0.7,2.8,3.5,2.3,1.5,0.0,3.0,2.5
20,Nick Fazekas,2007,Nevada,32,30.3,20.4,6.9,11.6,59.1%,0.9,2.0,43.1%,4.0,4.7,84.8%,3.0,8.1,11.1,1.8,0.8,1.5,2.0,2.3
21,Larry Blair,2007,Liberty,31,33.0,20.4,6.0,11.8,50.5%,1.7,5.5,30.2%,3.4,4.0,84.7%,0.8,3.4,4.2,3.3,1.9,0.2,2.7,2.2
22,Bobby Brown,2007,CSUF,27,34.6,20.2,4.0,7.3,55.1%,3.0,7.6,38.8%,3.3,4.2,78.9%,0.6,2.1,2.7,5.1,1.3,0.1,3.6,2.4
23,Jason Thompson,2007,Rider,31,34.1,20.1,6.9,13.0,53.4%,0.2,0.7,27.3%,5.7,7.8,72.4%,3.0,7.1,10.1,2.1,0.7,2.2,3.0,3.3
24,Adam Gore,2007,Cornell,1,36.0,20.0,2.0,3.0,66.7%,5.0,10.0,50.0%,1.0,1.0,100.0%,0.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0
25,Reggie Williams,2007,VMI,33,32.4,28.1,7.9,12.1,65.8%,2.3,7.2,31.9%,5.3,8.1,65.9%,3.3,4.6,8.0,4.4,1.7,0.3,3.0,2.0
26,Trey Johnson,2007,Jackson St,35,37.8,27.1,6.6,14.7,45.0%,2.3,6.8,33.3%,7.0,9.5,74.3%,1.3,3.2,4.5,2.6,0.9,0.1,3.6,1.8
27,Morris Almond,2007,Rice,32,33.4,26.4,5.8,11.7,49.6%,2.4,5.3,45.6%,7.5,8.9,84.6%,1.3,5.2,6.6,1.2,1.2,0.8,3.4,2.1
28,Kevin Durant,2007,Texas,35,35.9,25.8,6.4,12.7,50.5%,2.3,5.8,40.4%,6.0,7.3,81.6%,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0
29,Gary Neal,2007,Towson,32,36.5,25.3,5.4,10.0,54.2%,2.9,8.7,33.5%,5.7,6.8,83.6%,0.9,3.3,4.2,3.5,1.4,0.2,2.3,2.1
30,Bo McCalebb,2007,New Orleans,31,34.5,25.0,8.4,16.9,49.9%,0.8,2.5,33.3%,5.7,8.0,71.0%,2.5,4.4,6.8,3.3,2.0,0.2,2.8,2.8
31,Rodney Stuckey,2007,Eastern Wash.,29,33.3,24.6,6.3,11.7,54.1%,1.5,5.6,26.7%,7.4,8.8,84.6%,1.2,3.4,4.7,5.5,2.4,0.3,3.4,2.3
32,Gerald Brown,2007,Loyola MD,29,35.1,22.2,5.1,10.2,49.7%,2.0,5.8,34.3%,6.0,8.1,74.8%,1.3,3.7,5.0,2.7,1.9,0.4,4.1,3.4
33,Stephen Curry,2007,Davidson,34,30.9,21.5,3.5,6.6,53.6%,3.6,8.8,40.8%,3.6,4.3,85.5%,0.9,3.7,4.6,2.8,1.8,0.2,2.8,2.6
34,Jaycee Carroll,2007,Utah St,35,35.9,21.3,4.9,8.4,58.8%,2.4,5.5,43.2%,4.3,4.9,88.8%,2.3,4.0,6.3,1.8,0.9,0.2,2.5,2.2
35,Alex Harris,2007,UCSB,29,35.1,21.1,4.1,8.5,48.8%,2.4,5.3,45.8%,5.4,6.9,78.6%,1.2,3.6,4.8,2.1,0.9,0.1,2.7,1.9
36,Adrian Banks,2007,Arkansas St,33,36.9,21.1,4.1,8.0,51.1%,2.9,6.2,47.5%,4.1,5.5,73.2%,0.8,3.6,4.4,1.9,0.9,0.1,2.6,1.2
37,Arizona Reid,2007,High Point,32,33.2,21.0,8.3,15.7,52.8%,0.6,1.8,34.5%,2.5,3.8,65.9%,3.1,6.4,9.5,1.9,1.2,0.5,2.8,2.8
38,Kyle Hines,2007,UNCG,29,32.0,20.9,8.0,14.3,56.0%,0.0,0.2,16.7%,4.8,7.9,60.0%,3.4,5.6,9.0,0.9,1.4,2.2,2.6,2.9
39,Chris Lofton,2007,Tennessee,31,29.6,20.8,3.2,5.6,56.6%,3.4,8.2,41.9%,4.2,5.1,81.1%,1.1,2.0,3.1,1.7,1.5,0.1,1.6,1.6
40,Loren Stokes,2007,Hofstra,33,37.9,20.6,6.3,12.7,49.9%,0.9,2.5,37.3%,5.1,7.6,67.1%,1.2,4.4,5.6,3.0,1.2,0.3,2.7,2.1
41,Charron Fisher,2007,Niagara,27,33.5,20.6,5.6,11.5,48.7%,1.4,3.8,36.3%,5.3,6.9,76.8%,2.8,5.3,8.0,1.1,0.9,0.5,3.0,2.5
42,Adam Haluska,2007,Iowa,31,34.5,20.5,3.2,7.0,45.9%,2.9,8.0,36.3%,5.4,6.2,87.0%,0.9,3.8,4.6,2.6,1.4,0.3,1.7,1.7
43,Caleb Green,2007,Oral Roberts,34,34.8,20.5,5.9,11.6,50.8%,0.2,0.5,35.3%,8.2,10.8,76.0%,2.8,6.5,9.3,2.6,1.4,0.4,4.0,2.9
44,DeAndre Rice,2007,Fla Atlantic,21,34.2,20.5,3.4,6.4,52.6%,3.2,6.8,47.9%,4.0,5.0,79.2%,0.7,2.8,3.5,2.3,1.5,0.0,3.0,2.5
45,Nick Fazekas,2007,Nevada,32,30.3,20.4,6.9,11.6,59.1%,0.9,2.0,43.1%,4.0,4.7,84.8%,3.0,8.1,11.1,1.8,0.8,1.5,2.0,2.3
46,Larry Blair,2007,Liberty,31,33.0,20.4,6.0,11.8,50.5%,1.7,5.5,30.2%,3.4,4.0,84.7%,0.8,3.4,4.2,3.3,1.9,0.2,2.7,2.2
47,Bobby Brown,2007,CSUF,27,34.6,20.2,4.0,7.3,55.1%,3.0,7.6,38.8%,3.3,4.2,78.9%,0.6,2.1,2.7,5.1,1.3,0.1,3.6,2.4
48,Jason Thompson,2007,Rider,31,34.1,20.1,6.9,13.0,53.4%,0.2,0.7,27.3%,5.7,7.8,72.4%,3.0,7.1,10.1,2.1,0.7,2.2,3.0,3.3
49,Adam Gore,2007,Cornell,1,36.0,20.0,2.0,3.0,66.7%,5.0,10.0,50.0%,1.0,1.0,100.0%,0.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0
50,Reggie Williams,2007,VMI,33,32.4,28.1,7.9,12.1,65.8%,2.3,7.2,31.9%,5.3,8.1,65.9%,3.3,4.6,8.0,4.4,1.7,0.3,3.0,2.0
51,Trey Johnson,2007,Jackson St,35,37.8,27.1,6.6,14.7,45.0%,2.3,6.8,33.3%,7.0,9.5,74.3%,1.3,3.2,4.5,2.6,0.9,0.1,3.6,1.8
52,Morris Almond,2007,Rice,32,33.4,26.4,5.8,11.7,49.6%,2.4,5.3,45.6%,7.5,8.9,84.6%,1.3,5.2,6.6,1.2,1.2,0.8,3.4,2.1
53,Kevin Durant,2007,Texas,35,35.9,25.8,6.4,12.7,50.5%,2.3,5.8,40.4%,6.0,7.3,81.6%,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0
54,Gary Neal,2007,Towson,32,36.5,25.3,5.4,10.0,54.2%,2.9,8.7,33.5%,5.7,6.8,83.6%,0.9,3.3,4.2,3.5,1.4,0.2,2.3,2.1
55,Bo McCalebb,2007,New Orleans,31,34.5,25.0,8.4,16.9,49.9%,0.8,2.5,33.3%,5.7,8.0,71.0%,2.5,4.4,6.8,3.3,2.0,0.2,2.8,2.8
56,Rodney Stuckey,2007,Eastern Wash.,29,33.3,24.6,6.3,11.7,54.1%,1.5,5.6,26.7%,7.4,8.8,84.6%,1.2,3.4,4.7,5.5,2.4,0.3,3.4,2.3
57,Gerald Brown,2007,Loyola MD,29,35.1,22.2,5.1,10.2,49.7%,2.0,5.8,34.3%,6.0,8.1,74.8%,1.3,3.7,5.0,2.7,1.9,0.4,4.1,3.4
58,Stephen Curry,2007,Davidson,34,30.9,21.5,3.5,6.6,53.6%,3.6,8.8,40.8%,3.6,4.3,85.5%,0.9,3.7,4.6,2.8,1.8,0.2,2.8,2.6
59,Jaycee Carroll,2007,Utah St,35,35.9,21.3,4.9,8.4,58.8%,2.4,5.5,43.2%,4.3,4.9,88.8%,2.3,4.0,6.3,1.8,0.9,0.2,2.5,2.2
60,Alex Harris,2007,UCSB,29,35.1,21.1,4.1,8.5,48.8%,2.4,5.3,45.8%,5.4,6.9,78.6%,1.2,3.6,4.8,2.1,0.9,0.1,2.7,1.9
61,Adrian Banks,2007,Arkansas St,33,36.9,21.1,4.1,8.0,51.1%,2.9,6.2,47.5%,4.1,5.5,73.2%,0.8,3.6,4.4,1.9,0.9,0.1,2.6,1.2
62,Arizona Reid,2007,High Point,32,33.2,21.0,8.3,15.7,52.8%,0.6,1.8,34.5%,2.5,3.8,65.9%,3.1,6.4,9.5,1.9,1.2,0.5,2.8,2.8
63,Kyle Hines,2007,UNCG,29,32.0,20.9,8.0,14.3,56.0%,0.0,0.2,16.7%,4.8,7.9,60.0%,3.4,5.6,9.0,0.9,1.4,2.2,2.6,2.9
64,Chris Lofton,2007,Tennessee,31,29.6,20.8,3.2,5.6,56.6%,3.4,8.2,41.9%,4.2,5.1,81.1%,1.1,2.0,3.1,1.7,1.5,0.1,1.6,1.6
65,Loren Stokes,2007,Hofstra,33,37.9,20.6,6.3,12.7,49.9%,0.9,2.5,37.3%,5.1,7.6,67.1%,1.2,4.4,5.6,3.0,1.2,0.3,2.7,2.1
66,Charron Fisher,2007,Niagara,27,33.5,20.6,5.6,11.5,48.7%,1.4,3.8,36.3%,5.3,6.9,76.8%,2.8,5.3,8.0,1.1,0.9,0.5,3.0,2.5
67,Adam Haluska,2007,Iowa,31,34.5,20.5,3.2,7.0,45.9%,2.9,8.0,36.3%,5.4,6.2,87.0%,0.9,3.8,4.6,2.6,1.4,0.3,1.7,1.7
68,Caleb Green,2007,Oral Roberts,34,34.8,20.5,5.9,11.6,50.8%,0.2,0.5,35.3%,8.2,10.8,76.0%,2.8,6.5,9.3,2.6,1.4,0.4,4.0,2.9
69,DeAndre Rice,2007,Fla Atlantic,21,34.2,20.5,3.4,6.4,52.6%,3.2,6.8,47.9%,4.0,5.0,79.2%,0.7,2.8,3.5,2.3,1.5,0.0,3.0,2.5
70,Nick Fazekas,2007,Nevada,32,30.3,20.4,6.9,11.6,59.1%,0.9,2.0,43.1%,4.0,4.7,84.8%,3.0,8.1,11.1,1.8,0.8,1.5,2.0,2.3
71,Larry Blair,2007,Liberty,31,33.0,20.4,6.0,11.8,50.5%,1.7,5.5,30.2%,3.4,4.0,84.7%,0.8,3.4,4.2,3.3,1.9,0.2,2.7,2.2
