,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
0,Corey Wickware,2010,SIU Edwardsville,1,44.0,26.0,0.0,5.0,0.0%,4.0,7.0,57.1%,14.0,14.0,100.0%,1.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0
1,Aubrey Coleman,2010,Houston,32,36.8,25.7,7.3,16.3,44.6%,1.4,4.7,30.2%,6.9,9.4,73.8%,2.5,5.1,7.6,2.5,2.7,0.2,2.1,2.0
2,Charlie Westbrook,2010,South Dakota,1,38.0,24.0,11.0,21.0,52.4%,0.0,2.0,0.0%,2.0,3.0,66.7%,4.0,4.0,8.0,0.0,2.0,2.0,1.0,3.0
3,Adrian Oliver,2010,San Jose St,30,36.4,22.9,5.8,13.0,44.9%,1.7,4.1,41.5%,6.2,6.9,88.9%,1.4,3.7,5.1,2.8,0.9,0.5,3.1,3.0
4,Adnan Hodzic,2010,Lipscomb,29,32.7,22.7,9.0,14.9,60.3%,0.0,0.0,0.0%,4.7,7.0,66.5%,3.4,5.7,9.1,0.8,0.5,0.4,2.7,2.2
5,Devan Downey,2010,South Carolina,31,34.0,22.5,5.4,12.6,43.1%,2.2,6.5,34.2%,5.0,6.0,83.4%,0.5,2.7,3.3,3.5,2.7,0.0,3.5,2.3
6,James Anderson,2010,Oklahoma St,34,33.9,22.4,4.6,8.4,55.1%,2.2,6.5,34.1%,6.5,8.0,81.6%,1.9,3.9,5.8,2.4,1.4,0.6,2.3,2.6
7,Marquez Haynes,2010,Texas Arlington,26,33.4,22.3,5.0,9.7,52.0%,2.1,5.3,39.4%,6.0,8.2,73.4%,0.7,3.4,4.1,3.7,1.5,0.3,3.8,2.2
8,Luke Babbitt,2010,Nevada,33,37.5,22.0,6.2,11.9,51.7%,1.3,3.0,42.0%,5.9,6.4,92.0%,2.1,6.8,8.9,2.1,1.0,0.8,2.4,2.6
9,Landry Fields,2010,Stanford,32,36.3,22.0,6.8,13.1,52.1%,0.9,2.7,33.7%,5.6,8.0,69.7%,2.5,6.2,8.8,2.8,1.6,0.8,2.6,2.0
10,Reggie Holmes,2010,Morgan St,35,33.2,21.9,3.5,8.4,41.5%,2.8,7.7,36.3%,6.5,7.9,81.7%,1.5,2.7,4.1,0.8,1.5,0.2,2.0,2.3
11,David Kool,2010,Western Mich,32,35.7,21.8,4.8,9.8,49.5%,1.9,5.4,34.9%,6.5,7.3,89.7%,1.1,3.1,4.2,2.7,1.8,0.0,2.3,1.7
12,Luke Harangody,2010,Notre Dame,30,33.0,21.8,7.3,14.2,51.4%,0.8,2.7,30.9%,4.7,5.9,78.7%,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3
13,Michael Deloach,2010,Norfolk St,30,35.9,21.7,6.7,12.0,56.3%,1.2,3.8,31.3%,4.7,6.9,67.3%,0.9,3.5,4.4,3.3,2.6,0.1,4.1,3.1
14,Jimmer Fredette,2010,BYU,32,30.5,21.7,4.2,9.0,46.4%,2.3,5.1,44.8%,6.4,7.2,89.6%,0.8,2.4,3.1,4.7,1.2,0.1,2.6,1.0
15,Dominique Jones,2010,South Florida,33,37.1,21.4,5.2,9.9,52.1%,1.6,5.1,31.1%,6.3,8.5,74.1%,1.1,5.0,6.1,3.6,1.7,0.6,2.9,2.8
