,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Marcus Schroeder,2007,Princeton,28,38.8,6.5,5.8,0.75,0.49,0.45,0.30,0.43,3.11,0.54,1.61,0.47,1.8,0.0,2.2
1,Brian Johnson,2007,Delaware,31,38.5,9.6,8.1,0.77,0.51,0.45,0.38,0.49,4.19,0.52,1.53,0.15,1.1,0.0,2.9
2,Jared Dudley,2007,Boston College,30,38.4,19.0,11.6,1.10,0.66,0.62,0.55,0.25,3.00,0.26,1.15,-1.58,1.4,0.3,2.2
3,Antoine Agudio,2007,Hofstra,33,38.1,19.9,14.8,1.03,0.59,0.56,0.32,0.48,2.45,0.17,1.09,-1.66,1.2,0.1,1.9
4,Jarrius Jackson,2007,Texas Tech,34,38.0,19.9,15.2,1.03,0.56,0.51,0.37,0.35,1.76,0.12,1.28,-0.55,1.4,0.0,1.6
5,Joey Butler,2007,Mt. St. Marys,2,38.0,6.5,8.5,0.53,0.35,0.38,0.18,0.47,5.00,0.59,1.67,0.91,1.0,0.0,2.0
6,Derek Coleman,2007,Robert Morris,28,38.0,12.8,9.2,0.91,0.61,0.55,0.33,0.60,5.43,0.59,1.63,0.77,1.0,0.0,2.9
7,Jared Jordan,2007,Marist,33,37.9,17.2,14.1,0.86,0.53,0.48,0.36,0.41,8.67,0.62,2.60,6.36,1.4,0.1,1.6
8,Loren Stokes,2007,Hofstra,33,37.9,20.6,15.2,0.95,0.55,0.51,0.50,0.17,3.03,0.20,1.12,-1.86,1.2,0.3,2.1
9,Trey Johnson,2007,Jackson St,35,37.8,27.1,21.5,0.91,0.53,0.47,0.44,0.32,2.57,0.12,0.71,-4.79,0.9,0.1,1.8
10,Torey Thomas,2007,Holy Cross,34,37.6,13.7,10.3,0.80,0.53,0.44,0.58,0.34,4.71,0.46,1.19,-2.39,2.8,0.0,2.7
11,Jamie McNeilly,2007,New Orleans,30,37.6,15.1,11.7,0.99,0.58,0.54,0.28,0.44,3.00,0.26,1.53,0.09,1.6,0.2,2.5
12,Bobby Kelly,2007,Northeastern,32,37.5,11.1,8.9,0.95,0.57,0.54,0.21,0.55,2.38,0.27,1.33,-0.56,1.0,0.2,1.1
13,Terrance Mouton,2007,Rider,30,37.5,13.0,10.9,0.86,0.52,0.48,0.31,0.52,4.27,0.39,1.64,0.64,0.8,0.1,2.6
14,Gabriel Moore,2007,Indiana St,31,37.5,11.5,9.7,0.80,0.50,0.41,0.44,0.38,3.90,0.40,1.53,0.16,1.8,0.1,2.0
15,Rob McKiver,2007,Houston,33,37.5,19.2,16.1,0.89,0.53,0.49,0.30,0.64,3.39,0.21,1.13,-1.96,1.3,0.0,2.1
16,Will Whittington,2007,Marist,34,37.4,17.6,13.4,1.03,0.58,0.54,0.28,0.76,1.71,0.13,1.00,-1.50,1.0,0.1,2.3
17,Akbar Abdul-Ahad,2007,Idaho St,30,37.2,13.2,10.1,0.92,0.57,0.53,0.33,0.68,4.07,0.40,1.56,0.32,1.4,0.0,1.2
18,Brad Jones,2007,Wyoming,30,37.1,18.1,13.2,0.83,0.54,0.44,0.64,0.26,4.50,0.34,1.04,-3.44,1.5,0.1,3.0
19,Paul Delaney,2007,UAB,31,37.1,15.5,11.0,0.86,0.55,0.49,0.61,0.22,5.16,0.47,1.45,-0.30,1.9,0.3,2.6
20,Kevin Kanaskie,2007,Middle Tenn,32,37.0,12.2,9.6,0.84,0.54,0.48,0.40,0.60,5.78,0.60,1.93,2.45,1.0,0.1,2.9
21,JamesOn Curry,2007,Oklahoma St,35,37.0,17.3,12.8,0.97,0.59,0.55,0.32,0.48,3.74,0.29,1.20,-1.63,1.2,0.3,2.1
22,Jerry Smith,2007,Samford,32,37.0,10.3,6.5,0.95,0.63,0.57,0.59,0.46,3.78,0.58,1.57,0.38,1.1,0.0,1.9
23,Brandon Ewing,2007,Wyoming,31,37.0,19.9,13.6,0.98,0.58,0.50,0.57,0.39,3.06,0.22,1.14,-1.64,1.3,0.1,2.8
24,Adrian Banks,2007,Arkansas St,33,36.9,21.1,14.2,1.08,0.63,0.60,0.39,0.44,1.91,0.13,0.74,-3.38,0.9,0.1,1.2
25,Brandon Heath,2007,San Diego St,33,36.9,19.3,16.2,0.90,0.54,0.50,0.25,0.46,3.64,0.22,1.15,-1.87,1.9,0.1,1.6
26,Ibrahim Jaaber,2007,Penn,31,36.9,15.9,11.6,0.95,0.59,0.56,0.36,0.31,5.16,0.44,1.76,1.34,2.9,0.5,2.2
27,Quinton Day,2007,UMKC,32,36.9,16.9,14.3,0.87,0.54,0.50,0.24,0.53,4.09,0.29,1.20,-1.92,1.7,0.0,1.6
28,Aaron Brooks,2007,Oregon,35,36.8,17.7,13.2,1.00,0.59,0.55,0.29,0.43,4.26,0.32,1.67,0.81,1.4,0.2,2.5
29,Jim Goffredo,2007,Harvard,28,36.8,15.4,13.2,0.88,0.52,0.45,0.29,0.59,1.32,0.10,0.58,-3.69,1.1,0.1,2.4
30,Herb Courtney,2007,Delaware,31,36.7,18.1,14.5,0.88,0.52,0.47,0.43,0.29,1.26,0.09,0.44,-5.91,1.5,1.7,2.8
31,David Barlow,2007,IUPUI,30,36.7,12.6,9.5,0.87,0.54,0.45,0.52,0.45,3.47,0.36,1.33,-0.83,1.7,0.1,1.9
32,Tre Kelley,2007,South Carolina,29,36.7,18.9,15.7,0.92,0.54,0.50,0.26,0.35,5.14,0.33,1.80,1.68,0.9,0.2,2.3
33,Chris Oliver,2007,Radford,30,36.6,18.8,15.1,0.91,0.55,0.50,0.32,0.14,2.07,0.14,0.66,-4.47,1.9,1.3,1.8
34,Tyrese Rice,2007,Boston College,33,36.6,17.6,12.2,0.95,0.59,0.53,0.47,0.45,5.39,0.44,1.62,0.72,1.2,0.3,1.7
35,Andre Harris,2007,Fairleigh Dickinson,30,36.6,18.8,15.4,0.91,0.53,0.50,0.31,0.07,1.37,0.09,0.51,-4.64,1.4,1.2,2.8
36,Ryan Evanochko,2007,Green Bay,33,36.6,15.0,12.6,0.84,0.50,0.42,0.44,0.21,5.24,0.42,2.14,2.99,0.9,0.0,1.6
37,Tristan Blackwood,2007,CCSU,34,36.6,17.1,13.6,0.94,0.57,0.52,0.23,0.68,4.12,0.30,1.33,-0.97,1.2,0.0,1.9
38,Brandon Wallace,2007,South Carolina,30,36.5,9.9,8.4,0.84,0.51,0.49,0.36,0.20,1.93,0.23,1.02,-1.83,1.3,2.9,2.0
39,Gavin Grant,2007,N.C. State,36,36.5,14.7,10.6,0.84,0.57,0.51,0.49,0.24,3.81,0.36,0.91,-4.49,0.5,0.6,2.4
40,Gary Neal,2007,Towson,32,36.5,25.3,18.7,1.04,0.58,0.52,0.37,0.46,3.47,0.19,1.50,0.00,1.4,0.2,2.1
41,Mike Gordon,2007,Binghamton,29,36.4,11.0,9.5,0.89,0.52,0.50,0.25,0.53,4.03,0.43,2.39,2.77,2.4,0.4,2.6
42,Mark McAndrew,2007,Brown,29,36.4,15.8,9.4,1.06,0.67,0.59,0.58,0.60,2.21,0.23,0.80,-3.87,1.0,0.0,2.6
