,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Tyus Battle,2018,Syracuse,30,38.8,20.1,16.0,0.95,0.54,0.48,0.35,0.41,1.90,0.12,0.79,-3.14,1.6,0.2,2.0
1,Jon Elmore,2018,Marshall,28,38.3,22.6,15.5,0.98,0.60,0.52,0.50,0.47,6.61,0.43,1.81,1.79,1.6,0.4,1.6
2,Justin Wright-Foreman,2018,Hofstra,29,38.3,24.2,18.8,1.02,0.57,0.53,0.29,0.43,3.21,0.17,1.37,-0.54,0.8,0.2,2.0
3,Frank Howard,2018,Syracuse,30,38.2,15.4,13.9,0.80,0.49,0.46,0.27,0.42,5.13,0.37,1.48,-0.13,1.8,0.3,2.5
4,Ryan Daly,2018,Delaware,24,38.1,16.8,14.7,0.92,0.50,0.46,0.33,0.37,2.42,0.16,2.00,1.10,1.1,0.1,2.3
5,Ky Bowman,2018,Boston College,30,38.1,16.7,14.5,0.88,0.53,0.50,0.19,0.44,4.80,0.33,1.60,0.53,1.5,0.3,2.5
6,Jalen Adams,2018,Connecticut,28,38.0,18.4,16.4,0.88,0.52,0.48,0.20,0.31,4.64,0.28,1.65,0.75,1.6,0.3,1.5
7,RJ Cole,2018,Howard,30,38.0,23.6,18.5,0.90,0.54,0.48,0.41,0.48,5.90,0.32,1.54,0.26,1.7,0.0,2.6
8,Eric Lockett,2018,FIU,27,38.0,14.4,12.1,0.89,0.52,0.48,0.30,0.12,3.07,0.25,1.41,-0.35,1.1,0.4,2.4
9,O'Shae Brissett,2018,Syracuse,30,37.9,14.6,12.2,0.87,0.50,0.41,0.47,0.36,0.97,0.08,0.55,-3.18,1.1,0.6,2.3
10,Matthew Butler,2018,UT Martin,29,37.9,15.9,14.4,0.85,0.52,0.50,0.13,0.58,2.79,0.19,0.85,-3.84,0.9,0.1,2.0
11,Matt Mobley,2018,St. Bonaventure,28,37.9,18.4,13.4,1.02,0.59,0.52,0.38,0.60,2.36,0.18,1.08,-1.60,1.2,0.1,2.6
12,Kendrick Nunn,2018,Oakland,28,37.7,26.4,19.9,1.05,0.60,0.56,0.24,0.57,3.86,0.19,1.32,-0.90,1.5,0.3,2.3
13,Temple Gibbs,2018,Notre Dame,29,37.7,16.2,11.9,1.03,0.59,0.52,0.38,0.49,3.03,0.26,1.91,1.22,0.9,0.1,1.7
14,Nat Dixon,2018,Chattanooga,28,37.6,14.2,10.7,0.98,0.58,0.53,0.35,0.52,1.96,0.18,0.98,-1.89,1.0,0.3,1.8
15,Peyton Aldridge,2018,Davidson,29,37.6,21.3,16.0,1.09,0.59,0.55,0.28,0.39,2.41,0.15,1.89,0.94,0.4,0.6,1.6
16,Devonte Graham,2018,Kansas,30,37.4,17.7,12.7,0.98,0.59,0.53,0.41,0.56,7.20,0.57,2.70,5.62,1.6,0.1,1.6
17,Shamorie Ponds,2018,St. John's,27,37.3,21.9,18.3,0.91,0.53,0.46,0.32,0.34,5.00,0.27,1.73,1.17,2.5,0.1,1.8
18,Devin Cannady,2018,Princeton,27,37.2,16.9,12.6,1.07,0.60,0.56,0.25,0.55,1.67,0.13,1.10,-1.16,0.8,0.1,1.9
19,Aaron Holiday,2018,UCLA,29,37.2,19.6,13.2,0.99,0.62,0.55,0.46,0.43,5.76,0.44,1.58,0.48,1.4,0.2,2.7
20,Damontrae Jefferson,2018,Texas Southern,21,37.2,24.3,18.5,0.99,0.58,0.54,0.31,0.46,4.19,0.23,1.31,-1.02,1.1,0.0,2.4
21,Ahmad Caver,2018,Old Dominion,28,37.2,14.1,12.0,0.89,0.52,0.49,0.30,0.49,6.00,0.50,2.90,5.37,2.2,0.1,1.7
22,John Konchar,2018,IPFW,27,37.1,15.5,11.9,1.00,0.58,0.55,0.30,0.47,4.81,0.40,2.71,3.64,2.7,0.7,2.0
