,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Antoine Agudio,2008,Hofstra,27,39.1,22.7,17.8,0.94,0.56,0.52,0.31,0.43,2.85,0.16,0.80,-4.14,1.1,0.0,1.8
1,Manny Ubilla,2008,Fairleigh Dickinson,28,38.4,20.8,14.6,0.98,0.61,0.55,0.40,0.53,4.86,0.33,1.30,-1.30,1.5,0.3,2.2
2,Jonathan Han,2008,Fairfield,30,38.3,11.7,7.9,0.91,0.63,0.59,0.41,0.52,6.20,0.79,1.81,1.98,1.7,0.1,2.1
3,Brian Laing,2008,Seton Hall,32,38.3,18.6,15.0,0.94,0.54,0.49,0.32,0.21,1.97,0.13,0.81,-2.83,1.6,0.5,2.8
4,Tyrese Rice,2008,Boston College,30,38.1,21.0,15.4,0.95,0.57,0.50,0.42,0.39,4.97,0.32,1.45,-0.31,1.6,0.2,2.2
5,K.J. Garland,2008,UNCA,32,38.0,13.3,11.2,0.87,0.53,0.50,0.27,0.42,5.97,0.53,2.25,3.39,1.3,0.0,1.4
6,Brandon Ewing,2008,Wyoming,30,38.0,17.2,12.5,0.92,0.58,0.51,0.43,0.45,4.03,0.32,1.17,-1.87,1.3,0.1,2.1
7,Ryan Toolson,2008,Utah Valley,29,37.9,23.4,15.2,1.14,0.66,0.59,0.37,0.54,2.90,0.19,1.14,-1.70,0.8,0.1,1.6
8,Derrick Mercer,2008,American,33,37.9,12.4,9.9,0.81,0.52,0.48,0.48,0.25,4.03,0.41,1.37,-0.72,1.0,0.0,1.9
9,Marcus Hall,2008,Colorado,32,37.6,14.0,11.2,0.95,0.57,0.55,0.21,0.39,4.00,0.36,1.80,1.30,1.8,0.2,1.9
10,Donovan Morris,2008,LBSU,31,37.5,21.2,14.1,1.01,0.62,0.55,0.48,0.41,2.32,0.16,0.69,-5.09,0.8,0.3,1.3
11,Quantez Robertson,2008,Auburn,30,37.5,7.8,6.0,0.87,0.55,0.50,0.41,0.49,4.07,0.68,2.30,2.51,2.1,0.2,2.6
12,Brian Johnson,2008,Delaware,31,37.5,9.5,7.3,0.83,0.54,0.48,0.47,0.45,5.19,0.72,2.15,2.89,1.2,0.0,2.7
13,Kevin Bell,2008,Fresno St,32,37.5,18.3,14.4,0.87,0.53,0.47,0.46,0.18,5.84,0.41,1.76,1.54,1.2,0.1,1.8
14,Mark Porter,2008,Wagner,31,37.4,16.3,12.3,0.83,0.53,0.45,0.55,0.37,5.55,0.45,1.37,-0.94,1.9,0.9,1.8
15,Mark Tyndale,2008,Temple,34,37.4,15.9,10.7,0.92,0.59,0.53,0.59,0.24,4.26,0.40,1.24,-1.64,1.6,0.6,2.2
16,Devan Downey,2008,South Carolina,32,37.4,18.4,16.1,0.88,0.51,0.47,0.26,0.29,5.38,0.33,1.98,2.34,3.2,0.2,2.0
17,Charron Fisher,2008,Niagara,29,37.4,27.6,22.2,0.91,0.52,0.45,0.44,0.34,1.17,0.05,0.38,-5.82,1.7,0.6,2.6
18,D.J. Augustin,2008,Texas,38,37.3,19.2,14.5,0.95,0.56,0.51,0.40,0.35,5.76,0.40,2.09,2.96,1.2,0.0,1.6
19,Jack Leasure,2008,CCU,28,37.3,16.8,13.1,1.04,0.60,0.57,0.15,0.73,2.29,0.17,1.12,-1.40,0.9,0.1,1.5
20,Jaycee Carroll,2008,Utah St,35,37.3,22.4,14.5,1.20,0.68,0.64,0.29,0.45,2.17,0.15,1.09,-1.50,0.9,0.2,1.9
21,Dionte Christmas,2008,Temple,34,37.2,19.7,14.1,1.00,0.60,0.55,0.40,0.59,2.53,0.18,0.90,-3.13,1.4,0.2,2.6
22,Jay Greene,2008,UMBC,33,37.2,8.8,6.2,0.95,0.62,0.59,0.31,0.75,7.15,1.16,3.47,7.59,1.3,0.1,2.1
