,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Kyle Griffin,2012,Siena,1,40.0,14.0,12.0,0.82,0.58,0.58,0.00,0.58,1.00,0.08,0.20,-10.89,1.0,0.0,1.0
1,Vincent Council,2012,Providence,31,38.7,15.9,15.2,0.76,0.46,0.42,0.30,0.21,7.45,0.49,2.12,3.77,1.3,0.4,2.4
2,Brad Loesing,2012,Wofford,31,38.7,15.1,12.6,0.84,0.53,0.48,0.29,0.40,5.52,0.44,1.60,0.62,1.0,0.1,2.7
3,Bryce Cotton,2012,Providence,32,38.6,14.3,11.0,1.01,0.58,0.52,0.29,0.58,2.25,0.21,1.38,-0.33,1.0,0.2,1.6
4,Darrion Pellum,2012,Hampton,33,38.5,18.3,16.4,0.82,0.48,0.43,0.34,0.45,1.67,0.10,0.52,-5.23,1.2,0.3,2.0
5,Casey Walker,2012,Delaware St,26,38.5,13.5,11.6,0.98,0.54,0.52,0.17,0.62,0.65,0.06,0.57,-2.01,0.8,0.5,2.7
6,Kevin Jones,2012,West Virginia,33,38.3,19.9,15.5,1.06,0.58,0.54,0.26,0.25,1.24,0.08,0.98,-1.18,0.7,1.0,1.2
7,Maurice Jones,2012,USC,32,38.2,13.0,13.3,0.74,0.44,0.40,0.28,0.40,3.47,0.26,1.48,-0.09,1.8,0.0,1.6
8,Zack Rosen,2012,Penn,33,38.2,18.2,14.1,0.98,0.58,0.53,0.26,0.40,5.24,0.37,1.92,2.11,1.4,0.1,2.3
9,Ceola Clark,2012,Western Ill,30,38.0,13.8,9.7,1.07,0.63,0.60,0.30,0.61,4.73,0.49,2.78,4.24,1.5,0.1,1.6
10,Tim Abromaitis,2012,Notre Dame,2,38.0,14.0,15.0,0.69,0.41,0.33,0.30,0.37,2.50,0.17,0.83,-3.77,0.5,0.0,3.5
11,Frankie Dobbs,2012,Bryant,30,38.0,13.3,10.4,0.87,0.54,0.46,0.44,0.68,4.60,0.44,1.70,0.96,0.9,0.1,2.2
12,Matthew Dellavedova,2012,St Mary's,31,38.0,15.9,10.9,0.97,0.61,0.53,0.47,0.48,6.42,0.59,2.14,3.45,0.9,0.1,1.8
13,Kevin Giltner,2012,Wofford,31,38.0,14.9,12.6,0.94,0.54,0.51,0.20,0.59,1.87,0.15,0.94,-2.12,0.8,0.3,2.2
14,Eric Atkins,2012,Notre Dame,32,37.9,12.1,9.7,0.86,0.52,0.47,0.44,0.39,4.06,0.42,1.83,1.39,1.3,0.1,1.7
15,Kyle Downey,2012,Siena,31,37.8,13.3,12.1,0.80,0.50,0.45,0.23,0.26,3.06,0.25,1.01,-2.63,1.3,0.2,2.7
