,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Jay Straight,2005,Wyoming,28,39.6,18.0,14.8,0.83,0.53,0.47,0.36,0.39,5.29,0.36,1.25,-1.69,1.5,0.0,2.2
1,Steven Smith,2005,La Salle,39,39.6,21.0,16.6,0.86,0.54,0.48,0.37,0.24,2.08,0.12,0.45,-8.65,1.4,0.7,3.0
2,Rob Monroe,2005,Quinnipiac,26,39.1,22.7,16.3,0.95,0.58,0.49,0.47,0.49,6.54,0.40,1.77,1.61,1.3,0.0,2.8
3,Keydren Clark,2005,St. Peter's,28,38.7,25.8,20.3,0.98,0.56,0.50,0.32,0.52,4.11,0.20,1.42,-0.37,3.3,0.2,2.0
4,Chaz McCrommon,2005,Robert Morris,29,38.6,16.7,14.3,0.89,0.52,0.49,0.29,0.23,2.31,0.16,0.97,-2.23,1.5,1.1,1.9
5,Quinton Day,2005,UMKC,24,38.6,13.1,11.4,0.81,0.50,0.46,0.32,0.34,4.83,0.42,1.68,0.90,2.0,0.0,1.3
6,Daryll Hill,2005,St. John's,27,38.0,20.7,17.8,0.83,0.52,0.47,0.29,0.30,3.52,0.20,0.76,-6.05,1.8,0.4,2.3
7,Kevin Downey,2005,Canisius,29,37.8,16.5,14.0,0.91,0.54,0.52,0.19,0.35,3.66,0.26,1.31,-0.93,1.5,0.3,2.0
8,Cedrick Banks,2005,Ill Chicago,29,37.8,18.7,16.0,0.89,0.52,0.48,0.26,0.48,2.52,0.16,0.88,-3.18,1.2,0.3,2.0
9,Mardy Collins,2005,Temple,30,37.6,17.5,15.4,0.86,0.50,0.47,0.32,0.38,3.63,0.24,1.45,-0.23,2.8,0.4,2.3
10,Brian Swift,2005,South Florida,30,37.5,15.9,12.9,0.92,0.56,0.51,0.24,0.54,5.37,0.42,1.87,1.90,1.2,0.0,2.2
11,Hakim Warrick,2005,Syracuse,34,37.5,21.4,13.6,1.03,0.61,0.56,0.67,0.07,1.47,0.11,0.58,-4.06,1.0,0.8,2.3
12,Chris Thomas,2005,Notre Dame,29,37.5,14.2,13.1,0.79,0.48,0.41,0.29,0.40,6.72,0.51,2.24,4.20,2.1,0.2,1.7
13,DaShaun Wood,2005,Wright St,30,37.5,15.2,11.3,0.91,0.56,0.52,0.46,0.20,3.70,0.33,1.31,-1.07,1.6,0.1,2.1
