,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Bryce Cotton,2014,Providence,35,39.9,21.8,15.7,1.00,0.57,0.49,0.48,0.38,5.86,0.37,2.41,3.81,1.0,0.1,1.5
1,Billy Baron,2014,Canisius,33,39.0,24.4,15.8,1.09,0.64,0.56,0.47,0.48,5.45,0.34,1.86,1.75,1.7,0.0,1.1
2,Tomas Sanchez,2014,Idaho St,27,38.6,15.2,11.3,0.88,0.55,0.47,0.48,0.50,4.19,0.37,1.33,-0.96,1.6,0.1,2.2
3,Deonte Burton,2014,Nevada,32,38.6,20.1,14.3,1.02,0.58,0.53,0.48,0.34,4.44,0.31,2.18,2.46,1.5,0.5,2.2
4,Rodney Glasgow,2014,VMI,31,38.5,19.0,14.1,1.06,0.60,0.56,0.27,0.44,5.97,0.42,3.08,4.76,1.2,0.0,1.9
5,Jerome Garrison,2014,Grand Canyon,26,38.3,17.0,10.5,1.03,0.61,0.52,0.73,0.43,2.08,0.20,0.98,-1.90,0.4,0.3,2.6
6,D.J. Balentine,2014,Evansville,31,38.3,22.4,16.2,0.99,0.57,0.49,0.47,0.37,4.10,0.25,1.59,0.39,0.6,0.1,1.7
7,Kendrick Perry,2014,Youngstown St,29,38.1,22.1,14.0,1.09,0.62,0.57,0.60,0.40,4.38,0.31,2.15,2.26,2.3,0.3,2.8
8,Andy Brown,2014,Stanford,1,38.0,12.0,8.0,0.89,0.50,0.44,1.13,0.38,4.00,0.50,4.00,4.36,5.0,1.0,0.0
9,Tyler Harvey,2014,Eastern Wash.,29,37.9,22.4,15.3,1.09,0.62,0.56,0.39,0.53,2.62,0.17,1.23,-0.99,1.2,0.3,2.3
10,Eric Atkins,2014,Notre Dame,32,37.8,13.9,11.7,0.92,0.53,0.51,0.26,0.44,4.88,0.42,2.56,3.70,1.2,0.2,2.3
11,Travis Bader,2014,Oakland,31,37.8,20.1,14.5,1.09,0.60,0.52,0.36,0.76,1.32,0.09,1.00,-1.12,0.9,0.1,3.1
12,Dalton Pepper,2014,Temple,31,37.8,17.5,14.7,0.99,0.55,0.53,0.15,0.49,2.39,0.16,1.42,-0.22,1.0,0.2,1.7
13,C.J. Fair,2014,Syracuse,34,37.8,16.5,14.9,0.85,0.49,0.45,0.28,0.17,1.26,0.09,0.51,-4.82,1.3,0.8,2.1
14,Patrick Miller,2014,Tennessee St,29,37.8,23.7,17.1,0.95,0.56,0.49,0.52,0.26,3.93,0.23,1.18,-1.93,1.6,0.1,3.0
15,Sean McGonagill,2014,Brown,28,37.6,17.7,14.1,0.99,0.56,0.52,0.29,0.58,3.46,0.25,1.98,1.43,1.3,0.0,2.5
