,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
66,Pierre Miller,2009,Presbyterian,29,35.7,7.8,6.9,0.76,0.51,0.50,0.24,0.73,2.90,0.42,1.12,-1.93,1.0,0.0,1.6
67,Jonathan Han,2009,Fairfield,21,35.7,12.5,9.7,0.83,0.55,0.51,0.39,0.57,5.33,0.55,1.53,0.23,1.3,0.1,2.3
68,Nick Weiermiller,2009,UTPA,27,35.7,10.7,8.7,0.82,0.55,0.52,0.26,0.53,5.63,0.64,1.83,1.88,1.6,0.0,2.4
69,Jeremy Wise,2009,Southern Miss,32,35.7,16.7,11.5,0.92,0.57,0.48,0.59,0.29,4.69,0.41,1.47,-0.18,1.3,0.3,2.9
70,Jordan Hill,2009,Arizona,34,35.7,18.3,13.8,0.95,0.57,0.54,0.38,0.00,1.47,0.11,0.52,-5.34,0.9,1.7,3.0
71,Kevin Kanaskie,2009,Middle Tenn,32,35.7,11.8,9.1,0.94,0.55,0.48,0.40,0.65,3.75,0.41,2.26,2.39,1.0,0.0,2.0
72,Craig Moore,2009,Northwestern,31,35.6,14.3,10.8,1.05,0.61,0.59,0.19,0.81,2.71,0.25,1.50,0.00,1.3,0.3,2.4
73,Alex Ruoff,2009,West Virginia,33,35.6,15.7,11.6,1.00,0.59,0.54,0.32,0.61,3.39,0.29,1.62,0.49,1.7,0.3,2.4
74,Alan Voskuil,2009,Texas Tech,33,35.6,13.8,9.7,1.10,0.63,0.58,0.30,0.65,2.09,0.22,1.50,0.00,1.2,0.0,2.1
75,Josh Akognon,2009,CSUF,32,35.6,23.9,19.3,0.98,0.56,0.51,0.24,0.59,1.59,0.08,0.61,-4.30,1.0,0.0,2.0
76,David Gonzalvez,2009,Richmond,36,35.6,16.0,12.0,1.04,0.59,0.56,0.30,0.40,2.00,0.17,1.24,-0.80,1.1,0.4,2.5
77,Tone Boyle,2009,Milwaukee,30,35.5,13.2,10.8,0.91,0.53,0.48,0.34,0.56,1.10,0.10,0.61,-2.99,0.8,0.2,1.6
78,Brandon Brooks,2009,Alabama St,32,35.5,13.7,8.9,0.93,0.61,0.54,0.58,0.23,6.63,0.74,2.02,3.20,1.3,0.3,2.0
79,John Holland,2009,Boston U.,30,35.5,18.1,13.3,1.06,0.60,0.56,0.30,0.51,1.07,0.08,0.62,-3.05,1.8,0.3,2.3
80,Dylan Grimsley,2009,South Dakota,4,35.5,10.3,12.5,0.66,0.39,0.36,0.14,0.34,2.50,0.20,1.11,-1.52,1.0,0.0,2.5
81,Eric Maynor,2009,VCU,34,35.5,22.4,15.8,1.00,0.59,0.52,0.45,0.34,6.18,0.39,2.08,3.25,1.7,0.2,2.4
82,Matt Spadafora,2009,UMBC,32,35.5,8.2,7.9,0.78,0.45,0.40,0.34,0.24,2.47,0.31,1.98,1.18,0.7,0.4,2.7
83,Harry Marshall,2009,Indiana St,22,35.5,13.6,10.8,0.81,0.52,0.45,0.48,0.36,4.27,0.40,1.24,-1.81,0.9,0.0,2.4
84,D.J. Rivera,2009,Binghamton,32,35.4,20.0,15.2,0.99,0.55,0.52,0.43,0.31,1.06,0.07,0.61,-2.92,1.8,0.4,2.7
85,R.L. Horton,2009,Southern Miss,32,35.4,12.7,12.0,0.82,0.46,0.42,0.31,0.23,2.22,0.18,1.42,-0.25,0.7,0.1,2.3
86,Jonathan Hall,2009,St. Bonaventure,30,35.4,12.9,10.7,0.82,0.53,0.51,0.33,0.09,3.17,0.30,0.98,-2.93,1.1,0.6,2.8
87,Josh Mayo,2009,Ill Chicago,30,35.4,17.0,13.6,0.93,0.55,0.48,0.34,0.46,3.40,0.25,1.40,-0.48,1.1,0.0,1.8
88,Kyndall Dykes,2009,New Orleans,26,35.4,17.3,13.7,0.91,0.53,0.49,0.42,0.04,1.65,0.12,0.67,-3.84,1.4,0.2,1.7
89,Cameron Tyler,2009,Fairleigh Dickinson,30,35.4,13.3,10.9,0.72,0.49,0.42,0.57,0.26,5.33,0.49,1.24,-2.07,1.0,0.1,2.1
90,Mike Trimboli,2009,Vermont,32,35.3,16.0,11.1,0.97,0.59,0.53,0.48,0.38,4.78,0.43,1.76,1.26,2.0,0.1,2.4
91,Jerome Randle,2009,Cal,33,35.3,18.3,11.5,1.08,0.67,0.61,0.42,0.46,5.00,0.43,1.74,1.29,0.7,0.0,1.8
92,Rodney Green,2009,La Salle,31,35.3,17.8,13.5,0.91,0.56,0.51,0.42,0.20,3.39,0.25,1.05,-2.67,1.9,0.2,2.5
93,Vaughn Duggins,2009,Wright St,4,35.3,11.8,11.3,0.78,0.44,0.40,0.40,0.40,1.50,0.13,1.00,-1.55,2.0,0.0,1.5
94,Terrance Calvin,2009,UAPB,29,35.2,12.0,10.7,0.72,0.47,0.39,0.46,0.06,3.62,0.34,1.00,-3.19,1.7,0.1,3.4
95,Michael Bramos,2009,Miami OH,30,35.2,17.9,14.3,0.96,0.54,0.48,0.33,0.46,1.70,0.12,0.85,-2.64,1.0,1.1,1.8
96,Bryan Dougher,2009,Stony Brook,30,35.2,11.2,10.3,0.84,0.49,0.44,0.26,0.59,1.90,0.19,1.14,-1.20,1.0,0.1,2.0
97,Gary Patterson,2009,IUPUI,25,35.2,9.6,8.4,0.89,0.52,0.48,0.24,0.54,2.72,0.32,1.94,1.25,1.2,0.0,1.6
98,John Roberson,2009,Texas Tech,33,35.2,13.9,11.6,0.82,0.53,0.47,0.30,0.52,6.42,0.55,1.83,1.96,1.1,0.1,2.5
99,Kevin Lisch,2009,St. Louis,31,35.1,14.1,11.5,0.92,0.53,0.46,0.37,0.53,2.52,0.22,1.47,-0.10,1.3,0.0,1.7
100,Sherron Collins,2009,Kansas,35,35.1,18.9,14.9,0.92,0.56,0.51,0.32,0.39,4.97,0.33,1.51,0.08,1.1,0.0,1.9
101,Josh Johnson,2009,Presbyterian,29,35.1,9.9,8.3,0.85,0.53,0.49,0.28,0.58,2.14,0.26,1.03,-1.93,1.5,0.9,2.4
102,Shy Ely,2009,Evansville,31,35.1,18.9,14.3,0.95,0.54,0.47,0.49,0.11,1.71,0.12,0.80,-2.81,0.8,0.3,2.1
103,Charles Jenkins,2009,Hofstra,32,35.1,19.7,15.7,0.87,0.52,0.43,0.47,0.20,4.28,0.27,1.28,-1.37,1.4,0.5,2.6
104,Paul Delaney,2009,UAB,33,35.1,16.1,9.8,1.08,0.65,0.59,0.60,0.18,3.48,0.36,1.58,0.32,2.1,0.2,2.0
105,Kenny Dawkins,2009,Lamar,25,35.0,15.2,12.4,0.89,0.54,0.48,0.32,0.46,4.20,0.34,1.52,0.11,1.8,0.0,1.7
106,Robert Jarvis,2009,Oral Roberts,31,35.0,17.2,15.1,0.88,0.52,0.48,0.24,0.54,2.03,0.13,0.79,-3.40,0.9,0.1,2.0
107,Dionte Christmas,2009,Temple,34,35.0,19.5,15.5,0.94,0.55,0.52,0.30,0.58,2.88,0.19,1.00,-2.79,1.5,0.1,2.5
108,Jerel McNeal,2009,Marquette,35,35.0,19.8,15.3,0.95,0.56,0.52,0.34,0.40,3.91,0.26,1.33,-0.92,2.0,0.6,2.5
109,John Cantrell,2009,Chicago St,32,35.0,19.8,15.1,1.01,0.57,0.54,0.33,0.18,2.16,0.14,1.11,-1.27,2.3,0.3,2.0
110,Kevin Sims,2009,Tulane,31,35.0,13.0,9.2,0.96,0.58,0.51,0.47,0.44,3.97,0.43,1.84,1.42,0.9,0.0,2.1
111,Davis Baker,2009,Southern Utah,31,35.0,17.4,13.7,0.98,0.57,0.52,0.25,0.27,1.35,0.10,0.58,-4.26,1.0,0.2,1.8
112,Tyler Cain,2009,South Dakota,4,35.0,14.8,11.0,0.95,0.61,0.57,0.23,0.02,3.00,0.27,0.92,-3.30,1.8,1.5,2.5
113,Tommie Liddell,2009,St. Louis,32,35.0,11.3,10.2,0.80,0.49,0.44,0.30,0.24,2.66,0.26,1.13,-1.80,0.7,0.3,1.7
114,Mike Smith,2009,ETSU,34,34.9,15.3,11.4,0.98,0.57,0.51,0.42,0.32,2.12,0.19,1.14,-1.15,1.4,0.5,3.1
115,David Holston,2009,Chicago St,32,34.9,25.9,19.8,0.98,0.58,0.54,0.28,0.63,6.38,0.32,1.56,0.40,3.0,0.0,2.1
116,Daniel Emerson,2009,Mercer,32,34.9,13.8,9.6,0.88,0.57,0.51,0.61,0.19,2.25,0.23,0.71,-4.55,0.4,0.2,2.5
117,Darrin Govens,2009,St Joseph's,32,34.9,12.5,11.3,0.87,0.51,0.48,0.20,0.57,2.63,0.23,1.40,-0.36,1.6,0.1,2.8
118,Jheryl Wilson,2009,NJIT,28,34.9,12.6,12.0,0.71,0.45,0.41,0.37,0.32,2.39,0.20,0.66,-5.82,1.5,0.0,1.9
119,Sam Hinnant,2009,ECU,30,34.9,15.0,11.9,0.98,0.55,0.50,0.30,0.66,1.93,0.16,1.26,-0.71,0.6,0.1,1.6
120,Tasheed Carr,2009,St Joseph's,31,34.9,14.3,11.6,0.87,0.52,0.47,0.41,0.35,4.32,0.37,1.72,1.07,1.4,0.2,2.7
121,Chris Harris,2009,Navy,30,34.9,15.4,12.5,0.95,0.54,0.48,0.33,0.62,1.90,0.15,1.10,-1.28,1.4,0.0,2.5
122,Jaytornah Wisseh,2009,Long Island,30,34.8,15.2,12.3,0.82,0.51,0.42,0.51,0.27,4.43,0.36,1.39,-0.69,1.6,0.1,1.8
123,Tyrone Lewis,2009,Niagara,35,34.8,16.2,14.8,0.85,0.49,0.43,0.29,0.58,1.97,0.13,0.96,-2.04,2.6,0.8,2.3
124,Osiris Eldridge,2009,Illinois St,34,34.8,14.0,12.0,0.89,0.52,0.49,0.26,0.50,2.44,0.20,1.17,-1.36,1.5,0.4,1.9
125,Jeremy Lin,2009,Harvard,28,34.8,17.8,11.8,0.95,0.61,0.56,0.51,0.30,4.25,0.36,1.12,-2.85,2.4,0.6,2.9
126,Jamelle Cornley,2009,Penn St,37,34.8,14.4,11.5,0.95,0.55,0.54,0.30,0.12,1.24,0.11,0.70,-2.95,0.4,0.1,1.6
127,Courtney Pigram,2009,ETSU,34,34.8,17.6,16.2,0.82,0.49,0.46,0.24,0.42,4.06,0.25,1.22,-1.62,1.7,0.2,2.1
128,Courtney Beasley,2009,Southern Miss,32,34.8,14.9,12.7,0.94,0.52,0.47,0.32,0.06,1.53,0.12,1.26,-0.60,0.9,0.2,2.4
129,Jake O'Brien,2009,Boston U.,30,34.8,12.5,10.3,0.97,0.54,0.50,0.25,0.54,0.77,0.07,0.64,-2.10,0.4,1.0,3.0
130,Domonic Tilford,2009,South Alabama,31,34.7,16.3,13.2,0.93,0.56,0.51,0.25,0.50,2.97,0.22,1.15,-1.73,0.9,0.0,1.2
131,Tyler Quinney,2009,Southern Utah,30,34.7,13.8,9.6,0.92,0.58,0.48,0.56,0.00,1.50,0.16,0.55,-5.25,0.8,0.1,3.3
132,Amorrow Morgan,2009,Idaho St,31,34.7,13.6,10.5,0.83,0.54,0.48,0.47,0.17,3.68,0.35,1.05,-3.29,1.1,0.2,2.2
133,Reid Augst,2009,UNCA,31,34.7,15.4,11.7,0.92,0.56,0.51,0.42,0.28,2.55,0.22,1.01,-2.21,1.6,0.3,1.9
134,Lewis Clinch,2009,Georgia Tech,24,34.7,15.5,14.4,0.85,0.50,0.47,0.19,0.61,3.00,0.21,1.18,-1.42,0.7,0.2,2.1
135,Jio Fontan,2009,Fordham,28,34.6,15.3,13.9,0.75,0.46,0.42,0.43,0.24,4.71,0.34,1.29,-1.49,1.2,0.1,2.2
136,Curtis Jerrells,2009,Baylor,39,34.6,16.3,11.8,0.92,0.57,0.51,0.46,0.45,4.92,0.42,1.61,0.65,1.5,0.3,1.9
137,Zach Urbanus,2009,Citadel,33,34.6,10.0,7.4,1.02,0.62,0.59,0.22,0.69,2.94,0.40,1.87,1.16,0.7,0.0,1.4
138,Adrian Williams,2009,Brown,27,34.6,11.0,8.4,0.99,0.59,0.54,0.28,0.68,1.22,0.15,0.75,-2.42,1.0,0.0,1.5
139,Bryan Ayala,2009,NCCU,18,34.6,11.9,11.3,0.71,0.45,0.38,0.39,0.44,3.94,0.35,1.20,-1.80,2.6,0.1,2.7
140,Paris Horne,2009,St. John's,33,34.6,14.6,12.6,0.91,0.53,0.51,0.21,0.44,2.15,0.17,1.04,-1.79,1.6,0.5,2.2
141,A.J. Slaughter,2009,WKU,32,34.6,16.0,12.8,0.95,0.55,0.50,0.31,0.48,3.56,0.28,1.68,0.72,1.3,0.0,1.8
142,Paul George,2009,Fresno St,34,34.6,14.3,10.4,0.98,0.59,0.56,0.37,0.40,1.85,0.18,0.80,-3.19,1.7,1.0,2.7
143,Damian Saunders,2009,Duquesne,34,34.6,13.1,9.6,1.00,0.60,0.60,0.30,0.33,2.26,0.23,1.13,-1.36,2.1,2.4,3.0
144,D.J. Kennedy,2009,St. John's,34,34.6,13.0,9.8,0.88,0.53,0.46,0.56,0.32,2.97,0.30,1.38,-0.48,1.5,0.4,2.2
145,Jeff Adrien,2009,Connecticut,36,34.6,13.6,10.4,0.92,0.54,0.51,0.49,0.00,1.67,0.16,0.92,-1.90,0.5,1.2,2.0
146,Greivis Vasquez,2009,Maryland,35,34.6,17.5,15.4,0.88,0.52,0.47,0.24,0.38,5.03,0.33,1.80,1.57,1.4,0.4,2.2
147,Shemik Thompson,2009,CCSU,28,34.6,11.5,10.4,0.71,0.48,0.42,0.35,0.20,4.82,0.46,1.27,-1.71,2.0,0.0,2.1
148,Chris Matthews,2009,St. Bonaventure,30,34.6,12.2,11.3,0.83,0.50,0.48,0.15,0.73,2.97,0.26,1.17,-1.49,0.4,0.1,1.9
149,Chaisson Allen,2009,Northeastern,32,34.6,10.4,8.6,0.86,0.52,0.46,0.39,0.35,3.06,0.36,1.61,0.44,1.8,0.2,1.8
150,Chase Adams,2009,Centenary,31,34.5,14.6,10.5,0.99,0.58,0.54,0.42,0.55,4.55,0.43,2.24,2.94,2.7,0.1,3.2
151,Jarred DuBois,2009,LMU,31,34.5,13.5,12.2,0.77,0.47,0.40,0.37,0.37,2.71,0.22,0.91,-3.54,1.1,0.0,2.6
152,Paul Graham,2009,Fla Atlantic,31,34.5,18.5,16.2,0.90,0.51,0.46,0.28,0.39,2.00,0.12,0.97,-2.19,0.6,0.1,1.8
153,Jeremy Goode,2009,Mt. St. Marys,33,34.5,14.9,12.2,0.86,0.51,0.47,0.44,0.30,4.06,0.33,1.72,1.01,1.9,0.0,1.6
154,Chris Skrelja,2009,Brown,28,34.5,6.1,5.5,0.62,0.44,0.41,0.60,0.28,3.82,0.70,1.35,-0.82,0.9,0.1,2.7
155,Leon Buchanan,2009,Morehead St,36,34.5,15.1,9.5,1.01,0.61,0.52,0.68,0.01,1.03,0.11,0.46,-4.37,0.8,0.3,2.3
156,Louie Krogman,2009,South Dakota,4,34.5,12.5,12.0,0.86,0.49,0.44,0.17,0.65,2.75,0.23,1.83,0.89,0.8,0.0,1.5
157,Cecil Gresham,2009,Bryant,29,34.5,13.4,11.0,0.93,0.54,0.49,0.31,0.50,1.38,0.13,0.75,-2.87,0.7,0.6,2.3
158,Paul McCoy,2009,SMU,29,34.5,13.4,11.2,0.87,0.53,0.51,0.29,0.29,3.03,0.27,1.19,-1.56,1.6,0.1,2.1
159,Cameron Wells,2009,Citadel,33,34.5,15.6,12.6,0.90,0.54,0.49,0.33,0.19,3.03,0.24,1.14,-1.96,1.4,0.4,2.3
160,Ben Woodside,2009,North Dakota St,33,34.5,23.2,15.3,1.03,0.61,0.53,0.55,0.31,6.18,0.40,1.96,2.74,1.4,0.2,1.3
161,Will Walker,2009,DePaul,33,34.4,14.6,13.1,0.94,0.52,0.50,0.18,0.45,1.48,0.11,1.11,-1.02,1.7,0.2,1.7
162,Bilal Benn,2009,Niagara,35,34.4,13.8,12.0,0.83,0.51,0.48,0.28,0.30,2.66,0.22,0.91,-3.18,2.4,0.5,2.7
163,Chris Warren,2009,Mississippi,11,34.4,19.6,15.5,0.93,0.54,0.46,0.40,0.47,4.00,0.26,1.63,0.60,2.5,0.0,1.5
164,Jodie Meeks,2009,Kentucky,36,34.4,23.7,15.8,1.09,0.64,0.57,0.41,0.51,1.75,0.11,0.66,-4.06,1.3,0.1,1.9
165,Brian Johnson,2009,Delaware,32,34.3,10.0,7.7,0.87,0.56,0.52,0.37,0.41,4.97,0.65,2.04,2.54,0.9,0.0,2.7
166,Mac Hopson,2009,Idaho,33,34.3,16.4,12.0,0.92,0.56,0.52,0.48,0.27,5.88,0.49,2.02,3.11,1.7,0.2,2.5
167,Anthony Mason Jr,2009,St. John's,3,34.3,14.0,12.7,0.76,0.47,0.41,0.39,0.45,3.33,0.26,1.00,-3.21,0.3,1.7,2.3
