,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Darryl Proctor,2009,UMBC,32,39.7,20.0,17.0,0.91,0.51,0.47,0.33,0.03,1.97,0.12,0.90,-2.33,1.4,0.7,2.6
1,Jay Greene,2009,UMBC,31,39.6,12.7,10.1,0.92,0.56,0.51,0.30,0.64,6.03,0.60,2.60,4.53,1.0,0.0,2.1
2,Ahmad Nivins,2009,St Joseph's,32,39.3,19.2,10.5,1.11,0.68,0.61,0.77,0.00,1.00,0.10,0.37,-5.31,0.8,1.8,2.2
3,Brandon Ewing,2009,Wyoming,33,38.3,18.5,11.3,1.02,0.62,0.51,0.75,0.39,5.03,0.45,1.89,1.69,1.0,0.2,2.2
4,Jaret Von Rosenberg,2009,Hartford,33,38.3,12.8,10.5,0.86,0.53,0.46,0.37,0.52,3.52,0.34,1.40,-0.47,1.5,0.0,2.0
5,Ryan Thompson,2009,Rider,32,38.3,18.0,12.1,1.03,0.62,0.57,0.45,0.28,3.22,0.27,1.21,-1.28,1.8,0.4,2.1
6,Frank Turner,2009,Canisius,31,37.9,15.6,13.8,0.76,0.48,0.44,0.38,0.15,4.00,0.29,0.98,-3.58,1.2,0.1,2.2
7,Johnathon Jones,2009,Oakland,36,37.8,13.3,11.1,0.80,0.51,0.46,0.36,0.25,8.06,0.72,2.34,5.14,1.4,0.2,2.0
8,A.J. Abrams,2009,Texas,35,37.7,16.6,13.8,0.99,0.55,0.51,0.22,0.55,1.31,0.10,0.96,-1.28,1.3,0.1,2.0
9,Chase Budinger,2009,Arizona,35,37.6,18.0,13.0,1.02,0.60,0.55,0.34,0.37,3.37,0.26,1.39,-0.49,1.4,0.5,1.9
10,Ryan Schneider,2009,Marist,33,37.5,15.9,12.9,0.91,0.54,0.48,0.32,0.57,1.36,0.11,0.56,-3.95,1.4,0.7,1.8
11,Dominique Jones,2009,South Florida,31,37.5,18.1,14.9,0.89,0.52,0.48,0.37,0.38,3.94,0.26,1.49,-0.06,1.3,0.4,2.5
12,Talor Battle,2009,Penn St,38,37.4,16.7,13.0,0.92,0.54,0.49,0.43,0.55,4.97,0.38,2.05,2.57,1.2,0.1,2.1
13,Daniel Hackett,2009,USC,35,37.3,12.3,8.4,0.87,0.59,0.53,0.55,0.37,4.74,0.56,1.43,-0.41,1.4,0.3,2.7
14,Jonny Flynn,2009,Syracuse,38,37.3,17.4,12.5,0.92,0.57,0.51,0.48,0.30,6.68,0.53,1.97,2.62,1.4,0.2,1.4
15,Derrick Mercer,2009,American,32,37.3,11.7,9.2,0.89,0.54,0.52,0.39,0.21,4.38,0.48,1.97,2.02,1.2,0.1,2.1
16,Troy Jackson,2009,Alcorn State,30,37.1,20.0,15.2,0.94,0.54,0.46,0.51,0.30,3.17,0.21,1.34,-0.64,2.5,0.4,2.0
17,C.J. Reed,2009,Bethune Cookman,33,37.1,15.0,14.1,0.75,0.46,0.41,0.35,0.40,3.91,0.28,1.13,-2.45,1.2,0.1,1.9
18,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,15.5,1.10,0.64,0.55,0.47,0.44,3.14,0.20,1.24,-1.25,1.0,0.3,1.3
19,Nate Rohnert,2009,Denver,31,37.0,15.3,10.9,0.92,0.59,0.54,0.44,0.32,4.71,0.43,1.39,-0.78,1.3,0.3,2.8
20,DiJuan Harris,2009,Charlotte,31,37.0,9.0,6.8,0.82,0.54,0.49,0.53,0.28,7.19,1.06,2.93,6.41,1.5,0.2,2.6
21,Cory Higgins,2009,Colorado,31,37.0,17.4,11.2,1.00,0.61,0.52,0.61,0.26,2.58,0.23,0.92,-3.10,1.9,0.4,2.5
22,Kyle McAlarney,2009,Notre Dame,36,36.9,15.0,12.1,1.00,0.58,0.55,0.16,0.67,3.44,0.28,1.82,1.07,0.6,0.1,1.4
23,Malcolm Delaney,2009,Virginia Tech,34,36.9,18.1,12.2,0.96,0.58,0.47,0.62,0.48,4.47,0.37,1.57,0.34,1.5,0.3,2.6
24,Kelvin Lewis,2009,Houston,33,36.9,18.0,14.3,1.01,0.56,0.51,0.28,0.53,1.30,0.09,0.91,-1.46,1.5,0.2,2.0
25,Taylor Rochestie,2009,Washington St,33,36.8,13.2,11.0,0.89,0.54,0.48,0.28,0.44,4.55,0.41,2.00,2.31,0.9,0.0,1.7
26,Jaycen Herring,2009,Southeast Mo St,30,36.8,16.6,13.5,0.86,0.52,0.47,0.43,0.21,2.57,0.19,0.87,-3.25,0.8,0.8,2.5
27,Tywain McKee,2009,Coppin St,32,36.8,18.4,15.0,0.89,0.53,0.47,0.35,0.39,4.09,0.27,1.35,-0.86,2.8,0.1,2.3
28,Kevin Anderson,2009,Richmond,36,36.8,16.6,13.0,0.93,0.55,0.49,0.38,0.25,2.81,0.22,1.20,-1.29,1.3,0.1,2.3
29,Aaron Jackson,2009,Duquesne,34,36.7,19.3,12.1,1.08,0.66,0.61,0.46,0.28,5.71,0.47,1.88,2.02,1.6,0.1,1.9
30,Drake Reed,2009,Austin Peay,33,36.7,21.9,14.8,1.07,0.62,0.58,0.43,0.09,2.36,0.16,0.94,-2.49,0.7,0.6,2.0
31,Jon Diebler,2009,Ohio St,33,36.7,11.2,8.4,1.04,0.62,0.59,0.18,0.83,2.48,0.30,1.55,0.15,1.0,0.3,1.3
32,A.D. Vassallo,2009,Virginia Tech,34,36.7,19.1,15.2,0.98,0.57,0.53,0.23,0.44,2.59,0.17,1.04,-2.08,0.8,0.9,2.2
33,Corey Lowe,2009,Boston U.,29,36.6,17.2,14.0,0.90,0.55,0.53,0.26,0.56,4.14,0.30,1.24,-1.70,1.2,0.1,2.3
34,Nick Stallings,2009,Centenary,31,36.5,15.3,13.1,0.85,0.52,0.50,0.29,0.35,2.13,0.16,0.70,-4.49,1.6,0.5,3.1
35,Mike Rose,2009,EKU,31,36.5,20.0,14.2,1.06,0.62,0.58,0.31,0.47,2.55,0.18,1.07,-2.06,1.7,0.1,1.5
36,Toney Douglas,2009,Florida St,35,36.5,21.5,15.3,1.02,0.59,0.53,0.43,0.41,2.91,0.19,1.17,-1.45,1.8,0.4,2.2
37,Seth Curry,2009,Liberty,35,36.5,20.2,16.7,0.96,0.55,0.50,0.25,0.50,2.26,0.14,1.00,-2.04,1.4,0.3,1.5
38,Robert Vaden,2009,UAB,34,36.5,17.6,15.4,0.91,0.53,0.50,0.19,0.62,2.06,0.13,0.83,-3.00,1.0,0.6,1.8
39,Evan Turner,2009,Ohio St,33,36.4,17.3,11.6,0.93,0.59,0.52,0.58,0.07,3.97,0.34,1.12,-2.63,1.8,0.8,2.9
40,Marc Egerson,2009,Delaware,32,36.4,15.4,11.9,0.88,0.54,0.48,0.46,0.39,2.63,0.22,0.90,-3.16,1.4,0.2,2.2
41,Tyler Dierkers,2009,Miami OH,30,36.4,9.2,7.1,0.89,0.56,0.51,0.39,0.05,2.13,0.30,1.07,-1.71,1.7,0.6,2.2
42,Nic Wise,2009,Arizona,35,36.4,15.7,11.2,0.96,0.60,0.54,0.39,0.41,4.57,0.41,1.58,0.45,1.5,0.1,2.5
43,Amir Johnson,2009,Radford,33,36.3,9.6,7.8,0.76,0.53,0.47,0.41,0.43,5.21,0.67,1.55,0.28,1.5,0.1,2.4
44,Anthony Smith,2009,Liberty,35,36.3,17.6,12.5,1.03,0.61,0.58,0.37,0.46,2.14,0.17,0.96,-2.18,1.2,0.2,2.1
45,Jeremy Hazell,2009,Seton Hall,32,36.3,22.7,17.2,1.01,0.57,0.52,0.37,0.53,0.91,0.05,0.42,-4.18,1.8,0.0,2.0
46,Ben Smith,2009,Jacksonville,32,36.3,16.9,12.5,0.96,0.57,0.50,0.44,0.45,4.00,0.32,1.73,0.96,2.2,0.0,1.7
47,Kenard Moore,2009,Southeast Mo St,30,36.2,19.0,16.1,0.93,0.54,0.52,0.19,0.59,1.57,0.10,0.55,-4.71,1.2,0.1,2.1
48,David Dubois,2009,Western Ill,27,36.1,17.9,15.3,0.94,0.53,0.50,0.23,0.10,1.19,0.08,0.58,-3.94,1.3,0.5,3.2
49,Robert Mitchell,2009,Seton Hall,30,36.1,14.7,13.6,0.85,0.49,0.46,0.23,0.25,1.67,0.12,0.74,-3.12,1.2,0.8,3.1
50,Stefon Jackson,2009,UTEP,37,36.1,24.5,17.8,0.98,0.55,0.45,0.57,0.16,1.92,0.11,0.91,-2.17,1.1,0.1,2.7
51,Dwight Lewis,2009,USC,33,36.1,14.4,12.3,0.86,0.52,0.47,0.30,0.36,2.09,0.17,0.85,-2.97,1.1,0.2,2.0
52,Sean Ogirri,2009,Wyoming,33,36.1,14.4,10.4,1.07,0.63,0.60,0.21,0.75,2.21,0.21,1.11,-1.37,0.9,0.1,2.3
53,Darryl Shazier,2009,Bucknell,30,36.1,7.8,7.2,0.75,0.48,0.45,0.27,0.46,4.60,0.64,2.06,2.26,1.0,0.2,2.3
54,Michael Deloach,2009,Norfolk St,32,36.1,21.4,17.3,0.89,0.53,0.49,0.37,0.20,2.75,0.16,0.76,-4.74,2.0,0.3,2.9
55,Garrison Carr,2009,American,32,36.0,17.9,14.7,0.94,0.55,0.52,0.22,0.62,1.66,0.11,0.63,-4.55,1.0,0.1,2.1
56,Lester Hudson,2009,UT Martin,32,36.0,27.5,21.8,0.99,0.57,0.53,0.24,0.43,4.22,0.19,1.27,-1.32,2.3,0.6,2.7
57,Erik Kangas,2009,Oakland,35,36.0,18.9,14.4,1.07,0.61,0.57,0.19,0.64,1.74,0.12,0.91,-2.11,1.1,0.2,1.4
58,Matt Janning,2009,Northeastern,32,36.0,14.3,12.2,0.87,0.52,0.47,0.32,0.41,2.66,0.22,1.09,-2.06,1.5,0.2,2.0
59,Roderick Flemings,2009,Hawaii,30,36.0,16.6,11.9,0.94,0.56,0.50,0.56,0.20,1.87,0.16,0.73,-3.77,1.2,0.4,2.1
60,Peter Sullivan,2009,Brown,28,35.9,14.3,12.0,0.89,0.52,0.47,0.34,0.47,1.64,0.14,0.78,-2.90,0.6,0.2,2.4
61,James Harden,2009,Arizona St,35,35.8,20.1,12.9,1.00,0.62,0.55,0.60,0.36,4.23,0.33,1.25,-1.70,1.7,0.3,2.8
62,Sean Baptiste,2009,Fairleigh Dickinson,27,35.8,16.3,13.4,0.92,0.53,0.49,0.33,0.39,1.07,0.08,0.52,-3.72,1.7,0.1,2.3
63,Deonta Vaughn,2009,Cincinnati,32,35.8,15.3,12.5,0.86,0.54,0.49,0.30,0.60,4.66,0.37,1.39,-0.68,1.3,0.0,2.6
64,Ben Uzoh,2009,Tulsa,36,35.8,14.0,10.7,0.90,0.55,0.49,0.41,0.32,3.56,0.33,1.38,-0.60,1.5,0.5,2.1
65,Kyle Gibson,2009,Louisiana Tech,32,35.8,16.1,10.7,0.98,0.61,0.56,0.52,0.51,2.75,0.26,0.92,-3.38,1.0,0.2,2.3
