,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Nate Wolters,2013,South Dakota St,31,38.5,22.6,15.4,1.06,0.61,0.55,0.46,0.34,5.81,0.38,2.40,3.90,1.8,0.1,1.5
1,Travis Bader,2013,Oakland,31,38.5,21.6,16.0,1.06,0.58,0.51,0.38,0.69,0.90,0.06,0.65,-1.97,0.9,0.1,2.9
2,Trey Sumler,2013,WCU,30,38.5,18.3,14.1,0.90,0.56,0.49,0.38,0.33,3.53,0.25,0.99,-3.14,1.9,0.1,2.2
3,Eric Atkins,2013,Notre Dame,35,38.3,11.2,9.0,0.89,0.55,0.52,0.33,0.38,5.51,0.61,2.61,4.33,1.4,0.1,1.9
4,Kyle Vinales,2013,CCSU,30,38.2,21.6,18.6,0.89,0.53,0.48,0.25,0.39,3.77,0.20,1.13,-2.00,1.4,0.1,2.0
5,Juan'ya Green,2013,Niagara,33,38.0,16.5,13.3,0.89,0.53,0.47,0.39,0.39,4.94,0.37,1.83,1.50,1.9,0.4,1.7
6,Anthony Ireland,2013,LMU,33,37.9,20.1,16.3,0.89,0.53,0.46,0.37,0.32,3.52,0.22,1.04,-2.80,1.7,0.0,2.1
7,Siyani Chambers,2013,Harvard,29,37.9,12.5,8.7,0.87,0.59,0.51,0.51,0.39,5.69,0.66,1.63,0.85,1.5,0.0,1.6
8,Bryce Cotton,2013,Providence,32,37.8,19.7,13.9,1.08,0.60,0.55,0.40,0.60,2.88,0.21,1.96,1.19,0.9,0.1,1.2
9,Wesley Saunders,2013,Harvard,29,37.8,16.4,10.6,0.96,0.60,0.54,0.66,0.06,3.45,0.33,1.12,-2.11,1.9,0.3,2.4
10,Khalid Mutakabbir,2013,Presbyterian,29,37.8,15.4,13.0,0.86,0.53,0.48,0.26,0.42,2.41,0.19,0.79,-4.10,1.2,0.1,1.8
11,Devon Saddler,2013,Delaware,33,37.8,19.9,15.3,0.92,0.55,0.48,0.41,0.33,2.76,0.18,0.85,-3.69,1.0,0.2,2.1
12,Sean McGonagill,2013,Brown,27,37.7,14.0,12.5,0.82,0.51,0.48,0.22,0.49,3.74,0.30,1.22,-1.59,1.3,0.1,2.4
13,Ray Gallegos,2013,Nebraska,33,37.5,12.5,12.6,0.87,0.47,0.46,0.11,0.65,1.21,0.10,1.14,-0.72,1.4,0.4,1.8
14,Trey Freeman,2013,Campbell,30,37.4,14.1,11.5,0.86,0.53,0.47,0.34,0.13,5.70,0.49,2.04,2.62,1.4,0.0,2.1
15,Ray McCallum,2013,Detroit,31,37.3,18.4,13.3,1.00,0.57,0.52,0.47,0.30,4.45,0.33,2.19,2.38,2.0,0.6,2.0
16,Myck Kabongo,2013,Texas,11,37.3,14.6,10.0,0.87,0.56,0.45,0.70,0.25,5.55,0.55,1.65,0.89,2.0,0.0,1.8
17,Shabazz Napier,2013,Connecticut,28,37.3,17.1,11.8,1.02,0.61,0.54,0.44,0.52,4.61,0.39,1.93,1.86,2.0,0.1,2.1
