,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Corey Wickware,2010,SIU Edwardsville,1,44.0,26.0,12.0,1.30,0.72,0.50,1.17,0.58,5.00,0.42,5.00,5.10,0.0,0.0,2.0
1,Frankie Dobbs,2010,Bryant,1,40.0,9.0,11.0,0.64,0.41,0.41,0.00,0.36,4.00,0.36,1.33,-0.86,2.0,0.0,1.0
2,Jawan Carter,2010,Delaware,31,39.2,18.2,13.3,0.92,0.56,0.48,0.51,0.55,4.87,0.37,1.62,0.66,1.3,0.0,2.7
3,Frank Turner,2010,Canisius,32,38.3,16.2,11.4,0.90,0.57,0.50,0.58,0.19,5.69,0.50,1.72,1.27,2.1,0.1,2.5
4,C.J. Reed,2010,Bethune Cookman,29,38.0,15.0,14.9,0.71,0.44,0.39,0.31,0.30,3.90,0.26,0.98,-3.94,1.4,0.1,2.0
5,Charlie Westbrook,2010,South Dakota,1,38.0,24.0,23.0,0.94,0.49,0.48,0.13,0.09,0.00,0.00,0.00,-2.36,2.0,2.0,3.0
6,Michael Thompson,2010,Northwestern,34,37.7,14.2,10.5,1.02,0.59,0.55,0.31,0.60,4.09,0.39,2.36,2.80,1.1,0.1,2.8
7,Joe Zeglinski,2010,Hartford,29,37.7,16.5,15.3,0.90,0.50,0.48,0.15,0.64,1.66,0.11,0.94,-1.80,1.0,0.2,2.6
8,Luke Babbitt,2010,Nevada,33,37.5,22.0,14.9,1.07,0.62,0.54,0.43,0.20,2.12,0.14,0.89,-2.49,1.0,0.8,2.6
9,Will Walker,2010,DePaul,32,37.5,16.5,15.7,0.85,0.47,0.44,0.25,0.47,2.56,0.16,1.55,0.15,1.5,0.2,1.7
10,Tory Jackson,2010,Notre Dame,35,37.5,9.6,8.2,0.83,0.51,0.48,0.33,0.42,5.29,0.64,2.68,4.35,1.5,0.1,1.6
11,Johnathon Jones,2010,Oakland,33,37.5,12.6,9.6,0.86,0.56,0.50,0.37,0.38,6.39,0.66,1.99,2.67,1.8,0.2,1.8
12,Ben Smith,2010,Jacksonville,32,37.4,19.6,13.7,1.00,0.57,0.50,0.57,0.49,3.59,0.26,1.77,0.95,2.0,0.1,1.7
13,Tasmin Mitchell,2010,LSU,31,37.3,16.8,14.6,0.89,0.51,0.47,0.29,0.21,1.90,0.13,0.86,-2.69,1.3,0.5,2.3
14,C.J. Wilkerson,2010,NCCU,25,37.3,15.7,12.6,0.83,0.51,0.43,0.51,0.31,2.44,0.19,0.77,-4.10,1.0,0.0,2.6
15,Kevin Anderson,2010,Richmond,36,37.2,17.7,14.4,0.94,0.54,0.49,0.30,0.22,2.67,0.19,1.13,-1.62,1.8,0.3,1.6
16,Jon Diebler,2010,Ohio St,36,37.1,12.9,9.0,1.16,0.65,0.62,0.22,0.82,1.44,0.16,1.41,-0.18,1.1,0.1,1.8
17,Zack Rosen,2010,Penn,28,37.1,17.7,11.4,1.00,0.63,0.55,0.52,0.52,4.43,0.39,1.35,-0.94,1.1,0.0,2.8
18,Rodney Green,2010,La Salle,30,37.1,18.5,16.4,0.80,0.49,0.45,0.32,0.27,4.27,0.26,1.07,-3.03,1.6,0.2,1.9
19,Dominique Jones,2010,South Florida,33,37.1,21.4,14.9,0.96,0.57,0.50,0.57,0.34,3.64,0.24,1.24,-1.44,1.7,0.6,2.8
20,Zach Plackemeier,2010,IPFW,29,37.0,8.7,7.6,0.80,0.52,0.49,0.22,0.59,3.59,0.47,1.46,-0.15,1.3,0.2,2.2
21,Charles Jenkins,2010,Hofstra,31,36.9,20.9,15.9,0.95,0.56,0.50,0.40,0.29,3.87,0.24,1.26,-1.28,1.8,0.6,2.6
22,Aubrey Coleman,2010,Houston,32,36.8,25.7,21.0,0.93,0.51,0.45,0.45,0.22,2.50,0.12,1.18,-1.16,2.7,0.2,2.0
23,Jason Bohannon,2010,Wisconsin,33,36.8,11.6,8.4,1.09,0.62,0.58,0.26,0.63,2.15,0.26,1.73,0.59,0.9,0.4,1.5
24,Derek Williams,2010,SMU,29,36.8,16.8,12.3,0.94,0.56,0.49,0.50,0.33,3.59,0.29,1.44,-0.27,0.9,0.1,1.9
25,Matthew Dellavedova,2010,St Mary's,32,36.8,12.5,9.3,0.96,0.58,0.52,0.36,0.60,4.56,0.49,2.28,2.85,1.2,0.0,2.3
26,Matt Gatens,2010,Iowa,31,36.7,12.4,10.6,0.84,0.52,0.46,0.30,0.52,3.26,0.31,1.23,-1.40,0.9,0.1,2.1
27,Eddie Williams,2010,Stephen F. Austin,30,36.7,13.3,9.8,0.98,0.58,0.57,0.38,0.30,2.57,0.26,1.33,-0.66,1.9,0.1,2.2
28,Talor Battle,2010,Penn St,32,36.7,18.2,14.6,0.93,0.54,0.49,0.37,0.44,4.25,0.29,1.84,1.53,1.1,0.1,1.7
29,Julius Wells,2010,James Madison,32,36.7,16.3,14.2,0.84,0.51,0.48,0.26,0.55,2.22,0.16,0.69,-4.73,0.9,0.1,2.1
30,Ryan Thompson,2010,Rider,33,36.6,17.2,12.4,0.97,0.56,0.48,0.52,0.36,2.76,0.22,1.28,-0.83,1.2,0.3,2.0
31,Jon Scheyer,2010,Duke,34,36.6,18.9,13.7,1.04,0.58,0.51,0.40,0.52,5.15,0.38,3.13,4.88,1.6,0.2,1.3
32,Damian Saunders,2010,Duquesne,31,36.6,14.9,12.1,0.85,0.52,0.52,0.40,0.24,2.45,0.20,0.82,-3.59,2.8,2.9,2.5
33,Mike Gerrity,2010,USC,21,36.6,9.2,7.4,0.83,0.52,0.45,0.46,0.33,3.48,0.47,1.66,0.65,0.8,0.3,1.8
34,Tyren Johnson,2010,La Lafayette,28,36.5,18.3,14.2,0.91,0.56,0.53,0.33,0.21,3.43,0.24,0.97,-3.47,1.9,1.5,2.8
35,Kelvin Lewis,2010,Houston,32,36.5,15.7,12.7,1.07,0.57,0.54,0.19,0.59,1.19,0.09,1.65,0.19,1.9,0.3,2.1
36,A.J. Slaughter,2010,WKU,34,36.5,17.5,13.0,0.95,0.57,0.51,0.41,0.50,4.32,0.33,1.60,0.49,1.6,0.1,1.9
37,Ishmael Smith,2010,Wake Forest,32,36.5,13.2,13.5,0.73,0.45,0.44,0.22,0.13,5.91,0.44,1.97,2.45,1.7,0.6,1.8
38,David Lighty,2010,Ohio St,36,36.4,12.7,9.0,0.95,0.59,0.56,0.46,0.34,3.00,0.33,1.27,-1.03,1.6,0.6,2.4
39,Adrian Oliver,2010,San Jose St,30,36.4,22.9,17.1,0.97,0.57,0.49,0.41,0.24,2.83,0.17,0.92,-3.23,0.9,0.5,3.0
40,John Shurna,2010,Northwestern,34,36.4,18.2,13.9,1.02,0.58,0.54,0.29,0.47,2.59,0.19,1.31,-0.72,0.8,0.9,2.2
41,Mickey McConnell,2010,St Mary's,32,36.4,14.0,9.4,1.09,0.66,0.63,0.28,0.49,5.09,0.54,2.36,3.42,1.4,0.3,2.1
42,Wes Channels,2010,Austin Peay,30,36.4,17.0,13.4,0.90,0.54,0.49,0.40,0.38,3.07,0.23,1.06,-2.34,1.5,0.2,2.7
43,Matt Bouldin,2010,Gonzaga,31,36.3,15.9,11.4,1.00,0.60,0.53,0.39,0.43,4.13,0.36,1.75,1.06,1.4,0.2,2.2
44,Manny Harris,2010,Michigan,29,36.3,18.0,14.0,0.91,0.54,0.47,0.43,0.36,3.93,0.28,1.41,-0.51,1.8,0.4,1.4
45,Landry Fields,2010,Stanford,32,36.3,22.0,15.8,0.98,0.57,0.52,0.51,0.17,2.78,0.18,1.07,-2.03,1.6,0.8,2.0
46,Jack Eggleston,2010,Penn,28,36.3,13.0,10.6,0.91,0.54,0.49,0.32,0.21,2.00,0.19,1.04,-1.71,0.7,0.8,2.5
47,Zach Urbanus,2010,Citadel,30,36.2,10.9,9.0,0.98,0.57,0.55,0.15,0.71,2.50,0.28,1.67,0.52,0.6,0.0,1.3
48,Derek Needham,2010,Fairfield,32,36.2,16.3,14.2,0.80,0.50,0.45,0.36,0.39,5.16,0.36,1.38,-0.87,1.8,0.1,2.7
49,Tweety Carter,2010,Baylor,30,36.2,15.3,11.6,0.99,0.59,0.55,0.27,0.56,6.00,0.52,2.57,4.60,1.3,0.0,1.8
50,Ceola Clark,2010,Western Ill,25,36.2,14.8,10.1,1.06,0.62,0.57,0.42,0.48,3.12,0.31,1.81,1.08,2.7,0.2,2.5
51,Tweety Carter,2010,Baylor,30,36.2,15.3,11.6,0.99,0.59,0.55,0.27,0.56,6.00,0.52,2.57,4.60,1.3,0.0,1.8
52,Ryan Brooks,2010,Temple,35,36.2,14.3,12.4,0.95,0.52,0.48,0.24,0.41,2.34,0.19,1.91,1.00,0.8,0.1,1.5
53,Josh White,2010,North Texas,31,36.1,14.2,9.8,0.89,0.57,0.48,0.59,0.45,3.45,0.35,1.07,-2.50,0.6,0.1,1.4
54,Matt Janning,2010,Northeastern,33,36.1,15.4,12.9,0.90,0.52,0.47,0.33,0.37,3.09,0.24,1.46,-0.18,1.5,0.2,1.7
55,Jaytornah Wisseh,2010,Long Island,29,36.0,17.6,13.9,0.82,0.52,0.43,0.49,0.26,5.66,0.41,1.34,-1.19,1.6,0.0,1.9
56,Ronald Moore,2010,Siena,34,36.0,7.0,7.9,0.58,0.39,0.35,0.29,0.29,7.68,0.98,2.61,5.79,1.9,0.1,1.6
57,Cameron Jones,2010,Northern Arizona,26,36.0,19.3,14.6,0.95,0.57,0.54,0.34,0.19,2.69,0.18,0.83,-4.02,1.2,0.0,1.9
58,Josh Vaughan,2010,North Dakota St,27,36.0,13.5,11.6,0.90,0.52,0.49,0.26,0.54,3.52,0.30,1.83,1.15,0.9,0.3,2.7
59,Akeem Bennett,2010,St. Francis (NY),29,36.0,14.5,11.5,0.75,0.50,0.43,0.62,0.26,4.03,0.35,0.95,-4.45,2.2,0.5,3.2
60,Broderick Gilchrest,2010,Idaho St,27,36.0,15.1,11.1,0.92,0.58,0.54,0.41,0.35,3.26,0.29,1.07,-2.54,1.9,0.0,2.4
61,Mike Scott,2010,Fairleigh Dickinson,31,36.0,12.4,9.0,0.83,0.56,0.48,0.51,0.43,5.35,0.60,1.46,-0.29,1.5,0.2,3.2
62,Bilal Benn,2010,Niagara,30,36.0,13.5,12.5,0.81,0.48,0.44,0.26,0.32,3.17,0.25,1.32,-0.78,1.9,0.4,2.8
63,John Roberson,2010,Texas Tech,35,35.9,14.6,9.9,0.95,0.60,0.53,0.51,0.49,5.43,0.55,1.90,1.96,1.1,0.0,2.6
64,Michael Deloach,2010,Norfolk St,30,35.9,21.7,15.8,0.93,0.58,0.54,0.44,0.24,3.33,0.21,0.81,-4.83,2.6,0.1,3.1
65,Malcolm Delaney,2010,Virginia Tech,33,35.8,20.2,14.6,0.93,0.55,0.45,0.57,0.43,4.45,0.30,1.48,-0.08,1.2,0.1,2.9
66,Chris Howard,2010,South Florida,33,35.8,10.3,7.8,0.90,0.54,0.48,0.51,0.35,3.79,0.49,2.23,2.40,0.7,0.3,2.2
67,Kyle Singler,2010,Duke,34,35.8,17.6,13.9,0.96,0.55,0.49,0.35,0.38,2.29,0.16,1.16,-1.23,1.1,0.8,2.3
68,Da'Sean Butler,2010,West Virginia,38,35.8,17.2,13.2,0.97,0.55,0.48,0.42,0.39,3.13,0.24,1.75,0.88,1.0,0.4,2.2
69,Evan Turner,2010,Ohio St,30,35.8,20.3,14.8,0.93,0.58,0.54,0.40,0.12,6.03,0.41,1.44,-0.52,1.7,0.9,2.7
70,Michael Roll,2010,UCLA,32,35.8,14.1,11.2,1.02,0.60,0.58,0.13,0.53,3.59,0.32,1.89,1.41,1.0,0.1,1.9
71,Roderick Flemings,2010,Hawaii,26,35.7,16.3,14.0,0.86,0.49,0.45,0.41,0.20,2.35,0.17,1.11,-1.56,0.8,0.3,2.2
72,David Kool,2010,Western Mich,32,35.7,21.8,15.2,1.04,0.59,0.51,0.48,0.35,2.69,0.18,1.19,-1.30,1.8,0.0,1.7
73,Tommy Mason-Griffin,2010,Oklahoma,31,35.7,14.1,11.9,0.87,0.54,0.49,0.25,0.45,4.97,0.42,1.77,1.40,0.9,0.0,1.3
74,Devin Gibson,2010,UTSA,27,35.7,12.4,9.3,0.87,0.53,0.43,0.59,0.24,4.30,0.46,1.87,1.65,1.9,0.1,2.6
75,Kenny Hayes,2010,Miami FL,31,35.6,14.5,11.5,0.92,0.55,0.51,0.33,0.32,3.16,0.28,1.27,-1.16,0.8,0.1,2.1
76,Jacques Streeter,2010,CSUF,28,35.6,12.0,10.3,0.81,0.49,0.45,0.40,0.54,4.75,0.46,1.93,1.94,0.8,0.1,2.1
77,Michael Vogler,2010,Troy,30,35.6,11.5,8.8,0.91,0.57,0.54,0.31,0.27,5.37,0.61,2.18,3.09,1.9,0.1,2.8
78,Cameron Wells,2010,Citadel,30,35.6,17.3,15.0,0.87,0.50,0.43,0.35,0.14,4.23,0.28,1.87,1.75,1.4,0.4,2.2
79,Yves Mekongo Mbala,2010,La Salle,24,35.6,11.0,8.3,0.80,0.52,0.43,0.65,0.28,1.71,0.21,0.64,-4.17,0.5,0.5,2.5
