,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
633,Jamal Daniels,2003,Savannah St,27,30.1,10.4,10.4,0.74,0.46,0.44,0.18,0.38,2.19,0.21,0.80,-3.98,1.9,0.6,3.3
634,Andy Toole,2003,Penn,27,30.1,10.6,8.0,0.96,0.60,0.56,0.25,0.51,2.93,0.37,1.39,-0.57,1.0,0.0,2.1
635,Malcolm Campbell,2003,Alabama St,28,30.1,13.5,10.9,0.87,0.57,0.54,0.20,0.36,5.04,0.46,1.40,-0.84,2.1,0.1,2.0
636,Maurice Yearwood,2003,Long Island,27,30.1,9.8,8.1,0.88,0.54,0.50,0.25,0.72,2.33,0.29,1.24,-1.02,1.0,0.3,2.5
637,Jason Blair,2003,San Diego,30,30.1,17.1,10.4,1.10,0.66,0.58,0.56,0.34,1.57,0.15,0.72,-3.48,0.8,0.2,2.3
638,Deandre Moore,2003,San Diego St,30,30.1,8.3,6.9,0.82,0.54,0.52,0.25,0.51,4.07,0.59,1.74,1.26,1.4,0.0,3.0
639,Brian Wilson,2003,Holy Cross,31,30.1,11.5,8.6,1.02,0.62,0.58,0.21,0.45,1.61,0.19,0.88,-2.64,0.9,0.1,2.1
640,Brandon Mouton,2003,Texas,33,30.1,14.8,12.5,0.93,0.53,0.51,0.25,0.34,1.73,0.14,0.98,-1.91,1.0,0.3,2.0
641,Brandon Lipsey,2003,UMKC,29,30.0,6.1,5.0,0.94,0.55,0.53,0.25,0.48,1.17,0.23,1.42,-0.16,0.8,1.3,2.1
642,Brett Hale,2003,Southeast Mo St,29,30.0,13.7,10.2,1.02,0.61,0.56,0.24,0.42,2.00,0.20,0.98,-2.37,0.3,0.1,1.1
643,Cameron Crisp,2003,Tennessee Tech,32,30.0,13.6,11.3,0.86,0.54,0.50,0.25,0.43,4.50,0.40,1.43,-0.49,1.6,0.3,2.5
644,Ryan Hopkins,2003,FGCU,2,30.0,18.5,16.0,0.94,0.54,0.53,0.16,0.81,0.50,0.03,0.20,-6.97,0.5,0.0,3.0
645,Derrick Bird,2003,Auburn,34,30.0,9.8,7.9,0.91,0.56,0.51,0.26,0.57,1.47,0.19,0.81,-2.78,0.8,0.2,2.1
646,Pervis Pasco,2003,Kansas St,30,30.0,10.4,7.6,0.87,0.53,0.51,0.69,0.00,1.80,0.24,1.02,-1.90,0.9,1.5,2.8
647,Bronski Dockery,2003,St. Francis (NY),29,30.0,15.4,13.1,0.82,0.51,0.45,0.37,0.45,3.28,0.25,0.98,-3.69,1.9,0.1,3.4
648,Greg Babcock,2003,Green Bay,30,30.0,11.1,7.2,0.97,0.60,0.55,0.65,0.00,0.77,0.11,0.40,-4.73,0.2,0.6,3.2
649,Josh Lewis,2003,Austin Peay,31,30.0,12.8,7.4,1.02,0.67,0.64,0.66,0.00,1.77,0.24,0.64,-5.34,0.9,2.6,3.1
650,Gabriel Mikulas,2003,ECU,27,30.0,11.4,7.6,0.95,0.60,0.52,0.55,0.05,1.41,0.18,0.61,-4.75,1.0,0.4,2.7
651,Mike Wells,2003,WKU,33,29.9,10.8,7.5,1.07,0.64,0.61,0.27,0.49,1.70,0.22,1.08,-1.47,1.1,1.4,2.6
652,Jason Maxiell,2003,Cincinnati,30,29.9,11.7,9.8,0.86,0.50,0.45,0.43,0.00,0.43,0.04,0.25,-5.12,0.5,1.5,2.8
653,Kodiak Yazzie,2003,Northern Arizona,15,29.9,7.2,6.0,0.77,0.54,0.49,0.27,0.46,2.60,0.43,1.00,-2.79,0.4,0.3,1.6
654,Blake Hamilton,2003,Monmouth,28,29.9,11.1,8.3,0.84,0.53,0.46,0.64,0.14,1.71,0.21,0.74,-3.92,0.7,0.5,3.2
655,Steven Harvin,2003,Elon,26,29.9,7.6,6.1,0.76,0.53,0.44,0.42,0.35,3.46,0.57,1.30,-1.21,0.8,0.1,0.9
656,David Boyden,2003,WKU,33,29.9,12.4,10.5,0.87,0.52,0.49,0.30,0.22,1.36,0.13,0.62,-4.33,0.8,0.4,2.4
657,Jay Straight,2003,Wyoming,32,29.9,10.5,7.7,0.82,0.53,0.43,0.67,0.44,3.09,0.40,1.18,-1.86,0.9,0.0,1.6
658,Rhet Wierzba,2003,Austin Peay,31,29.9,8.8,6.1,1.01,0.60,0.56,0.48,0.74,1.81,0.30,1.56,0.14,1.3,0.1,2.5
659,Phil Goss,2003,Drexel,31,29.9,11.5,10.0,0.93,0.54,0.52,0.12,0.60,2.23,0.22,1.33,-0.65,1.2,0.1,2.6
660,Mike Farrell,2003,Lafayette,29,29.9,9.2,6.2,1.00,0.63,0.59,0.41,0.21,2.07,0.33,1.20,-1.19,0.5,0.3,2.2
661,Herve Lamizana,2003,Rutgers,28,29.9,10.6,9.5,0.83,0.49,0.46,0.31,0.16,2.00,0.21,1.10,-1.64,1.4,3.0,3.2
662,Rashad McCants,2003,UNC,35,29.9,17.0,12.5,1.02,0.60,0.57,0.30,0.40,1.46,0.12,0.63,-4.39,1.4,0.5,2.7
663,Odell Bradley,2003,IUPUI,34,29.9,14.7,10.6,0.93,0.57,0.52,0.50,0.24,1.59,0.15,0.62,-5.01,1.1,0.3,2.7
664,Troy Wheless,2003,Col Of Charleston,33,29.9,15.2,11.1,1.09,0.62,0.60,0.23,0.67,2.33,0.21,1.48,-0.07,1.6,0.1,2.0
665,Tyrone Hayes,2003,Idaho,28,29.9,13.1,9.5,0.92,0.57,0.50,0.49,0.14,0.93,0.10,0.38,-6.76,1.2,1.4,2.8
666,Andrew Feeley,2003,UMBC,26,29.8,10.6,7.3,0.89,0.60,0.55,0.50,0.00,1.50,0.21,0.53,-6.23,0.8,1.0,3.3
667,Ryan McDade,2003,Northern Arizona,28,29.8,18.0,14.7,0.92,0.52,0.50,0.41,0.03,0.86,0.06,0.48,-3.92,1.0,0.9,3.1
668,Mike Williams,2003,Western Mich,28,29.8,13.6,10.6,0.98,0.57,0.53,0.30,0.01,1.25,0.12,0.78,-2.69,1.2,1.0,2.9
669,Mike Radziejewski,2003,Hofstra,27,29.8,9.8,9.3,0.86,0.50,0.49,0.11,0.67,1.74,0.19,1.07,-1.53,0.8,0.3,2.8
670,Demario Eddins,2003,UAB,37,29.8,10.3,9.4,0.77,0.49,0.46,0.30,0.09,2.43,0.26,0.95,-2.95,1.6,0.2,2.4
671,Erik Benzel,2003,Denver,32,29.8,11.2,9.9,0.96,0.53,0.52,0.13,0.65,1.78,0.18,1.63,0.32,1.4,0.2,2.0
672,Chris Ferguson,2003,NC A&T,25,29.8,4.7,4.8,0.53,0.38,0.34,0.68,0.01,0.40,0.08,0.16,-7.63,0.6,0.5,2.9
673,Rhasheed Peterson,2003,Albany,28,29.8,11.8,10.8,0.97,0.52,0.51,0.11,0.55,0.68,0.06,0.79,-1.45,0.7,0.5,2.8
674,Jonathan Woods,2003,Fresno St,28,29.8,9.6,8.8,0.85,0.50,0.48,0.19,0.06,1.14,0.13,0.73,-2.72,0.5,0.9,2.4
675,Charles Gaines,2003,Southern Miss,29,29.7,15.1,10.1,0.97,0.57,0.51,0.71,0.00,0.62,0.06,0.34,-4.69,0.9,1.1,2.3
676,Wayne Bernard,2003,Davidson,35,29.7,14.8,11.6,0.83,0.57,0.51,0.29,0.45,5.46,0.47,1.17,-3.08,1.8,0.1,2.7
677,Justin Wilson,2003,UMBC,20,29.7,10.5,8.2,0.86,0.53,0.48,0.48,0.18,2.50,0.30,1.22,-1.33,1.4,0.1,1.9
678,Keith Bogans,2003,Kentucky,36,29.7,15.7,11.8,0.99,0.58,0.55,0.31,0.49,2.72,0.23,1.26,-1.16,1.2,0.1,1.7
679,Devin Green,2003,Hampton,30,29.7,14.9,11.6,0.90,0.55,0.50,0.39,0.36,2.40,0.21,0.89,-3.56,1.3,0.6,2.5
680,Kevin Burleson,2003,Minnesota,33,29.7,6.7,5.2,0.75,0.54,0.48,0.44,0.64,4.85,0.92,1.90,2.25,1.7,0.5,2.9
681,Derrick Snowden,2003,Villanova,31,29.6,8.6,7.3,0.85,0.54,0.52,0.21,0.36,3.45,0.47,1.70,0.89,1.7,0.0,2.8
682,Charles White,2003,Charleston So,28,29.6,12.1,8.2,1.05,0.63,0.60,0.40,0.00,0.93,0.11,0.55,-3.74,0.9,0.9,2.6
683,Cory Ryan,2003,Bowling Green,29,29.6,8.9,7.5,0.85,0.51,0.46,0.37,0.54,2.28,0.30,1.43,-0.24,1.6,0.3,3.1
684,Louis Ford,2003,Howard,21,29.6,7.3,6.2,0.69,0.50,0.43,0.38,0.31,4.95,0.79,1.58,0.53,2.5,0.2,2.9
