,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Dewayne Russell,2017,Grand Canyon,27,38.6,21.3,17.7,0.89,0.51,0.45,0.40,0.27,5.48,0.31,2.03,2.40,1.4,0.1,2.1
1,Matt Mobley,2017,St. Bonaventure,32,38.3,18.5,13.1,1.02,0.60,0.52,0.43,0.54,2.56,0.20,1.11,-1.56,1.6,0.3,2.4
2,Alec Wintering,2017,Portland,17,38.2,19.9,15.8,0.82,0.52,0.46,0.45,0.13,5.65,0.36,1.19,-2.72,2.1,0.0,2.6
3,T.J. Williams,2017,Northeastern,30,38.2,21.4,14.5,0.96,0.58,0.50,0.61,0.25,5.27,0.36,1.56,0.39,1.0,0.1,2.2
4,Nick Coppola,2017,La Monroe,31,37.9,9.6,8.4,0.87,0.51,0.48,0.29,0.54,4.23,0.51,2.67,3.44,0.5,0.0,2.0
5,Braylon Rayson,2017,Central Michigan,30,37.9,21.3,17.1,0.93,0.54,0.47,0.37,0.46,3.20,0.19,1.17,-1.43,1.1,0.0,2.2
6,Sa'eed Nelson,2017,American,30,37.9,14.9,12.4,0.82,0.50,0.47,0.48,0.23,2.73,0.22,0.95,-2.93,2.4,0.1,2.7
7,Marcus Keene,2017,Central Michigan,30,37.6,30.1,22.2,0.98,0.59,0.53,0.36,0.49,5.07,0.23,1.08,-3.18,0.8,0.0,2.1
8,Jaylen Adams,2017,St. Bonaventure,30,37.4,20.6,13.4,0.98,0.61,0.51,0.63,0.54,6.50,0.49,1.89,2.38,2.1,0.2,2.8
9,Lamarr Kimble,2017,St Joseph's,24,37.4,15.5,14.6,0.77,0.46,0.42,0.32,0.36,4.46,0.30,1.35,-0.85,0.8,0.1,1.6
10,Jaylon Brown,2017,Evansville,31,37.3,20.8,14.6,0.99,0.58,0.49,0.51,0.18,3.00,0.21,1.15,-1.70,1.0,0.1,2.5
11,Andrew White,2017,Syracuse,34,37.2,18.5,13.3,1.09,0.61,0.57,0.31,0.62,1.12,0.08,0.68,-2.47,1.6,0.4,2.1
12,Yettra Specks,2017,Jackson St,29,37.2,15.2,11.9,0.95,0.55,0.48,0.36,0.54,2.69,0.23,1.42,-0.29,1.2,0.1,2.3
13,Jaleen Smith,2017,New Hampshire,29,37.2,16.1,12.5,0.92,0.57,0.52,0.31,0.36,4.03,0.32,1.33,-0.97,0.9,0.6,2.7
14,Bogdan Bliznyuk,2017,Eastern Wash.,32,37.2,21.2,16.2,0.96,0.57,0.51,0.37,0.23,4.00,0.25,1.35,-0.83,1.1,0.2,2.8
15,Jared Brownridge,2017,Santa Clara,32,37.2,18.3,14.3,1.01,0.57,0.52,0.30,0.62,2.72,0.19,1.64,0.46,1.0,0.1,2.1
16,Jonathan Stark,2017,Murray St,31,37.1,22.2,17.6,0.98,0.57,0.53,0.25,0.45,5.16,0.29,1.82,1.61,1.2,0.0,2.4
17,Quinton Hooker,2017,North Dakota,29,37.0,19.3,13.9,1.07,0.60,0.55,0.33,0.44,3.66,0.26,1.96,1.48,1.7,0.1,2.2
18,Peyton Aldridge,2017,Davidson,32,36.9,20.5,14.7,1.10,0.61,0.57,0.31,0.36,2.19,0.15,1.32,-0.54,0.9,0.9,2.0
19,Josh Robinson,2017,Austin Peay,27,36.9,20.5,14.8,0.99,0.58,0.52,0.42,0.45,3.22,0.22,1.18,-1.56,0.7,0.1,2.0
20,Rodney Purvis,2017,Connecticut,32,36.8,13.5,12.1,0.88,0.51,0.46,0.23,0.56,2.47,0.20,1.39,-0.39,1.0,0.2,2.2
21,Dominic Artis,2017,UTEP,31,36.8,15.2,12.6,0.84,0.52,0.49,0.37,0.32,5.61,0.44,1.83,1.89,1.8,0.1,2.3
22,Cameron Morse,2017,Youngstown St,30,36.8,23.4,20.6,0.92,0.51,0.47,0.25,0.38,3.07,0.15,1.39,-0.40,1.1,0.1,1.4
23,Omega Harris,2017,UTEP,30,36.6,16.7,13.0,0.93,0.56,0.51,0.36,0.32,2.13,0.16,0.77,-3.76,1.3,0.2,2.2
24,John Konchar,2017,IPFW,30,36.6,15.6,9.5,1.22,0.71,0.70,0.36,0.30,3.83,0.40,2.40,2.44,1.7,0.4,1.9
25,Gian Clavell,2017,Colorado St,27,36.6,20.4,16.6,0.98,0.55,0.52,0.28,0.45,1.74,0.10,0.89,-2.25,2.0,0.7,2.1
26,Devin Morgan,2017,Delaware St,30,36.5,14.5,12.8,0.90,0.51,0.47,0.22,0.59,2.93,0.23,1.63,0.44,1.1,0.0,1.3
27,Matt Williams,2017,UCF,36,36.5,15.1,12.6,0.97,0.56,0.53,0.16,0.72,1.92,0.15,1.06,-1.52,0.7,0.0,1.8
28,Darrion Allen,2017,Longwood,28,36.5,14.0,12.3,0.83,0.50,0.43,0.34,0.47,1.36,0.11,0.55,-4.17,1.0,0.7,2.4
29,Sean O'Brien,2017,Colgate,31,36.5,12.5,9.2,1.00,0.62,0.58,0.23,0.56,4.03,0.44,1.84,1.42,1.1,0.0,2.8
30,B.J. Taylor,2017,UCF,29,36.4,17.4,13.8,0.92,0.53,0.47,0.44,0.35,3.48,0.25,1.58,0.33,1.1,0.0,2.1
31,Shawndre Jones,2017,Richmond,35,36.4,16.8,12.2,1.03,0.59,0.54,0.35,0.41,3.89,0.32,2.00,1.77,0.9,0.0,2.2
32,Joe Rahon,2017,St Mary's,34,36.4,8.3,7.2,0.86,0.53,0.50,0.21,0.41,5.65,0.78,3.31,6.40,1.1,0.3,1.9
33,Levan Alston,2017,Temple,32,36.4,13.9,11.9,0.95,0.54,0.50,0.20,0.51,4.09,0.34,2.73,3.46,1.7,0.4,2.5
34,Ethan Telfair,2017,Idaho St,27,36.4,17.1,15.5,0.77,0.46,0.39,0.43,0.30,4.85,0.31,1.39,-0.67,2.0,0.2,2.2
35,Dajuan Graf,2017,NCCU,31,36.4,14.1,10.3,0.93,0.59,0.53,0.38,0.23,5.26,0.51,1.81,1.68,1.2,0.0,2.0
36,Phillip Carr,2017,Morgan St,24,36.3,16.4,13.2,0.94,0.54,0.47,0.36,0.09,1.13,0.09,0.57,-3.31,0.6,0.8,2.3
37,Jaelan Sanford,2017,Toledo,33,36.3,13.5,10.2,0.98,0.58,0.55,0.32,0.48,3.15,0.31,1.65,0.53,0.6,0.5,1.8
38,Jack Gibbs,2017,Davidson,31,36.2,22.1,16.2,1.00,0.58,0.52,0.40,0.48,4.10,0.25,1.55,0.24,1.3,0.0,2.5
39,Jeremy Senglin,2017,Weber St,32,36.2,21.1,14.6,1.08,0.63,0.59,0.34,0.60,2.88,0.20,1.15,-1.63,1.1,0.0,2.2
40,Matthew Butler,2017,UT Martin,33,36.2,13.2,11.8,0.82,0.52,0.49,0.19,0.52,3.64,0.31,1.14,-2.09,0.6,0.0,2.4
