,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Kay Felder,2015,Oakland,31,39.2,18.9,13.5,0.88,0.57,0.48,0.53,0.31,7.42,0.55,1.74,1.70,1.9,0.3,2.6
1,Lawrence Alexander,2015,North Dakota St,31,38.6,19.2,14.6,1.03,0.58,0.54,0.29,0.50,1.65,0.11,0.81,-2.55,0.9,0.2,1.4
2,DeAndre Bembry,2015,St Joseph's,31,38.6,17.7,14.9,0.87,0.52,0.49,0.35,0.33,3.58,0.24,1.25,-1.27,1.9,0.9,2.4
3,Madarious Gibbs,2015,Texas Southern,32,38.6,14.2,11.5,0.83,0.51,0.46,0.46,0.25,4.22,0.37,1.47,-0.16,0.9,0.1,2.2
4,Darius Gardner,2015,American,33,38.5,10.5,7.9,0.88,0.57,0.53,0.36,0.32,3.94,0.50,1.53,0.15,2.0,0.2,2.3
5,Jesse Reed,2015,American,33,38.5,14.3,10.2,1.01,0.59,0.54,0.43,0.38,1.33,0.13,0.71,-2.92,1.0,0.6,2.3
6,James Sinclair,2015,WCU,29,38.2,19.0,17.3,0.85,0.49,0.44,0.28,0.31,2.93,0.17,1.16,-1.44,2.1,0.4,2.1
7,Dyami Starks,2015,Bryant,31,38.2,18.6,16.0,0.93,0.53,0.48,0.23,0.58,1.52,0.09,0.71,-2.99,0.9,0.2,1.9
8,Ashton Moore,2015,Citadel,26,38.1,18.5,13.7,0.93,0.58,0.52,0.36,0.47,3.65,0.27,1.01,-3.38,0.8,0.1,1.5
9,Damion Lee,2015,Drexel,26,38.0,21.6,14.4,1.08,0.61,0.53,0.51,0.43,2.38,0.17,1.27,-0.82,1.4,0.3,2.3
10,Mikh McKinney,2015,Sacramento St,30,37.6,19.4,13.9,1.06,0.61,0.57,0.32,0.35,4.87,0.35,2.25,2.93,2.5,0.1,1.7
11,Olivier Hanlan,2015,Boston College,32,37.6,19.5,15.5,0.96,0.56,0.52,0.29,0.37,4.22,0.27,1.59,0.42,1.3,0.0,2.1
12,Marcus Thornton,2015,William & Mary,31,37.6,20.0,14.6,1.04,0.60,0.56,0.31,0.53,2.97,0.20,1.24,-1.10,0.7,0.1,1.2
13,Saah Nimley,2015,Charleston So,28,37.6,22.3,16.2,0.97,0.57,0.49,0.48,0.64,4.07,0.25,1.44,-0.28,0.9,0.0,2.2
14,John Schoof,2015,American,33,37.5,12.0,9.4,1.01,0.59,0.58,0.18,0.55,1.61,0.17,0.98,-1.71,0.8,0.3,2.4
15,John Papale,2015,Boston U.,29,37.5,9.2,7.8,0.93,0.55,0.52,0.19,0.65,3.48,0.44,2.59,2.66,0.6,0.2,1.9
16,Nick Coppola,2015,La Monroe,34,37.4,9.2,8.1,0.85,0.52,0.49,0.21,0.50,3.44,0.42,1.89,1.31,0.8,0.0,1.8
17,Tyler Harvey,2015,Eastern Wash.,29,37.4,22.9,15.6,1.11,0.63,0.58,0.37,0.62,2.41,0.15,1.17,-1.17,1.1,0.1,2.0
18,A.J. English,2015,Iona,34,37.4,20.1,14.4,0.95,0.59,0.54,0.40,0.56,5.06,0.35,1.34,-0.96,1.4,0.5,2.7
19,Kevin Hardy,2015,McNeese St,27,37.4,13.9,11.8,0.89,0.50,0.48,0.37,0.06,4.00,0.34,2.63,3.03,2.6,0.9,2.6
20,Trevor Cooney,2015,Syracuse,31,37.3,13.4,12.1,0.88,0.50,0.45,0.25,0.61,2.23,0.18,1.50,0.00,1.8,0.0,1.5
21,R.J. Hunter,2015,Georgia St,34,37.2,19.5,14.7,0.97,0.56,0.47,0.44,0.51,3.47,0.24,1.59,0.38,2.1,1.0,2.4
22,Denzel Livingston,2015,Incarnate Word,25,37.2,21.1,14.5,0.98,0.58,0.48,0.61,0.30,2.72,0.19,1.03,-2.10,2.4,1.4,3.1
23,Marvelle Harris,2015,Fresno St,30,37.1,17.0,12.8,0.93,0.56,0.51,0.41,0.41,3.53,0.28,1.28,-1.13,2.0,0.2,3.1
24,D.J. Newbill,2015,Penn St,34,37.1,20.7,15.9,0.96,0.56,0.51,0.38,0.31,3.09,0.19,1.17,-1.57,1.3,0.2,2.1
25,Yonel Brown,2015,Kennesaw St,30,37.1,14.1,10.5,0.93,0.57,0.48,0.43,0.48,2.77,0.26,1.12,-1.64,1.2,0.0,1.7
26,Jerian Grant,2015,Notre Dame,38,37.1,16.5,11.2,1.02,0.60,0.54,0.51,0.37,6.63,0.59,3.07,6.22,1.7,0.5,2.0
27,Matt Mobley,2015,CCSU,31,37.0,17.3,13.8,0.91,0.54,0.49,0.37,0.48,1.84,0.13,0.69,-3.98,0.8,0.2,2.1
28,David Walker,2015,Northeastern,35,37.0,13.4,9.3,1.00,0.61,0.54,0.41,0.54,3.60,0.39,1.62,0.47,1.2,0.3,0.8
29,D.J. Balentine,2015,Evansville,35,37.0,20.0,15.6,0.96,0.55,0.50,0.38,0.34,3.17,0.20,1.44,-0.23,0.8,0.2,1.0
30,Joseph Young,2015,Oregon,35,37.0,20.7,16.4,1.00,0.57,0.52,0.23,0.44,3.66,0.22,1.49,-0.05,1.1,0.0,1.5
31,LaDontae Henton,2015,Providence,34,37.0,19.7,15.2,0.98,0.56,0.51,0.37,0.37,0.85,0.06,0.43,-3.83,1.4,0.5,2.2
32,Damon Lynn,2015,NJIT,29,37.0,17.4,15.5,0.87,0.51,0.48,0.23,0.69,3.52,0.23,1.23,-1.36,1.7,0.0,2.1
33,Zaid Hearst,2015,Quinnipiac,30,36.8,18.3,15.2,0.92,0.53,0.48,0.33,0.32,2.53,0.17,1.13,-1.45,0.5,0.3,2.2
34,Corey Petros,2015,Oakland,31,36.8,14.0,10.1,1.00,0.58,0.59,0.46,0.00,2.00,0.20,1.27,-0.65,0.5,0.3,2.7
35,Nigel Williams-Goss,2015,Washington,30,36.8,15.6,14.0,0.84,0.50,0.47,0.23,0.20,5.87,0.42,2.07,2.88,1.1,0.2,1.9
36,Kyle Hittle,2015,Incarnate Word,25,36.8,14.6,10.1,1.06,0.61,0.57,0.41,0.51,1.92,0.19,1.20,-0.82,0.9,0.6,2.4
37,Jordan Gregory,2015,Montana,31,36.7,17.1,13.4,0.95,0.55,0.49,0.36,0.53,3.32,0.25,1.49,-0.03,0.5,0.0,1.6
38,Shane McLaughlin,2015,Bryant,31,36.7,7.5,6.7,0.71,0.48,0.44,0.36,0.25,4.77,0.72,1.78,1.41,0.9,0.0,2.0
39,Zay Jackson,2015,Southeastern LA,24,36.7,15.6,14.0,0.80,0.51,0.48,0.21,0.39,4.63,0.33,1.16,-2.38,1.3,0.3,2.6
40,Freddie Jackson,2015,UNCW,31,36.6,12.6,11.3,0.85,0.50,0.47,0.28,0.35,2.03,0.18,1.00,-1.77,1.5,0.4,1.6
41,Marquis Wright,2015,Siena,31,36.6,12.5,10.4,0.82,0.50,0.45,0.44,0.14,5.06,0.49,2.01,2.29,2.0,0.4,2.6
42,Nimrod Hilliard,2015,NCCU,29,36.6,12.4,8.8,0.94,0.61,0.54,0.38,0.29,6.14,0.70,2.17,3.70,1.1,0.5,2.0
43,DeVille Smith,2015,UT Martin,32,36.5,14.1,12.3,0.83,0.51,0.49,0.26,0.47,4.28,0.35,1.40,-0.59,1.7,0.6,2.0
44,Zak Irvin,2015,Michigan,31,36.5,14.0,12.7,0.91,0.51,0.49,0.19,0.54,1.58,0.12,1.07,-1.27,1.0,0.1,1.3
45,Kendall Anthony,2015,Richmond,35,36.5,16.4,13.0,0.99,0.56,0.51,0.30,0.34,2.54,0.20,1.65,0.44,0.9,0.0,2.1
46,Jaylen Bland,2015,UCR,29,36.4,15.0,13.1,0.91,0.52,0.48,0.22,0.62,1.48,0.11,0.83,-2.21,1.4,0.4,2.0
47,Juan'ya Green,2015,Hofstra,34,36.4,17.1,12.2,0.93,0.56,0.46,0.59,0.44,6.47,0.53,2.56,4.60,1.4,0.3,2.1
48,Chasson Randle,2015,Stanford,37,36.4,19.6,14.5,1.00,0.57,0.49,0.42,0.46,3.03,0.21,1.49,-0.02,1.4,0.1,2.2
49,Quincy Taylor,2015,Longwood,30,36.4,17.2,14.0,0.92,0.56,0.53,0.22,0.41,2.67,0.19,0.88,-3.33,1.2,0.2,2.4
50,Jelani Hewitt,2015,Ga Southern,28,36.4,17.8,13.9,0.89,0.53,0.45,0.48,0.63,3.57,0.26,1.32,-0.92,2.4,0.3,1.9
51,Josh Richardson,2015,Tennessee,32,36.3,16.0,12.5,0.94,0.57,0.52,0.31,0.32,3.59,0.29,1.35,-0.76,2.1,0.5,2.5
52,Bryce Alford,2015,UCLA,36,36.3,15.4,12.0,0.94,0.56,0.50,0.33,0.55,4.89,0.41,1.98,2.09,0.9,0.0,1.5
53,Gary Payton II,2015,Oregon St,30,36.3,13.3,10.7,0.94,0.55,0.52,0.30,0.29,3.13,0.29,1.65,0.55,3.1,1.1,2.7
54,Tramique Sutherland,2015,Bradley,23,36.3,11.1,10.8,0.72,0.44,0.37,0.38,0.17,2.91,0.27,1.18,-1.58,1.1,0.0,2.1
55,Joshua Filmore,2015,Southeastern LA,19,36.2,12.2,11.0,0.89,0.52,0.51,0.14,0.65,2.37,0.22,1.29,-0.69,0.7,0.0,1.8
56,Tylor Ongwae,2015,La Monroe,34,36.1,13.5,12.6,0.79,0.47,0.40,0.32,0.23,2.91,0.23,1.14,-1.78,0.9,0.3,2.2
57,Johnathan Jordan,2015,TAMUCC,32,36.1,15.7,11.2,0.88,0.53,0.46,0.73,0.11,5.28,0.47,2.06,2.70,1.8,0.1,2.1
58,Caris LeVert,2015,Michigan,17,36.0,14.6,12.3,0.90,0.53,0.48,0.29,0.35,3.41,0.28,1.49,-0.06,1.8,0.4,1.8
59,Marshun Newell,2015,UT Martin,32,36.0,13.2,10.4,0.93,0.56,0.52,0.31,0.48,2.59,0.25,1.15,-1.50,1.0,0.1,1.8
60,Larry Nance,2015,Wyoming,29,36.0,16.5,12.0,0.98,0.58,0.53,0.42,0.12,2.45,0.20,1.04,-2.21,1.2,1.2,2.3
61,Anthony Livingston,2015,Arkansas St,28,36.0,15.8,12.4,0.90,0.54,0.50,0.41,0.24,0.79,0.06,0.29,-5.82,0.4,1.0,2.3
62,Marcus Posley,2015,St. Bonaventure,31,35.9,16.7,14.4,0.90,0.52,0.47,0.29,0.53,2.13,0.15,1.03,-1.79,1.2,0.0,2.3
63,Trevor Lacey,2015,N.C. State,35,35.9,15.7,12.5,0.97,0.56,0.53,0.29,0.46,3.46,0.28,1.81,1.10,0.9,0.2,1.6
64,Dennis Mavin,2015,FIU,31,35.9,17.1,13.7,0.82,0.51,0.46,0.50,0.22,3.10,0.23,0.86,-4.28,1.2,0.0,1.4
65,Nick Paulos,2015,UNCG,30,35.9,10.4,7.9,1.05,0.63,0.62,0.10,0.80,1.60,0.20,1.02,-1.36,0.7,0.4,1.9
66,Charles Lee,2015,Cleveland St.,26,35.8,13.2,8.7,1.07,0.66,0.61,0.35,0.54,4.04,0.46,1.84,1.46,0.8,0.0,2.3
67,Earl Brown,2015,St. Francis (PA),31,35.8,15.6,10.9,0.92,0.59,0.55,0.50,0.15,1.97,0.18,0.59,-5.77,1.1,0.9,1.9
68,Quinn Cook,2015,Duke,39,35.8,15.3,11.2,1.11,0.61,0.57,0.25,0.59,2.64,0.24,2.19,1.52,1.0,0.0,1.9
69,Chip Armelin,2015,Southern Miss,27,35.8,16.2,12.8,1.00,0.58,0.56,0.23,0.46,1.93,0.15,0.96,-2.07,1.1,0.1,1.5
70,Dante Williams,2015,Oakland,31,35.8,10.2,9.1,0.93,0.53,0.51,0.13,0.66,1.74,0.19,1.35,-0.35,0.7,0.3,3.0
71,Ryan Boatright,2015,Connecticut,34,35.8,17.4,12.6,1.00,0.59,0.52,0.39,0.49,3.79,0.30,1.59,0.43,1.4,0.2,1.9
72,Desharick Guidry,2015,McNeese St,27,35.7,17.1,13.1,0.97,0.56,0.51,0.37,0.27,1.52,0.12,0.75,-2.83,1.3,0.5,2.8
73,Trey Lewis,2015,Cleveland St.,32,35.7,15.9,12.3,0.97,0.58,0.54,0.27,0.54,2.75,0.22,1.17,-1.49,1.2,0.2,2.0
74,Anthony Brown,2015,Stanford,37,35.7,14.8,11.0,0.99,0.58,0.53,0.36,0.44,2.54,0.23,1.31,-0.70,0.8,0.2,2.1
75,Chavaughn Lewis,2015,Marist,29,35.7,20.6,16.9,0.84,0.51,0.46,0.46,0.29,2.69,0.16,0.75,-4.91,2.3,0.8,2.4
76,Jherrod Stiggers,2015,Houston,31,35.6,14.2,12.4,0.85,0.52,0.49,0.22,0.73,2.55,0.21,0.89,-3.33,1.2,0.3,1.7
77,Tyler Strange,2015,Gardner-Webb,31,35.6,9.0,7.7,0.81,0.53,0.51,0.22,0.63,7.32,0.95,2.84,6.19,1.7,0.1,2.0
78,Corey Walden,2015,EKU,30,35.6,18.8,11.5,1.12,0.67,0.61,0.51,0.39,3.80,0.33,1.61,0.47,3.1,0.2,2.5
79,Keifer Sykes,2015,Green Bay,31,35.6,18.5,14.5,0.95,0.55,0.49,0.39,0.32,3.94,0.27,1.74,1.03,1.7,0.2,2.2
80,Marcel Mosley,2015,UAPB,28,35.6,17.5,12.9,0.91,0.57,0.50,0.44,0.50,2.61,0.20,0.75,-4.87,2.1,0.0,1.9
81,Ron Curry,2015,James Madison,33,35.6,13.9,10.6,0.91,0.55,0.49,0.45,0.42,4.33,0.41,1.91,1.75,1.1,0.2,1.8
82,Pat Connaughton,2015,Notre Dame,38,35.6,12.5,9.4,1.10,0.62,0.60,0.18,0.62,1.50,0.16,1.30,-0.45,0.7,0.9,2.0
83,Steve McWhorter,2015,Milwaukee,28,35.5,14.0,10.9,0.92,0.55,0.50,0.38,0.36,4.71,0.43,1.97,2.09,1.7,0.5,3.0
84,Alex Anderson,2015,UT Martin,32,35.5,12.3,8.5,1.16,0.67,0.64,0.19,0.68,1.91,0.22,1.42,-0.21,0.4,0.0,1.0
85,Keith Hornsby,2015,LSU,33,35.5,13.4,11.2,0.97,0.55,0.52,0.20,0.49,2.09,0.19,1.47,-0.08,1.1,0.5,1.6
86,Roosevelt Jones,2015,Butler,34,35.5,12.7,11.7,0.76,0.46,0.42,0.40,0.00,3.68,0.31,1.40,-0.48,0.9,0.6,2.5
87,Jeremy Senglin,2015,Weber St,22,35.5,16.3,11.5,0.93,0.57,0.49,0.57,0.49,3.41,0.30,1.25,-1.29,1.0,0.0,2.3
88,Ty Greene,2015,USC Upstate,32,35.5,20.6,15.5,1.04,0.57,0.53,0.36,0.48,2.19,0.14,1.59,0.24,2.0,0.2,1.7
89,Marcus Keene,2015,Youngstown St,29,35.5,15.5,11.7,1.01,0.60,0.56,0.25,0.58,2.66,0.23,1.18,-1.28,1.1,0.1,2.6
90,Jalan West,2015,Northwestern St,28,35.5,20.7,13.8,1.06,0.63,0.57,0.42,0.49,7.36,0.53,2.61,5.12,1.9,0.4,2.1
91,Quinton Hooker,2015,North Dakota,28,35.5,13.1,10.0,0.92,0.55,0.49,0.41,0.25,4.21,0.42,1.90,1.63,1.4,0.3,2.3
92,Anthony Drmic,2015,Boise St,7,35.4,15.0,11.0,1.04,0.58,0.53,0.39,0.56,1.57,0.14,1.22,-0.70,0.7,0.0,2.3
