,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,David Walker,2016,Northeastern,32,39.1,18.3,12.2,1.10,0.64,0.58,0.40,0.59,4.03,0.33,2.08,2.02,1.4,0.4,0.9
1,Yonel Brown,2016,Kennesaw St,29,38.8,19.1,16.0,0.93,0.54,0.50,0.25,0.46,2.38,0.15,0.92,-2.51,1.1,0.0,2.0
2,Cat Barber,2016,N.C. State,33,38.7,23.5,17.3,0.98,0.56,0.47,0.48,0.21,4.45,0.26,1.73,1.03,0.6,0.1,2.2
3,Terrell Lewis,2016,Eastern Illinois,28,38.5,11.2,9.4,0.86,0.52,0.48,0.36,0.61,5.68,0.61,2.79,4.59,1.2,0.0,2.1
4,Damon Lynn,2016,NJIT,34,38.2,18.4,15.1,0.95,0.54,0.48,0.31,0.66,3.26,0.22,1.61,0.38,1.6,0.1,1.3
5,Jordan Potts,2016,Bethune Cookman,30,38.1,16.3,14.3,0.83,0.50,0.44,0.32,0.59,4.13,0.29,1.46,-0.21,1.4,0.1,2.4
6,Jordan Price,2016,La Salle,30,38.0,19.2,16.2,0.87,0.52,0.47,0.33,0.49,2.90,0.18,0.88,-3.72,1.1,0.4,2.2
7,Monte Morris,2016,Iowa St,35,38.0,13.8,11.0,0.99,0.57,0.54,0.25,0.27,6.89,0.62,4.23,7.51,1.8,0.3,1.6
8,Michael Gbinije,2016,Syracuse,37,37.9,17.5,13.2,0.96,0.58,0.55,0.33,0.48,4.32,0.33,1.52,0.13,1.9,0.4,2.6
9,Juan'ya Green,2016,Hofstra,33,37.9,17.8,12.9,0.92,0.56,0.47,0.55,0.43,7.12,0.55,2.37,4.54,1.6,0.5,2.3
10,Jesse Reed,2016,American,31,37.8,12.9,10.0,0.93,0.57,0.53,0.32,0.44,2.10,0.21,0.87,-3.00,0.9,0.6,2.5
11,Gian Clavell,2016,Colorado St,9,37.8,20.6,14.9,1.02,0.58,0.53,0.45,0.45,3.22,0.22,1.61,0.39,0.8,0.6,2.3
12,James Daniel,2016,Howard,28,37.7,26.9,19.7,0.92,0.55,0.45,0.55,0.40,2.75,0.14,0.67,-5.84,2.0,0.2,2.1
