,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
0,Chris Gradnigo,2011,Hawaii,1,40.0,0.0,4.0,0.00,0.00,0.00,0.00,0.50,8.00,2.00,0.00,13.01,3.0,0.0,4.0
1,C.J. Reed,2011,Bethune Cookman,30,39.5,18.7,15.7,0.85,0.50,0.42,0.43,0.32,4.73,0.30,1.56,0.33,1.5,0.0,2.5
2,Ogo Adegboye,2011,St. Bonaventure,33,39.0,11.8,9.0,0.87,0.55,0.51,0.45,0.58,4.06,0.45,1.56,0.27,0.8,0.2,2.5
3,Khalid Mutakabbir,2011,Presbyterian,32,39.0,13.3,10.5,0.91,0.57,0.53,0.27,0.30,2.34,0.22,0.85,-3.32,1.0,0.2,2.3
4,Robo Kreps,2011,Ill Chicago,30,38.7,15.6,12.9,0.91,0.54,0.50,0.26,0.49,2.83,0.22,1.12,-1.70,1.2,0.1,1.7
5,Donald Sims,2011,Appalachian St.,30,38.5,20.7,14.7,1.00,0.59,0.51,0.44,0.48,3.50,0.24,1.25,-1.19,1.7,0.2,1.5
6,Tu Holloway,2011,Xavier,32,38.4,19.7,12.4,0.98,0.61,0.50,0.68,0.44,5.44,0.44,1.58,0.50,1.4,0.1,1.9
7,Malcolm Delaney,2011,Virginia Tech,35,38.3,18.7,12.9,0.97,0.59,0.51,0.50,0.46,3.94,0.31,1.28,-1.21,1.6,0.2,2.6
8,Talor Battle,2011,Penn St,34,38.1,20.2,15.6,1.00,0.56,0.52,0.33,0.54,2.94,0.19,1.49,-0.03,0.8,0.1,1.5
9,Kemba Walker,2011,Connecticut,43,37.9,23.7,18.3,0.97,0.55,0.48,0.42,0.31,4.44,0.24,1.95,1.84,1.9,0.2,1.4
10,Jack Eggleston,2011,Penn,33,37.9,13.5,10.1,1.01,0.59,0.57,0.28,0.26,2.09,0.21,1.17,-1.08,0.8,0.7,1.8
11,Mike Scott,2011,Fairleigh Dickinson,30,37.8,14.7,11.3,0.85,0.54,0.47,0.44,0.47,4.30,0.38,1.22,-1.76,1.6,0.2,3.3
12,Will Weathers,2011,Troy,26,37.6,12.3,11.1,0.71,0.48,0.42,0.36,0.26,6.58,0.59,1.58,0.58,1.8,0.1,2.8
13,C.J. Wilkerson,2011,NCCU,25,37.5,19.4,12.2,0.98,0.60,0.53,0.71,0.33,1.64,0.13,0.51,-5.75,1.0,0.1,2.6
14,Charles Jenkins,2011,Hofstra,33,37.4,22.4,14.5,1.12,0.64,0.58,0.46,0.33,4.76,0.33,2.18,2.73,1.7,0.6,2.0
15,Michael Thompson,2011,Northwestern,38,37.4,15.9,12.1,1.03,0.60,0.57,0.23,0.57,4.26,0.35,2.28,2.74,1.5,0.1,2.1
16,Ryan Rossiter,2011,Siena,32,37.4,18.3,13.9,0.94,0.54,0.47,0.47,0.04,1.53,0.11,0.65,-3.46,0.9,1.3,2.6
17,Tyler Murray,2011,Wagner,32,37.4,17.3,12.0,0.96,0.60,0.53,0.47,0.40,3.56,0.30,1.13,-2.06,1.3,0.3,1.7
18,Ben Drayton,2011,Ga Southern,30,37.4,16.2,12.6,0.87,0.55,0.51,0.39,0.19,4.73,0.38,1.31,-1.17,1.8,0.0,2.4
19,Kevin Galloway,2011,Texas Southern,34,37.3,10.9,9.0,0.66,0.48,0.44,0.58,0.32,6.24,0.69,1.24,-2.31,1.7,1.0,2.0
20,Zack Rosen,2011,Penn,33,37.3,14.4,10.3,0.94,0.58,0.52,0.43,0.41,5.61,0.54,2.10,2.99,1.3,0.1,2.6
21,Anthony Nelson,2011,Niagara,29,37.3,15.4,12.0,0.79,0.50,0.42,0.64,0.42,5.07,0.42,1.40,-0.63,3.4,0.1,2.0
22,Mickey McConnell,2011,St Mary's,40,37.3,15.8,10.2,1.09,0.65,0.59,0.42,0.46,5.88,0.58,2.80,4.87,1.2,0.2,1.7
23,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,16.3,0.96,0.57,0.48,0.58,0.31,2.25,0.14,0.66,-4.68,1.7,0.5,2.3
24,Justin Graham,2011,San Jose St,34,37.1,14.4,12.1,0.86,0.51,0.47,0.39,0.23,4.44,0.37,1.89,1.62,2.2,0.3,2.5
25,Ryan Kinsley,2011,New Orleans,1,37.0,15.0,8.0,1.67,0.84,0.81,0.25,0.75,1.00,0.13,0.00,2.03,0.0,1.0,1.0
26,Chris Costanza,2011,San Jose St,1,37.0,8.0,8.0,0.57,0.38,0.25,0.75,0.13,1.00,0.13,0.33,-6.24,1.0,0.0,4.0
27,Zach Urbanus,2011,Citadel,33,37.0,10.4,9.4,0.84,0.51,0.47,0.18,0.55,2.88,0.31,1.40,-0.40,0.7,0.0,0.8
28,Julyan Stone,2011,UTEP,37,37.0,8.5,5.9,0.87,0.56,0.53,0.66,0.26,5.16,0.87,2.65,4.00,1.4,0.6,2.5
29,Alex Young,2011,IUPUI,32,37.0,19.6,15.6,0.91,0.55,0.51,0.33,0.24,2.28,0.15,0.65,-5.69,1.4,0.8,2.8
30,Chaisson Allen,2011,Northeastern,31,36.9,16.5,12.7,0.95,0.55,0.50,0.41,0.44,3.65,0.29,1.95,1.61,2.0,0.1,1.9
31,Frankie Dobbs,2011,Bryant,31,36.8,12.6,9.2,0.91,0.58,0.52,0.43,0.56,5.35,0.58,1.91,2.05,1.1,0.1,1.9
32,Diante Garrett,2011,Iowa St,33,36.8,17.0,16.1,0.82,0.49,0.47,0.16,0.35,6.15,0.38,1.85,1.98,1.8,0.2,1.7
33,Andrew Warren,2011,Bradley,32,36.8,19.1,15.0,0.99,0.56,0.50,0.33,0.40,1.88,0.13,1.03,-1.55,1.6,0.3,2.9
34,Landon Clement,2011,NCCU,26,36.7,18.6,14.0,1.07,0.59,0.55,0.27,0.63,1.00,0.07,0.68,-2.17,1.1,0.0,1.3
35,George Beamon,2011,Manhattan,35,36.7,16.3,13.2,0.89,0.51,0.44,0.46,0.11,1.29,0.10,0.63,-3.43,1.6,0.5,3.0
36,Kyle Riley,2011,Howard,23,36.6,10.2,9.1,0.75,0.49,0.46,0.32,0.31,3.83,0.42,1.26,-1.36,1.7,0.0,2.2
37,Julian Mavunga,2011,Miami FL,31,36.6,14.7,9.9,0.85,0.56,0.49,0.72,0.28,3.03,0.31,0.79,-5.17,0.6,0.5,2.5
38,Darrion Pellum,2011,Hampton,31,36.5,16.9,15.0,0.84,0.50,0.45,0.32,0.44,1.97,0.13,0.70,-4.05,1.7,0.3,2.2
39,Chad Tomko,2011,UNCW,33,36.5,17.8,15.0,0.89,0.54,0.50,0.23,0.47,4.09,0.27,1.24,-1.69,1.8,0.3,1.9
40,Aleek Pauline,2011,Norfolk St,32,36.5,9.0,6.6,0.72,0.52,0.46,0.67,0.24,5.53,0.83,1.57,0.40,1.5,0.1,2.7
41,Jordan Taylor,2011,Wisconsin,35,36.5,18.0,13.1,1.06,0.58,0.52,0.41,0.39,4.63,0.35,3.77,5.97,0.7,0.1,2.3
42,Jay Threatt,2011,Delaware St,28,36.5,9.7,8.0,0.82,0.52,0.48,0.35,0.31,6.00,0.75,2.58,5.05,3.0,0.2,1.7
43,Marshon Brooks,2011,Providence,33,36.4,24.5,17.9,1.01,0.59,0.54,0.38,0.35,2.48,0.14,0.83,-3.42,1.5,1.2,2.5
44,Demetrece Young,2011,Pacific,30,36.4,10.2,8.0,0.95,0.58,0.54,0.23,0.57,3.83,0.48,2.02,1.96,0.8,0.0,1.2
45,Pierre Miller,2011,Presbyterian,32,36.3,9.5,7.4,0.91,0.59,0.58,0.21,0.64,3.63,0.49,1.57,0.31,0.5,0.0,1.4
46,Randy Culpepper,2011,UTEP,37,36.3,19.6,14.9,0.97,0.56,0.51,0.40,0.39,3.03,0.20,1.26,-1.05,2.1,0.2,2.4
47,Aaron Johnson,2011,UAB,31,36.3,11.8,8.8,0.80,0.54,0.46,0.55,0.33,7.71,0.88,2.17,4.62,1.5,0.0,2.5
48,Devin Gibson,2011,UTSA,35,36.3,18.0,11.5,0.92,0.58,0.47,0.79,0.24,5.34,0.46,1.55,0.28,2.7,0.2,2.8
49,Vincent Council,2011,Providence,33,36.3,13.8,12.3,0.77,0.48,0.42,0.39,0.36,5.79,0.47,1.77,1.49,1.7,0.5,2.4
50,Jeremy Granger,2011,Eastern Illinois,27,36.3,14.7,11.9,0.91,0.54,0.46,0.34,0.22,3.26,0.27,1.44,-0.25,1.1,0.1,2.2
51,Milton Burton,2011,Hartford,32,36.3,10.9,10.9,0.82,0.47,0.45,0.15,0.53,1.97,0.18,1.29,-0.63,2.3,0.5,2.5
52,Jimmer Fredette,2011,BYU,37,36.2,29.2,21.1,1.02,0.60,0.53,0.37,0.41,4.24,0.20,1.16,-2.12,1.3,0.0,1.3
53,Allen Smith,2011,UAPB,32,36.2,11.8,10.5,0.84,0.50,0.47,0.27,0.65,3.06,0.29,1.44,-0.22,0.8,0.1,2.0
54,Matt Lander,2011,Western Ill,31,36.2,16.8,12.1,0.89,0.55,0.48,0.58,0.35,2.55,0.21,0.79,-4.47,1.1,0.3,2.3
55,Kevin Anderson,2011,Richmond,39,36.2,17.0,13.6,0.96,0.55,0.51,0.32,0.35,3.26,0.24,1.65,0.57,1.4,0.1,1.5
56,Norris Cole,2011,Cleveland St.,35,36.1,21.6,16.0,0.95,0.56,0.47,0.48,0.26,5.49,0.34,1.90,2.16,2.1,0.1,2.5
57,Kendall Timmons,2011,Tulane,30,36.1,17.7,13.5,0.87,0.53,0.48,0.53,0.14,3.37,0.25,1.07,-2.47,1.8,0.6,2.7
58,D.J. Gay,2011,San Diego St,38,36.1,11.5,10.5,0.87,0.49,0.46,0.24,0.56,2.95,0.28,2.15,1.73,1.0,0.1,0.8
59,Cameron Wells,2011,Citadel,33,36.1,17.8,14.2,0.92,0.54,0.47,0.38,0.17,4.36,0.31,1.69,0.96,1.5,0.4,2.0
60,Matthew Dellavedova,2011,St Mary's,40,36.1,13.6,10.3,0.95,0.58,0.52,0.32,0.53,5.55,0.54,2.34,3.67,1.2,0.0,2.0
61,Tyrone Conley,2011,New Hampshire,29,36.1,15.7,14.1,0.88,0.51,0.48,0.23,0.57,2.03,0.14,0.97,-2.26,1.2,0.8,2.6
62,Joe Zeglinski,2011,Hartford,32,36.1,13.9,13.8,0.80,0.46,0.43,0.23,0.64,1.88,0.14,0.97,-1.98,1.1,0.2,2.6
63,Antonio Wertz,2011,New Orleans,1,36.0,10.0,5.0,0.91,0.65,0.40,1.20,0.40,2.00,0.40,0.67,-5.21,0.0,2.0,2.0
64,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,13.5,1.13,0.67,0.58,0.53,0.54,1.61,0.12,0.65,-3.94,1.4,0.0,1.8
65,Brandon Knight,2011,Kentucky,41,36.0,17.2,13.5,0.91,0.56,0.51,0.32,0.45,4.17,0.31,1.33,-1.02,0.7,0.2,2.2
66,N'Gai Evans,2011,Wright St,29,35.9,13.9,10.4,0.92,0.56,0.50,0.44,0.23,3.31,0.32,1.33,-0.82,1.5,0.2,2.3
67,Wil Peters,2011,Tennessee St,29,35.9,10.8,8.1,0.86,0.56,0.49,0.42,0.44,4.38,0.54,1.61,0.56,0.8,0.2,2.8
68,Jawan Carter,2011,Delaware,33,35.8,16.1,11.7,0.98,0.58,0.50,0.45,0.62,2.48,0.21,1.21,-1.20,0.9,0.0,2.4
69,Scott Christopherson,2011,Iowa St,32,35.8,13.7,11.5,1.00,0.56,0.55,0.12,0.55,2.47,0.21,1.68,0.47,0.7,0.0,0.9
70,Chris De La Rosa,2011,UMBC,30,35.8,15.5,14.1,0.81,0.48,0.44,0.31,0.28,6.03,0.43,2.13,3.31,1.0,0.0,2.0
71,Jon Diebler,2011,Ohio St,39,35.8,12.7,7.9,1.28,0.72,0.70,0.27,0.79,2.38,0.30,2.33,1.63,1.0,0.2,1.0
72,Antoine Young,2011,Creighton,41,35.7,12.9,10.9,0.85,0.50,0.44,0.40,0.29,5.15,0.47,2.43,3.84,0.9,0.0,1.4
73,Jovonni Shuler,2011,Savannah St,27,35.7,17.3,14.1,0.88,0.52,0.47,0.39,0.51,1.70,0.12,0.60,-5.08,1.1,0.3,2.5
74,Isaiah Philmore,2011,Towson,30,35.7,15.3,11.5,0.98,0.57,0.52,0.38,0.15,1.00,0.09,0.50,-3.80,0.9,0.6,2.6
75,Leroy Nobles,2011,IUPUI,31,35.7,17.5,11.6,1.05,0.62,0.55,0.51,0.46,1.13,0.10,0.54,-4.00,0.8,0.1,2.1
76,Brenton Butler,2011,Fordham,27,35.7,14.6,13.1,0.83,0.49,0.44,0.28,0.51,3.37,0.26,1.32,-0.85,0.6,0.0,2.1
77,Kris Richard,2011,Tulane,30,35.7,10.9,9.8,0.88,0.50,0.47,0.23,0.58,2.17,0.22,1.48,-0.06,1.9,0.7,2.6
78,Rick Jackson,2011,Syracuse,36,35.6,13.0,9.4,0.98,0.59,0.59,0.41,0.00,2.17,0.23,1.07,-1.65,1.3,2.4,2.0
79,Keegan Bell,2011,Chattanooga,33,35.6,10.1,9.1,0.81,0.50,0.46,0.24,0.68,5.64,0.62,2.45,3.88,0.8,0.0,1.9
80,D.J. Cooper,2011,Ohio,37,35.6,15.9,13.4,0.82,0.51,0.44,0.39,0.41,7.41,0.55,2.14,4.07,2.2,0.2,2.2
81,Markeith Cummings,2011,Kennesaw St,32,35.6,17.8,13.7,0.88,0.53,0.47,0.54,0.12,1.88,0.14,0.65,-4.60,1.5,0.1,2.5
82,Travis Hallam,2011,Denver,34,35.5,8.6,6.7,0.91,0.57,0.55,0.26,0.45,2.65,0.39,1.45,-0.19,0.9,0.4,2.3
83,Broderick Gilchrest,2011,Idaho St,28,35.5,15.3,13.6,0.84,0.50,0.47,0.27,0.41,2.07,0.15,0.77,-3.75,1.1,0.1,2.3
84,Byron Mulkey,2011,Buffalo,36,35.5,13.2,10.4,0.89,0.55,0.49,0.36,0.40,4.44,0.43,1.74,1.14,2.5,0.0,2.2
85,Ben Hansbrough,2011,Notre Dame,35,35.5,18.3,11.9,1.08,0.64,0.58,0.46,0.49,4.31,0.36,1.80,1.39,1.2,0.1,2.5
86,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,15.2,1.02,0.57,0.51,0.41,0.10,0.97,0.06,0.59,-2.87,0.9,2.3,1.6
87,Vaughn Duggins,2011,Wright St,31,35.4,18.4,13.9,1.00,0.56,0.49,0.40,0.27,2.19,0.16,1.31,-0.65,1.6,0.1,1.7
88,Dee Bost,2011,Mississippi St.,17,35.4,15.3,12.7,0.83,0.52,0.48,0.36,0.52,6.18,0.49,1.78,1.79,1.6,0.3,2.2
89,Derrio Green,2011,Charlotte,30,35.4,13.0,12.0,0.77,0.48,0.41,0.33,0.58,3.80,0.32,1.28,-1.25,1.4,0.1,1.9
90,David Hanson,2011,Cal Poly,31,35.4,14.9,13.3,0.94,0.52,0.50,0.20,0.50,1.84,0.14,1.58,0.20,1.1,0.2,2.4
91,Casper Ware,2011,LBSU,35,35.4,17.0,12.0,0.94,0.58,0.50,0.51,0.48,4.43,0.37,1.45,-0.28,1.5,0.1,2.6
92,Demitrius Conger,2011,St. Bonaventure,33,35.4,10.3,7.2,0.90,0.60,0.57,0.44,0.42,2.03,0.28,0.76,-3.81,0.6,0.5,2.3
93,Ken Horton,2011,CCSU,31,35.4,19.5,14.0,1.09,0.61,0.56,0.31,0.36,1.94,0.14,1.18,-0.99,1.4,1.6,2.4
94,Sultan Toles-Bey,2011,Sacramento St,29,35.3,11.6,11.2,0.70,0.46,0.40,0.30,0.48,4.76,0.42,1.29,-1.52,1.4,0.1,2.6
95,Dante Jackson,2011,Xavier,32,35.3,7.9,7.2,0.87,0.51,0.48,0.19,0.74,1.97,0.27,1.58,0.18,1.3,0.2,2.7
96,John Roberson,2011,Texas Tech,30,35.3,14.1,11.0,0.88,0.56,0.50,0.33,0.58,4.43,0.40,1.34,-0.93,1.1,0.2,2.9
97,Nick Murphy,2011,Jacksonville St,27,35.3,15.4,11.7,0.92,0.55,0.49,0.46,0.15,2.44,0.21,0.99,-2.56,1.9,0.3,2.7
98,Jeremy Hazell,2011,Seton Hall,18,35.3,19.8,15.3,0.99,0.56,0.51,0.38,0.51,1.61,0.11,0.91,-1.95,2.4,0.1,1.1
99,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,19.0,0.98,0.57,0.54,0.19,0.45,4.18,0.22,1.29,-1.25,0.9,0.2,1.8
100,LaceDarius Dunn,2011,Baylor,28,35.3,19.5,15.1,0.91,0.56,0.50,0.35,0.58,2.14,0.14,0.58,-6.45,1.2,0.0,2.4
101,Kashief Edwards,2011,Niagara,28,35.3,12.4,11.1,0.78,0.48,0.44,0.40,0.03,0.82,0.07,0.32,-5.49,1.0,1.1,2.6
102,Kenneth Faried,2011,Morehead St,33,35.2,17.1,10.6,1.02,0.62,0.61,0.67,0.00,1.03,0.10,0.39,-5.86,1.9,2.4,3.2
103,Akeem Ellis,2011,Coppin St,29,35.2,13.8,11.7,0.86,0.52,0.50,0.31,0.51,1.86,0.16,0.75,-3.37,0.7,0.3,2.2
104,Derek Needham,2011,Fairfield,33,35.2,14.1,12.7,0.76,0.49,0.44,0.31,0.56,4.55,0.36,1.17,-2.44,1.4,0.0,2.7
105,James Washington,2011,Middle Tenn,32,35.2,13.6,9.4,0.96,0.59,0.50,0.52,0.59,2.75,0.29,1.16,-1.53,1.6,0.0,2.3
106,Spencer Dixon,2011,Kennesaw St,32,35.2,13.3,13.3,0.74,0.45,0.41,0.24,0.44,3.16,0.24,1.05,-2.57,1.1,0.1,2.0
107,Dadrian Collins,2011,Howard,30,35.1,11.1,10.7,0.77,0.47,0.43,0.26,0.65,1.63,0.15,0.70,-3.57,0.5,0.1,2.5
108,C.J. McCollum,2011,Lehigh,32,35.1,21.6,17.2,0.91,0.53,0.44,0.44,0.31,2.06,0.12,0.74,-3.80,2.5,0.7,1.7
109,Blake Hoffarber,2011,Minnesota,31,35.1,13.6,10.6,0.97,0.58,0.54,0.27,0.62,4.06,0.38,1.97,1.87,1.0,0.1,1.2
110,Mark Lyons,2011,Xavier,32,35.1,13.6,11.0,0.85,0.53,0.47,0.39,0.40,3.06,0.28,1.08,-2.35,0.9,0.3,2.6
111,Matt Dickey,2011,UNCA,32,35.0,15.7,11.6,0.93,0.58,0.51,0.39,0.45,3.25,0.28,1.11,-2.12,1.8,0.0,2.7
112,Troy Franklin,2011,Towson,8,35.0,12.6,11.9,0.72,0.46,0.41,0.34,0.58,4.63,0.39,1.28,-1.57,1.9,0.1,2.8
113,Zach Kinsley,2011,New Orleans,1,35.0,8.0,12.0,0.50,0.31,0.29,0.17,0.67,2.00,0.17,0.67,-5.36,0.0,0.0,4.0
114,Dominique Morrison,2011,Oral Roberts,32,35.0,19.4,12.9,1.10,0.62,0.57,0.47,0.25,2.19,0.17,1.35,-0.47,0.6,0.5,2.7
115,Will Clyburn,2011,Utah,32,35.0,17.4,12.2,0.99,0.60,0.54,0.47,0.43,1.00,0.08,0.37,-5.62,1.1,0.3,2.3
116,Zach Plackemeier,2011,IPFW,31,35.0,10.5,8.1,0.96,0.58,0.53,0.25,0.67,4.48,0.55,2.57,3.55,0.7,0.1,2.7
117,Darian Thibodeaux,2011,Houston,30,35.0,7.9,6.4,0.97,0.59,0.59,0.10,0.71,2.00,0.31,1.36,-0.38,0.7,0.2,2.6
118,Patrick Miller,2011,Tennessee St,29,35.0,11.3,9.5,0.77,0.49,0.43,0.50,0.30,2.79,0.29,1.03,-2.53,1.4,0.0,2.4
119,Miles Cartwright,2011,Penn,33,34.9,11.8,9.2,0.86,0.55,0.49,0.39,0.41,3.00,0.33,1.04,-2.62,1.2,0.2,2.8
120,Ravern Johnson,2011,Mississippi St.,29,34.9,17.6,13.6,1.04,0.57,0.53,0.29,0.54,0.79,0.06,0.61,-2.19,0.4,0.6,1.0
121,Brian Barbour,2011,Columbia,29,34.9,13.3,8.7,1.04,0.61,0.50,0.56,0.36,3.07,0.35,1.85,1.09,1.5,0.0,2.4
122,Nikola Vucevic,2011,USC,34,34.9,17.1,12.5,1.03,0.58,0.54,0.38,0.19,1.59,0.13,0.93,-1.92,0.5,1.4,2.8
