,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Jay Straight,2005,Wyoming,28,39.6,17.1,14.4,14.5,3.45,19.3,-,-,0.93,0.76,0.28,0.27,0.22
1,Steven Smith,2005,La Salle,39,39.6,21.3,18.4,18.6,8.04,20.7,-,-,1.01,0.80,0.30,0.10,0.22
2,Rob Monroe,2005,Quinnipiac,26,39.1,22.8,19.3,19.8,6.06,21.7,-,-,1.04,0.75,0.35,0.30,0.17
3,Keydren Clark,2005,St. Peter's,28,38.7,27.7,21.5,22.2,9.09,22.3,-,-,1.16,0.91,0.29,0.18,0.13
4,Chaz McCrommon,2005,Robert Morris,29,38.6,20.0,16.0,16.6,5.11,15.7,-,-,1.06,0.91,0.26,0.15,0.15
5,Quinton Day,2005,UMKC,24,38.6,15.7,13.0,13.5,2.27,14.5,-,-,0.91,0.79,0.25,0.33,0.20
6,Daryll Hill,2005,St. John's,27,38.0,18.1,13.5,14.2,3.72,22.4,-,-,0.93,0.79,0.23,0.16,0.21
7,Kevin Downey,2005,Canisius,29,37.8,19.3,16.3,17.3,4.61,16.4,-,-,1.01,0.86,0.17,0.22,0.17
8,Cedrick Banks,2005,Ill Chicago,29,37.8,18.7,14.2,15.1,4.31,18.1,-,-,1.03,0.88,0.23,0.14,0.16
9,Mardy Collins,2005,Temple,30,37.6,25.6,17.0,18.1,8.30,17.0,-,-,1.03,0.91,0.29,0.21,0.15
10,Brian Swift,2005,South Florida,30,37.5,18.1,14.8,15.8,4.08,16.5,-,-,0.96,0.78,0.19,0.33,0.17
11,Hakim Warrick,2005,Syracuse,34,37.5,26.4,21.6,23.1,9.88,17.7,-,-,1.21,0.77,0.52,0.08,0.14
12,Chris Thomas,2005,Notre Dame,29,37.5,19.8,16.2,17.3,4.87,16.3,-,-,0.87,0.80,0.23,0.41,0.18
13,DaShaun Wood,2005,Wright St,30,37.5,20.4,15.4,16.5,5.34,15.7,-,-,0.97,0.72,0.33,0.24,0.18
14,Ryan Gomes,2005,Providence,31,37.5,27.2,23.0,24.6,9.46,18.0,-,-,1.20,0.89,0.29,0.18,0.14
15,Brandon McKnight,2005,Purdue,28,37.4,12.3,9.5,10.1,0.77,14.2,-,-,0.83,0.86,0.21,0.26,0.16
16,J.J. Redick,2005,Duke,33,37.3,23.3,17.1,18.3,7.62,19.3,-,-,1.13,0.78,0.33,0.14,0.13
17,Ronnie Price,2005,Utah Valley,28,37.2,27.1,18.1,19.5,8.45,22.8,-,-,1.06,0.84,0.28,0.13,0.13
18,Tiras Wade,2005,La Lafayette,31,37.2,23.9,18.1,19.5,7.50,15.5,-,-,1.31,0.96,0.31,0.09,0.15
19,Alex Acker,2005,Pepperdine,31,37.2,20.6,18.2,19.6,5.59,15.7,-,-,1.06,0.83,0.22,0.23,0.17
20,Jamar Wilson,2005,Albany,27,37.1,17.5,13.7,14.8,3.34,17.6,-,-,0.96,0.64,0.39,0.24,0.25
21,Dainmon Gonner,2005,Southeast Mo St,27,37.0,26.5,19.5,21.0,7.78,17.8,-,-,1.14,0.89,0.35,0.13,0.14
22,Ian Young,2005,Auburn,30,37.0,14.2,11.9,12.8,1.86,15.1,-,-,0.88,0.79,0.21,0.27,0.19
23,Will Blalock,2005,Iowa St,30,36.9,16.3,12.8,13.9,3.00,13.5,-,-,0.91,0.79,0.27,0.36,0.18
24,John Cox,2005,San Francisco,31,36.9,20.6,14.3,15.5,5.57,18.5,-,-,1.08,0.89,0.29,0.14,0.13
25,Brandon Cole,2005,IUPUI,28,36.9,20.9,16.2,17.6,5.16,11.7,-,-,1.22,0.96,0.20,0.12,0.13
26,Jerry Johnson,2005,Rider,30,36.8,22.6,17.2,18.7,6.46,16.6,-,-,1.11,0.84,0.24,0.27,0.13
27,James Williams,2005,Long Island,29,36.8,15.2,12.2,13.3,2.34,17.2,-,-,0.95,0.71,0.32,0.20,0.21
28,Zack Graber,2005,UALR,28,36.8,8.1,8.2,8.9,-1.40,5.8,-,-,0.70,0.47,0.21,0.77,0.46
29,Alvin Cruz,2005,Niagara,30,36.7,17.0,14.7,16.0,3.38,13.0,-,-,1.01,0.74,0.31,0.49,0.19
30,Mike Slattery,2005,Delaware,26,36.7,13.7,11.9,13.0,1.36,10.5,-,-,0.86,0.76,0.18,0.62,0.23
31,Walker Russell,2005,Jacksonville St,29,36.7,19.6,16.3,17.8,4.67,16.7,-,-,0.87,0.60,0.37,0.44,0.27
32,Bryan Hopkins,2005,SMU,25,36.7,19.9,14.8,16.1,4.13,19.1,-,-,0.94,0.74,0.26,0.20,0.19
33,Seamus Boxley,2005,Portland St,28,36.6,24.4,22.1,24.1,6.92,17.9,-,-,1.15,0.69,0.45,0.14,0.20
34,J. Robert Merritt,2005,Samford,28,36.6,24.2,15.7,17.1,6.82,14.1,-,-,1.17,0.74,0.29,0.12,0.16
35,Jeff Horner,2005,Iowa,33,36.6,18.7,15.9,17.3,4.77,13.9,-,-,1.01,0.78,0.24,0.39,0.18
36,Paul Millsap,2005,Louisiana Tech,29,36.6,28.7,25.3,27.7,9.44,16.7,-,-,1.22,0.81,0.49,0.06,0.15
37,Daevon Haskins,2005,Louisiana Tech,29,36.6,11.9,11.2,12.3,0.57,10.6,-,-,0.80,0.69,0.31,0.54,0.29
38,TJ Sorrentine,2005,Vermont,31,36.5,19.5,14.4,15.7,4.87,18.4,-,-,1.02,0.86,0.16,0.23,0.15
39,Dion Harris,2005,Michigan,31,36.5,13.9,9.7,10.6,1.71,16.4,-,-,0.87,0.82,0.18,0.21,0.18
40,Steve Burtt,2005,Iona,31,36.5,19.7,15.4,16.9,4.98,18.2,-,-,1.06,0.77,0.31,0.13,0.14
41,Zac Schlader,2005,Austin Peay,32,36.5,17.3,15.2,16.7,3.78,12.4,-,-,1.02,0.81,0.30,0.18,0.20
42,Ken Tutt,2005,Oral Roberts,33,36.5,15.5,12.0,13.2,2.80,16.3,-,-,1.05,0.86,0.19,0.15,0.14
43,Derek Raivio,2005,Gonzaga,31,36.4,18.2,14.8,16.2,4.15,11.6,-,-,1.12,0.73,0.32,0.42,0.18
44,Will Venable,2005,Princeton,28,36.4,18.9,13.0,14.2,4.09,10.7,-,-,0.99,0.68,0.33,0.29,0.23
45,Ike Diogu,2005,Arizona St,32,36.4,29.1,25.8,28.4,10.61,18.3,-,-,1.24,0.68,0.53,0.07,0.20
46,Taylor Coppenrath,2005,Vermont,31,36.4,34.5,25.7,28.3,13.30,18.6,-,-,1.35,0.91,0.51,0.10,0.09
47,Cortney Scott,2005,Oakland,32,36.3,24.7,18.7,20.6,8.05,15.2,-,-,1.19,0.90,0.37,0.14,0.13
48,Ahmad Smith,2005,St. Bonaventure,28,36.3,18.0,14.0,15.4,3.66,13.5,-,-,1.05,0.94,0.32,0.26,0.14
49,Jared Homan,2005,Iowa St,31,36.3,17.9,16.1,17.7,3.94,13.6,-,-,1.00,0.88,0.35,0.08,0.14
50,Tory Cavalieri,2005,St. Francis (NY),28,36.3,20.4,15.9,17.5,4.83,14.5,-,-,1.08,0.79,0.23,0.33,0.22
51,Lucious Jordan,2005,Albany,28,36.3,16.2,12.2,13.4,2.72,14.7,-,-,1.00,0.83,0.31,0.16,0.17
52,Dewitt Doss,2005,Canisius,29,36.2,15.8,11.2,12.4,2.59,15.1,-,-,1.00,0.84,0.26,0.13,0.12
53,Thomas Kelati,2005,Washington St,28,36.2,19.1,13.9,15.4,4.17,13.3,-,-,1.08,0.85,0.18,0.21,0.18
54,Antonio Hudson,2005,LSU,30,36.2,15.3,11.5,12.7,2.41,11.1,-,-,1.18,0.92,0.24,0.17,0.14
55,Eddie Basden,2005,Charlotte,29,36.2,24.7,21.1,23.3,7.26,14.1,-,-,1.08,0.78,0.37,0.26,0.19
56,Rawle Marshall,2005,Oakland,32,36.2,25.4,19.3,21.3,8.42,18.4,-,-,1.08,0.81,0.41,0.12,0.17
57,John Lucas,2005,Oklahoma St,33,36.1,21.5,16.0,17.8,6.33,14.7,-,-,1.20,0.93,0.17,0.28,0.11
58,Dwayne Lee,2005,St Joseph's,36,36.1,12.7,10.2,11.3,1.21,11.0,-,-,0.85,0.69,0.31,0.47,0.24
59,Tim Begley,2005,Penn,29,36.1,18.3,15.7,17.3,3.91,13.9,-,-,0.99,0.77,0.22,0.34,0.22
60,Chakowby Hicks,2005,Norfolk St,27,36.0,20.9,16.6,18.4,4.90,15.9,-,-,0.91,0.74,0.30,0.25,0.22
61,Deng Gai,2005,Fairfield,30,36.0,23.8,20.8,23.1,6.98,12.9,-,-,1.08,0.86,0.30,0.10,0.16
62,Dan Oppland,2005,Valparaiso,31,36.0,22.5,18.3,20.3,6.49,14.7,-,-,1.27,0.89,0.35,0.08,0.12
63,Harding Nana,2005,Delaware,31,36.0,22.6,20.3,22.5,6.52,17.9,-,-,1.03,0.79,0.31,0.08,0.17
64,Vincent Grier,2005,Minnesota,32,36.0,21.8,16.7,18.5,6.30,17.2,-,-,1.05,0.77,0.40,0.14,0.15
65,Jared Dudley,2005,Boston College,30,36.0,25.1,20.1,22.4,7.64,13.3,-,-,1.24,0.85,0.45,0.24,0.12
66,Marc Axton,2005,Eastern Wash.,28,35.9,16.8,12.8,14.3,2.98,15.3,-,-,1.06,0.82,0.31,0.16,0.13
67,Bobby Brown,2005,CSUF,32,35.9,17.3,13.2,14.7,3.68,17.9,-,-,0.94,0.81,0.14,0.26,0.18
68,Tim Smith,2005,ETSU,29,35.9,20.3,15.5,17.3,4.93,23.6,-,-,0.94,0.85,0.19,0.18,0.20
69,Chad Maclies,2005,Centenary,27,35.9,24.3,19.1,21.3,6.50,15.4,-,-,1.17,0.77,0.45,0.07,0.18
70,David Moss,2005,Indiana St,31,35.8,19.5,15.8,17.7,4.81,15.8,-,-,0.94,0.75,0.33,0.22,0.20
71,Tim Blackwell,2005,UMKC,24,35.8,12.4,10.0,11.1,0.69,9.1,-,-,1.11,0.78,0.22,0.24,0.20
72,Anthony Anderson,2005,Massachusetts,20,35.8,15.8,12.5,13.9,1.77,9.9,-,-,1.03,0.81,0.14,0.29,0.18
73,Erik Benzel,2005,Denver,31,35.7,17.8,13.4,15.0,3.85,11.9,-,-,1.16,0.84,0.18,0.21,0.12
74,Ray Barbosa,2005,James Madison,28,35.7,13.7,9.1,10.2,1.42,14.6,-,-,1.02,0.89,0.20,0.09,0.15
75,Julian Sensley,2005,Hawaii,29,35.7,16.8,14.4,16.2,3.08,12.1,-,-,0.99,0.88,0.26,0.25,0.19
76,Mark Williams,2005,Savannah St,19,35.6,14.9,9.6,10.8,1.39,15.9,-,-,1.04,0.91,0.37,0.10,0.17
77,Carl Krauser,2005,Pittsburgh,29,35.6,20.2,16.0,18.0,4.84,17.1,-,-,0.93,0.66,0.38,0.34,0.25
78,Curtis Stinson,2005,Iowa St,31,35.6,21.0,16.5,18.6,5.61,18.1,-,-,0.95,0.82,0.28,0.25,0.18
79,Quin Humphrey,2005,Youngstown St,28,35.6,17.7,12.9,14.5,3.40,14.2,-,-,1.01,0.83,0.24,0.13,0.21
80,Anthony Davis,2005,Austin Peay,29,35.6,19.1,14.1,15.9,4.23,15.4,-,-,0.99,0.90,0.25,0.18,0.15
