,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Tommy Thompson,2003,Kennesaw St,1,40.0,23.9,15.0,15.0,0.26,12.4,-,-,1.21,1.05,0.24,0.24,0.16
1,Terrence Hill,2003,Kennesaw St,1,40.0,1.0,0.0,0.0,-0.20,9.4,-,-,0.64,1.27,0.32,0.11,0.32
2,Luis Flores,2003,Manhattan,30,38.9,27.1,22.2,22.8,9.43,21.3,-,-,1.16,0.80,0.38,0.14,0.15
3,Rick Apodaca,2003,Hofstra,15,38.8,15.3,12.8,13.2,1.29,19.8,-,-,0.91,0.79,0.29,0.22,0.21
4,Michael Watson,2003,UMKC,29,38.8,22.9,15.4,15.9,6.73,25.9,-,-,0.99,0.87,0.23,0.15,0.14
5,Aaron Thomas,2003,Robert Morris,26,38.7,16.6,14.4,14.9,2.88,10.5,-,-,1.16,0.89,0.20,0.17,0.13
6,Troy Bell,2003,Boston College,31,38.6,29.2,22.9,23.7,10.93,19.7,-,-,1.28,0.83,0.44,0.19,0.13
7,Edward Scott,2003,Clemson,28,38.5,19.7,14.9,15.5,4.75,18.7,-,-,0.95,0.82,0.31,0.31,0.15
8,Antawn Dobie,2003,Long Island,26,38.4,17.4,16.2,16.9,3.28,22.4,-,-,0.85,0.69,0.29,0.33,0.26
9,Brandon Hunter,2003,Ohio,30,38.3,26.9,23.9,25.0,9.16,20.5,-,-,1.05,0.68,0.55,0.13,0.18
10,Keydren Clark,2003,St. Peter's,29,38.2,22.9,17.0,17.8,6.66,23.8,-,-,1.05,0.85,0.26,0.18,0.17
11,Brent Darby,2003,Ohio St,32,38.1,19.8,15.0,15.8,5.44,19.6,-,-,0.94,0.69,0.40,0.23,0.19
12,Shawn Ray,2003,NCCU,1,38.0,37.4,27.0,28.4,0.50,18.7,-,-,1.39,0.96,0.32,0.21,0.05
13,Andre Barrett,2003,Seton Hall,30,37.9,19.8,16.2,17.1,5.08,16.6,-,-,1.01,0.75,0.29,0.32,0.21
14,Tee Trotter,2003,UMES,28,37.7,19.5,12.5,13.3,4.57,20.5,-,-,1.00,0.80,0.26,0.15,0.18
15,Jeb Ivey,2003,Portland St,27,37.6,10.5,8.7,9.3,-0.17,17.4,-,-,0.86,0.79,0.16,0.16,0.21
16,Marc Stricker,2003,UMKC,17,37.6,12.5,11.5,12.2,0.52,9.4,-,-,0.92,0.68,0.09,0.54,0.32
17,Darshan Luckey,2003,St. Francis (PA),28,37.5,16.7,13.1,14.0,3.10,24.4,-,-,0.89,0.77,0.30,0.07,0.17
18,Bryan Crislip,2003,FGCU,2,37.5,9.9,10.0,10.7,-0.03,13.8,-,-,0.69,0.72,0.33,0.54,0.29
19,Kyle Williams,2003,Howard,30,37.5,12.7,10.4,11.1,1.05,18.0,-,-,0.84,0.84,0.18,0.14,0.19
20,Seamus Boxley,2003,Portland St,4,37.5,7.9,8.5,9.1,-0.22,14.0,-,-,0.71,0.66,0.30,0.20,0.30
21,Steve Esterkamp,2003,Ohio,30,37.5,16.6,13.8,14.7,3.26,13.1,-,-,1.13,0.88,0.24,0.14,0.17
22,Ron Williamson,2003,Howard,30,37.2,23.2,15.8,16.9,6.86,18.1,-,-,1.20,0.88,0.32,0.13,0.13
23,Jamar Wilson,2003,Albany,27,37.2,20.3,15.1,16.2,4.75,16.9,-,-,1.11,0.82,0.30,0.19,0.21
24,Marques Green,2003,St. Bonaventure,27,37.1,26.2,21.0,22.6,7.69,20.6,-,-,1.03,0.83,0.24,0.39,0.18
25,Chaz McCrommon,2003,Robert Morris,27,37.1,20.4,15.8,17.0,4.79,13.6,-,-,1.21,0.99,0.22,0.15,0.16
26,Antoine Johnson,2003,Albany,28,37.0,15.1,10.7,11.5,2.23,12.9,-,-,1.06,0.93,0.13,0.14,0.14
27,Andre Emmett,2003,Texas Tech,34,37.0,26.1,20.2,21.8,9.54,19.0,-,-,1.15,0.92,0.30,0.10,0.11
28,Romain Sato,2003,Xavier,32,36.9,20.8,17.7,19.2,5.85,15.9,-,-,1.14,0.87,0.32,0.14,0.12
29,Maurice Carter,2003,Robert Morris,27,36.9,20.4,14.1,15.4,4.74,18.2,-,-,1.05,0.80,0.30,0.13,0.13
30,Whit Holcomb-Faye,2003,Radford,30,36.7,13.4,9.4,10.3,1.42,16.8,-,-,0.85,0.76,0.35,0.24,0.18
31,Chris Thomas,2003,Notre Dame,34,36.6,20.6,17.8,19.4,6.06,19.3,-,-,0.97,0.80,0.24,0.36,0.22
32,Vernard Hollins,2003,Wright St,28,36.6,24.1,17.8,19.4,6.79,18.8,-,-,1.06,0.78,0.43,0.21,0.17
33,Demetrice Williams,2003,South Alabama,28,36.6,21.3,15.9,17.3,5.34,13.8,-,-,1.02,0.70,0.43,0.36,0.18
34,Chris Craig,2003,UTEP,28,36.6,8.8,8.3,9.1,-1.03,9.1,-,-,0.87,0.64,0.18,0.38,0.31
35,Ryan Mantlo,2003,Liberty,28,36.6,12.7,10.4,11.3,0.94,12.1,-,-,0.92,0.81,0.34,0.24,0.20
36,Nate Williams,2003,Georgia St,29,36.6,22.7,18.4,20.2,6.25,16.6,-,-,1.08,0.79,0.36,0.12,0.17
37,David Hawkins,2003,Temple,34,36.5,22.1,14.5,15.9,6.98,16.4,-,-,1.03,0.81,0.34,0.17,0.19
38,Tremmell Darden,2003,Niagara,29,36.5,20.8,16.3,17.9,5.24,15.6,-,-,1.11,0.78,0.41,0.16,0.18
39,David West,2003,Xavier,32,36.5,29.8,27.6,30.2,11.04,17.5,-,-,1.15,0.74,0.46,0.18,0.15
40,Matt Rohde,2003,Green Bay,30,36.4,15.2,12.4,13.6,2.37,13.3,-,-,0.96,0.71,0.31,0.35,0.22
41,Carmelo Anthony,2003,Syracuse,35,36.4,26.9,23.1,25.3,10.21,19.8,-,-,1.12,0.88,0.34,0.11,0.11
42,Tim Barnes,2003,Iowa St,31,36.4,14.0,12.0,13.2,1.77,13.5,-,-,0.84,0.77,0.10,0.37,0.21
43,Cortney Scott,2003,Oakland,23,36.3,20.2,18.6,20.5,3.92,12.9,-,-,1.12,0.77,0.41,0.21,0.18
44,Phillip Gilbert,2003,Bradley,30,36.3,18.9,13.9,15.3,4.38,16.8,-,-,1.12,0.92,0.24,0.08,0.16
45,Marque Perry,2003,St. Louis,31,36.3,19.5,13.7,15.1,4.84,18.0,-,-,0.93,0.79,0.29,0.18,0.17
46,Chauncey Leslie,2003,Iowa,31,36.2,19.5,15.7,17.4,4.84,14.4,-,-,1.10,0.81,0.31,0.20,0.17
47,Charles Harris,2003,Dartmouth,27,36.1,16.0,12.5,13.9,2.52,11.2,-,-,1.09,0.84,0.26,0.19,0.24
48,Larry Tucker,2003,Coppin St,28,36.1,18.3,12.1,13.4,3.78,14.8,-,-,1.03,0.84,0.37,0.06,0.18
49,Anthony Anderson,2003,Massachusetts,29,36.1,16.0,13.2,14.6,2.70,11.8,-,-,1.00,0.75,0.22,0.31,0.20
50,Dustin Van Weerdhuizen,2003,High Point,26,36.1,15.9,13.5,15.0,2.37,14.6,-,-,0.98,0.83,0.22,0.21,0.22
51,Kevin Briggs,2003,Portland St,27,36.1,14.2,11.1,12.3,1.62,13.7,-,-,0.94,0.76,0.29,0.22,0.22
52,Jeff Myers,2003,Richmond,29,36.1,15.5,11.4,12.6,2.45,11.0,-,-,1.00,0.86,0.13,0.37,0.15
53,T.J. Thompson,2003,GW,29,36.1,14.2,12.3,13.6,1.77,14.5,-,-,0.86,0.68,0.19,0.42,0.29
54,Sean Connolly,2003,Ohio St,30,36.1,14.2,10.8,12.0,1.82,10.4,-,-,1.14,0.90,0.18,0.18,0.14
55,Mark Campbell,2003,Hawaii,31,36.1,11.1,10.8,12.0,0.18,6.8,-,-,0.74,0.59,0.30,0.92,0.38
56,Guilherme Da Luz,2003,Furman,28,36.1,14.5,12.1,13.5,1.84,13.6,-,-,0.84,0.77,0.23,0.39,0.25
57,Earnest Crumbley,2003,Fla Atlantic,28,36.1,15.5,11.8,13.1,2.37,17.6,-,-,0.92,0.83,0.19,0.27,0.21
58,Gregory Burks,2003,Prairie View,29,36.1,21.3,15.9,17.6,5.44,16.9,-,-,1.07,0.82,0.33,0.26,0.17
59,Ashley Robinson,2003,MVSU,29,36.1,18.2,13.9,15.4,3.82,10.7,-,-,1.05,0.91,0.22,0.53,0.14
60,Daniel Horton,2003,Michigan,30,36.1,14.7,10.8,11.9,2.11,17.0,-,-,0.89,0.79,0.21,0.26,0.22
61,Marcus Banks,2003,UNLV,32,36.1,25.8,19.9,22.1,8.61,19.4,-,-,1.04,0.70,0.34,0.28,0.20
62,Nicholas Egland,2003,Southern,1,36.0,5.9,5.0,5.6,-0.09,5.2,-,-,0.58,0.77,0.38,0.19,0.38
63,Chris Duhon,2003,Duke,33,36.0,13.7,12.1,13.5,1.70,11.2,-,-,0.83,0.72,0.26,0.57,0.27
64,Ryan Gomes,2003,Providence,32,36.0,27.5,23.5,26.1,9.57,15.6,-,-,1.18,0.80,0.39,0.13,0.16
65,Bobby Brown,2003,Kennesaw St,1,36.0,22.3,11.0,12.2,0.21,8.9,-,-,1.57,1.34,0.45,0.11,0.22
66,Adam Hess,2003,William & Mary,28,36.0,26.5,19.1,21.3,7.86,15.6,-,-,1.29,0.94,0.31,0.15,0.14
67,Carl English,2003,Hawaii,31,35.9,20.0,15.6,17.4,5.09,18.5,-,-,1.07,0.80,0.30,0.13,0.15
68,Earl Hunt,2003,Brown,27,35.9,20.7,15.9,17.7,4.77,17.0,-,-,1.12,0.84,0.33,0.13,0.13
69,Seth Doliboa,2003,Wright St,28,35.9,27.2,20.3,22.6,8.19,19.8,-,-,1.13,0.88,0.29,0.07,0.11
70,Louis Truscott,2003,Houston,28,35.9,20.2,17.7,19.8,4.70,14.9,-,-,1.03,0.78,0.34,0.07,0.24
71,Rob Monroe,2003,Quinnipiac,24,35.8,14.0,11.3,12.6,1.36,13.8,-,-,0.97,0.79,0.26,0.32,0.19
72,Andre Owens,2003,Houston,28,35.8,13.9,11.3,12.6,1.52,16.0,-,-,0.87,0.81,0.20,0.20,0.19
73,Terrance Johnson,2003,Pepperdine,28,35.8,18.2,13.9,15.5,3.71,13.0,-,-,1.15,0.93,0.18,0.15,0.10
74,CJ Watson,2003,Tennessee,29,35.8,13.6,12.2,13.6,1.46,10.7,-,-,0.85,0.61,0.39,0.52,0.27
75,CJ Watson,2003,Tennessee,29,35.8,13.6,12.2,13.6,1.46,10.7,-,-,0.85,0.61,0.39,0.52,0.27
76,Chris Williams,2003,Ball State,30,35.8,27.4,17.9,20.0,8.88,20.3,-,-,1.21,0.87,0.42,0.11,0.12
77,Eric Schmieder,2003,Drexel,31,35.7,18.5,14.9,16.7,4.25,13.0,-,-,1.05,0.76,0.35,0.34,0.21
78,Kevin Mitchell,2003,UTPA,30,35.7,16.3,11.6,13.0,2.94,14.7,-,-,1.00,0.85,0.28,0.22,0.16
79,Johnny Hollingsworth,2003,Akron,28,35.7,23.9,17.2,19.2,6.48,15.6,-,-,1.12,0.72,0.44,0.26,0.16
80,Mike Slattery,2003,Delaware,29,35.7,15.3,12.9,14.5,2.29,12.4,-,-,0.88,0.79,0.18,0.50,0.21
81,Jon Larranaga,2003,GMU,28,35.7,15.5,12.6,14.1,2.30,14.9,-,-,0.88,0.72,0.29,0.26,0.22
82,Kasib Powell,2003,Texas Tech,35,35.7,21.3,17.0,19.1,6.50,13.6,-,-,1.10,0.86,0.41,0.32,0.12
83,David Bennett,2003,Marist,28,35.5,15.1,12.0,13.5,2.14,13.0,-,-,1.00,0.72,0.36,0.26,0.21
84,Derek Winans,2003,Southeast Mo St,30,35.5,17.6,13.7,15.4,3.61,14.5,-,-,1.05,0.82,0.22,0.25,0.15
85,Ron Austin,2003,Lamar,27,35.5,16.6,12.4,14.0,2.76,14.7,-,-,1.07,0.82,0.25,0.10,0.17
86,Blake Stepp,2003,Gonzaga,33,35.5,23.3,18.2,20.5,7.30,16.8,-,-,1.07,0.73,0.31,0.36,0.20
87,A.J. Kuhle,2003,Air Force,28,35.5,14.1,9.8,11.0,1.61,8.3,-,-,1.05,0.74,0.25,0.33,0.22
88,Brian Dux,2003,Canisius,28,35.5,20.5,17.1,19.3,4.78,14.1,-,-,1.06,0.74,0.32,0.38,0.16
89,Jake Sullivan,2003,Iowa St,31,35.5,17.9,13.3,14.9,3.85,16.8,-,-,1.01,0.76,0.23,0.14,0.15
90,Jerry Johnson,2003,Rider,27,35.5,15.5,10.2,11.5,2.21,20.7,-,-,0.88,0.80,0.20,0.15,0.18
91,Mardy Collins,2003,Temple,34,35.4,14.3,9.2,10.4,2.11,13.1,-,-,0.92,0.93,0.19,0.20,0.15
92,Raymond Arrington,2003,Radford,25,35.4,10.7,6.8,7.7,-0.05,16.4,-,-,0.90,0.88,0.23,0.06,0.15
93,Raymond Felton,2003,UNC,35,35.4,16.3,14.3,16.1,3.36,14.7,-,-,0.88,0.74,0.22,0.46,0.25
94,Luke Ridnour,2003,Oregon,33,35.4,22.6,19.0,21.4,6.82,19.3,-,-,1.02,0.74,0.29,0.34,0.20
95,Joe Shipp,2003,Cal,31,35.4,25.8,20.1,22.7,8.17,16.7,-,-,1.22,0.90,0.28,0.14,0.12
96,Jimmy Miggins,2003,Pepperdine,28,35.4,19.2,16.3,18.4,4.11,15.5,-,-,1.00,0.83,0.23,0.24,0.21
97,Raheem Scott,2003,Coppin St,28,35.4,10.6,9.0,10.2,-0.11,7.8,-,-,0.75,0.70,0.29,0.44,0.30
98,Jeff Horner,2003,Iowa,31,35.4,11.3,10.5,11.8,0.24,10.4,-,-,0.79,0.74,0.23,0.43,0.24
99,Marcus Hatten,2003,St. John's,34,35.4,27.1,18.8,21.3,9.73,21.7,-,-,1.02,0.88,0.27,0.19,0.17
100,Turner Battle,2003,Buffalo,20,35.4,17.7,13.8,15.6,2.41,13.4,-,-,0.95,0.83,0.28,0.34,0.18
101,Gerry McNamara,2003,Syracuse,35,35.3,17.1,13.4,15.2,3.86,13.0,-,-,1.02,0.80,0.22,0.34,0.19
102,Ryan Sidney,2003,Boston College,31,35.3,16.2,14.5,16.5,2.95,13.0,-,-,0.95,0.91,0.25,0.36,0.23
103,Julius Hodge,2003,N.C. State,31,35.3,23.7,18.5,20.9,7.01,16.2,-,-,1.09,0.75,0.44,0.22,0.17
104,Travis Holcomb-Faye,2003,ECU,22,35.2,11.6,9.5,10.7,0.30,12.4,-,-,0.82,0.80,0.19,0.35,0.21
105,Justin Logan,2003,Idaho,28,35.2,8.3,6.8,7.7,-1.24,8.5,-,-,0.74,0.79,0.17,0.45,0.24
106,Quinton Ross,2003,SMU,30,35.2,26.4,19.6,22.3,8.16,16.4,-,-,1.23,0.86,0.47,0.13,0.13
107,Brett Blizzard,2003,UNCW,31,35.2,29.5,19.8,22.5,10.14,17.3,-,-,1.22,0.91,0.25,0.21,0.13
108,Chet Mason,2003,Miami OH,28,35.2,12.7,10.1,11.5,0.92,12.9,-,-,0.78,0.71,0.29,0.19,0.27
109,Nick Moore,2003,Toledo,29,35.2,18.4,13.6,15.5,3.85,15.0,-,-,1.09,0.83,0.16,0.19,0.18
110,Daniel Miller,2003,Notre Dame,34,35.1,15.9,13.9,15.9,3.02,13.4,-,-,1.04,0.84,0.25,0.18,0.15
111,Ralphy Holmes,2003,CSUF,26,35.1,21.6,14.1,16.1,4.90,15.0,-,-,1.12,1.02,0.19,0.08,0.13
112,Giovanni St. Amant,2003,UTEP,30,35.1,13.6,10.2,11.7,1.44,14.2,-,-,0.95,0.82,0.23,0.17,0.19
113,Julius Barnes,2003,Stanford,33,35.1,14.9,11.2,12.7,2.36,17.2,-,-,0.93,0.77,0.26,0.22,0.18
114,Ruben Douglas,2003,New Mexico,28,35.1,31.2,20.8,23.7,9.95,25.0,-,-,1.12,0.79,0.43,0.08,0.15
115,John Lucas,2003,Baylor,28,35.1,17.9,12.9,14.7,3.48,12.6,-,-,1.05,0.88,0.18,0.35,0.16
116,Winston Davis,2003,Lafayette,29,35.1,16.5,12.4,14.2,2.90,13.0,-,-,1.06,0.79,0.29,0.13,0.17
117,Julius Jenkins,2003,Ga Southern,27,35.0,24.1,18.2,20.8,6.27,18.2,-,-,1.20,0.96,0.24,0.19,0.13
118,Elliott Prasse-Freeman,2003,Harvard,27,35.0,11.8,12.1,13.8,0.46,11.5,-,-,0.71,0.63,0.20,0.67,0.35
119,Erick Wills,2003,St. Francis (PA),28,35.0,14.5,11.0,12.6,1.80,11.0,-,-,1.01,0.83,0.29,0.29,0.20
120,Patrick Harvey,2003,Harvard,18,35.0,15.7,11.7,13.4,1.52,17.6,-,-,0.95,0.83,0.25,0.19,0.19
121,Tory Cavalieri,2003,St. Francis (NY),30,35.0,13.6,12.1,13.8,1.44,9.5,-,-,0.89,0.63,0.28,0.60,0.34
122,Josh Hayes,2003,Central Ark,1,35.0,12.2,12.0,13.7,0.02,14.5,-,-,0.97,0.69,0.07,0.07,0.28
123,Dwayne Byfield,2003,Monmouth,28,35.0,15.4,11.7,13.4,2.24,14.5,-,-,1.03,0.87,0.19,0.10,0.13
124,Kirk Penney,2003,Wisconsin,32,35.0,21.0,15.7,18.0,5.68,16.3,-,-,0.99,0.78,0.23,0.19,0.15
125,James Reaves,2003,Niagara,29,35.0,16.9,15.3,17.5,3.07,12.0,-,-,0.98,0.73,0.39,0.19,0.24
126,Lee Nixon,2003,Wofford,29,35.0,16.1,12.7,14.5,2.66,15.0,-,-,0.98,0.83,0.20,0.20,0.16
127,Joe Knight,2003,High Point,23,35.0,19.3,14.0,16.1,3.39,14.6,-,-,1.12,0.79,0.33,0.14,0.16
128,Rickey Paulding,2003,Missouri,33,34.9,20.6,15.7,17.9,5.60,14.9,-,-,1.16,0.90,0.25,0.14,0.16
129,Jason Gardner,2003,Arizona,32,34.9,17.0,14.6,16.7,3.46,15.7,-,-,0.94,0.74,0.29,0.31,0.18
130,Jameer Nelson,2003,St Joseph's,30,34.9,27.5,19.4,22.2,8.70,18.2,-,-,1.08,0.81,0.33,0.26,0.16
