,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Antoine Agudio,2008,Hofstra,27,39.1,20.9,15.7,16.1,5.28,22.4,-,-,1.01,0.79,0.24,0.13,0.16
1,Manny Ubilla,2008,Fairleigh Dickinson,28,38.4,23.3,19.2,20.0,6.66,20.0,-,-,1.04,0.73,0.29,0.24,0.19
2,Jonathan Han,2008,Fairfield,30,38.3,16.9,13.7,14.3,3.50,12.3,-,-,0.95,0.64,0.26,0.50,0.28
3,Brian Laing,2008,Seton Hall,32,38.3,20.7,18.0,18.8,6.00,17.3,-,-,1.07,0.87,0.27,0.11,0.14
4,Tyrese Rice,2008,Boston College,30,38.1,22.1,17.8,18.7,6.43,20.8,-,-,1.01,0.74,0.31,0.24,0.17
5,K.J. Garland,2008,UNCA,32,38.0,16.5,14.9,15.7,3.46,14.3,-,-,0.93,0.78,0.21,0.42,0.19
6,Brandon Ewing,2008,Wyoming,30,38.0,17.1,14.7,15.5,3.56,17.2,-,-,1.00,0.73,0.31,0.23,0.20
7,Ryan Toolson,2008,Utah Valley,29,37.9,27.3,19.7,20.8,9.04,19.3,-,-,1.21,0.79,0.29,0.15,0.13
8,Derrick Mercer,2008,American,33,37.9,13.3,10.2,10.7,1.53,14.1,-,-,0.88,0.70,0.34,0.29,0.21
9,Marcus Hall,2008,Colorado,32,37.6,19.8,15.0,16.0,5.39,13.1,-,-,1.07,0.86,0.18,0.31,0.17
10,Donovan Morris,2008,LBSU,31,37.5,22.9,17.8,19.0,6.99,19.3,-,-,1.10,0.73,0.35,0.12,0.18
11,Quantez Robertson,2008,Auburn,30,37.5,14.3,13.2,14.1,1.97,7.9,-,-,0.99,0.76,0.31,0.52,0.22
12,Brian Johnson,2008,Delaware,31,37.5,13.1,11.3,12.1,1.32,10.6,-,-,0.90,0.69,0.32,0.49,0.23
13,Kevin Bell,2008,Fresno St,32,37.5,19.9,15.3,16.3,5.42,19.7,-,-,0.93,0.73,0.34,0.30,0.17
14,Mark Porter,2008,Wagner,31,37.4,19.1,16.5,17.7,4.76,18.5,-,-,0.88,0.66,0.37,0.30,0.22
15,Mark Tyndale,2008,Temple,34,37.4,21.6,18.8,20.1,6.82,16.0,-,-,0.99,0.67,0.40,0.27,0.22
16,Devan Downey,2008,South Carolina,32,37.4,24.0,17.3,18.4,7.86,18.9,-,-,0.97,0.85,0.22,0.28,0.14
17,Charron Fisher,2008,Niagara,29,37.4,27.6,21.8,23.4,9.05,25.1,-,-,1.10,0.89,0.39,0.05,0.12
18,D.J. Augustin,2008,Texas,38,37.3,23.8,17.0,18.3,9.14,18.4,-,-,1.04,0.79,0.32,0.31,0.15
19,Jack Leasure,2008,CCU,28,37.3,18.5,14.4,15.5,3.99,14.6,-,-,1.14,0.90,0.13,0.16,0.14
20,Jaycee Carroll,2008,Utah St,35,37.3,28.0,22.5,24.1,11.17,16.6,-,-,1.35,0.87,0.26,0.13,0.12
21,Dionte Christmas,2008,Temple,34,37.2,22.5,17.8,19.1,7.36,17.7,-,-,1.11,0.79,0.31,0.14,0.16
22,Jay Greene,2008,UMBC,33,37.2,16.7,13.8,14.8,3.58,8.5,-,-,1.03,0.73,0.23,0.84,0.24
23,Charles Futrell,2008,NCCU,30,37.1,17.1,15.7,17.0,3.45,16.4,-,-,1.01,0.82,0.22,0.05,0.22
24,Greivis Vasquez,2008,Maryland,34,37.0,18.5,18.1,19.5,4.80,18.7,-,-,0.91,0.73,0.23,0.36,0.23
