,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Marcus Schroeder,2007,Princeton,28,38.8,10.9,8.0,8.3,0.04,7.6,-,-,0.85,0.76,0.23,0.41,0.25
1,Brian Johnson,2007,Delaware,31,38.5,10.3,8.5,8.9,-0.30,11.3,-,-,0.85,0.72,0.27,0.37,0.24
2,Jared Dudley,2007,Boston College,30,38.4,26.8,22.7,23.7,9.17,15.0,-,-,1.27,0.77,0.42,0.20,0.17
3,Antoine Agudio,2007,Hofstra,33,38.1,22.8,15.8,16.7,7.47,17.0,-,-,1.17,0.87,0.28,0.14,0.13
4,Jarrius Jackson,2007,Texas Tech,34,38.0,21.9,15.1,15.9,7.15,16.5,-,-,1.21,0.92,0.34,0.11,0.08
5,Joey Butler,2007,Mt. St. Marys,2,38.0,4.8,5.0,5.3,-0.23,12.2,-,-,0.53,0.70,0.12,0.41,0.25
6,Derek Coleman,2007,Robert Morris,28,38.0,14.2,12.8,13.5,1.79,13.2,-,-,0.97,0.70,0.23,0.41,0.25
7,Jared Jordan,2007,Marist,33,37.9,23.2,20.1,21.2,7.71,17.7,-,-,0.97,0.79,0.29,0.49,0.19
8,Loren Stokes,2007,Hofstra,33,37.9,24.1,17.5,18.5,8.26,19.5,-,-,1.06,0.78,0.39,0.16,0.14
9,Trey Johnson,2007,Jackson St,35,37.8,22.5,16.5,17.4,7.70,25.6,-,-,1.06,0.84,0.37,0.10,0.14
10,Torey Thomas,2007,Holy Cross,34,37.6,17.5,14.2,15.1,4.24,16.1,-,-,0.85,0.64,0.37,0.29,0.25
11,Jamie McNeilly,2007,New Orleans,30,37.6,18.9,14.6,15.5,4.55,14.1,-,-,1.07,0.82,0.23,0.21,0.14
12,Bobby Kelly,2007,Northeastern,32,37.5,13.8,10.9,11.7,1.75,10.9,-,-,1.02,0.82,0.18,0.22,0.16
13,Terrance Mouton,2007,Rider,30,37.5,13.3,11.8,12.6,1.39,14.3,-,-,0.91,0.76,0.24,0.30,0.18
