,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Darryl Proctor,2009,UMBC,32,39.7,23.8,19.8,20.0,8.20,18.9,-,-,1.05,0.90,0.30,0.10,0.12
1,Jay Greene,2009,UMBC,31,39.6,16.9,14.0,14.1,3.72,13.2,-,-,0.97,0.76,0.23,0.46,0.18
2,Ahmad Nivins,2009,St Joseph's,32,39.3,28.1,26.0,26.5,10.82,15.4,-,-,1.25,0.68,0.53,0.07,0.18
3,Jaret Von Rosenberg,2009,Hartford,33,38.3,15.2,12.7,13.3,2.74,13.2,-,-,0.97,0.79,0.29,0.27,0.19
4,Brandon Ewing,2009,Wyoming,33,38.3,21.5,17.6,18.4,6.71,17.0,-,-,1.09,0.66,0.50,0.30,0.16
5,Ryan Thompson,2009,Rider,32,38.3,23.7,20.0,20.9,7.84,15.2,-,-,1.18,0.79,0.36,0.21,0.17
6,Frank Turner,2009,Canisius,31,37.9,13.4,11.4,12.0,1.53,18.1,-,-,0.86,0.76,0.29,0.22,0.23
7,Johnathon Jones,2009,Oakland,36,37.8,17.8,14.9,15.7,4.71,15.0,-,-,0.88,0.74,0.27,0.54,0.23
8,A.J. Abrams,2009,Texas,35,37.7,16.4,11.4,12.1,3.68,15.1,-,-,1.10,0.92,0.20,0.09,0.09
9,Chase Budinger,2009,Arizona,35,37.6,24.0,19.4,20.6,8.64,15.9,-,-,1.13,0.82,0.28,0.21,0.15
10,Ryan Schneider,2009,Marist,33,37.5,18.3,16.5,17.6,4.62,16.0,-,-,0.99,0.80,0.26,0.09,0.15
11,Dominique Jones,2009,South Florida,31,37.5,22.4,16.4,17.5,6.66,16.8,-,-,1.08,0.89,0.33,0.23,0.16
12,Talor Battle,2009,Penn St,38,37.4,22.2,16.4,17.6,8.03,16.5,-,-,1.01,0.79,0.33,0.30,0.15
13,Daniel Hackett,2009,USC,35,37.3,16.0,13.8,14.8,3.34,13.4,-,-,0.92,0.63,0.35,0.35,0.25
14,Jonny Flynn,2009,Syracuse,38,37.3,20.1,17.0,18.2,6.55,17.2,-,-,1.01,0.73,0.35,0.39,0.20
15,Derrick Mercer,2009,American,32,37.3,16.7,13.2,14.1,3.49,12.2,-,-,0.96,0.75,0.29,0.36,0.18
16,Troy Jackson,2009,Alcorn State,30,37.1,24.1,17.9,19.3,7.39,18.7,-,-,1.07,0.81,0.41,0.17,0.13
17,C.J. Reed,2009,Bethune Cookman,33,37.1,13.7,9.2,10.0,1.76,18.4,-,-,0.81,0.77,0.26,0.21,0.19
18,Ryan Toolson,2009,Utah Valley,28,37.1,29.6,20.6,22.2,9.70,20.5,-,-,1.16,0.76,0.36,0.15,0.12
19,Nate Rohnert,2009,Denver,31,37.0,21.8,16.7,18.0,6.27,15.6,-,-,0.98,0.70,0.31,0.30,0.22
20,Cory Higgins,2009,Colorado,31,37.0,23.4,17.7,19.2,7.15,16.5,-,-,1.05,0.68,0.41,0.16,0.17
21,DiJuan Harris,2009,Charlotte,31,37.0,15.9,13.7,14.9,2.90,10.1,-,-,0.89,0.67,0.35,0.71,0.24
22,Kyle McAlarney,2009,Notre Dame,36,36.9,15.8,12.4,13.4,3.29,14.4,-,-,1.04,0.84,0.13,0.24,0.13
23,Malcolm Delaney,2009,Virginia Tech,34,36.9,22.1,17.0,18.4,7.02,16.7,-,-,1.09,0.73,0.46,0.27,0.17
24,Kelvin Lewis,2009,Houston,33,36.9,19.7,13.8,14.9,5.41,15.7,-,-,1.15,0.91,0.26,0.08,0.09
25,Taylor Rochestie,2009,Washington St,33,36.8,17.9,13.0,14.2,4.28,13.6,-,-,0.97,0.81,0.23,0.33,0.17
26,Jaycen Herring,2009,Southeast Mo St,30,36.8,15.9,12.3,13.4,2.79,17.1,-,-,0.97,0.79,0.34,0.15,0.17
27,Tywain McKee,2009,Coppin St,32,36.8,25.8,18.2,19.8,8.76,18.4,-,-,1.00,0.82,0.28,0.22,0.17
28,Kevin Anderson,2009,Richmond,36,36.8,18.9,13.0,14.2,5.31,15.5,-,-,1.07,0.84,0.32,0.18,0.15
29,Aaron Jackson,2009,Duquesne,34,36.7,27.4,22.7,24.8,10.28,15.8,-,-,1.22,0.77,0.35,0.36,0.19
30,Drake Reed,2009,Austin Peay,33,36.7,27.8,22.6,24.6,10.25,17.8,-,-,1.23,0.83,0.36,0.13,0.14
31,Jon Diebler,2009,Ohio St,33,36.7,15.7,11.8,12.9,2.93,10.3,-,-,1.09,0.82,0.15,0.24,0.16
32,A.D. Vassallo,2009,Virginia Tech,34,36.7,22.1,18.1,19.7,7.03,17.4,-,-,1.09,0.87,0.20,0.15,0.14
33,Corey Lowe,2009,Boston U.,29,36.6,19.4,14.0,15.3,4.53,17.6,-,-,0.97,0.79,0.21,0.23,0.19
34,Nick Stallings,2009,Centenary,31,36.5,16.5,13.6,14.9,3.19,16.3,-,-,0.94,0.80,0.23,0.13,0.19
35,Mike Rose,2009,EKU,31,36.5,27.7,18.6,20.4,9.53,15.6,-,-,1.28,0.91,0.28,0.16,0.15
36,Toney Douglas,2009,Florida St,35,36.5,25.4,18.3,20.0,9.28,19.1,-,-,1.13,0.80,0.35,0.15,0.13
37,Seth Curry,2009,Liberty,35,36.5,21.3,15.8,17.3,6.66,19.3,-,-,1.05,0.86,0.21,0.12,0.12
38,Robert Vaden,2009,UAB,34,36.5,18.4,13.8,15.1,4.66,17.8,-,-,0.99,0.86,0.16,0.12,0.14
39,Evan Turner,2009,Ohio St,33,36.4,25.4,20.2,22.2,8.74,16.8,-,-,1.03,0.69,0.40,0.24,0.21
40,Marc Egerson,2009,Delaware,32,36.4,20.0,18.5,20.3,5.31,16.0,-,-,0.96,0.74,0.34,0.16,0.18
41,Tyler Dierkers,2009,Miami OH,30,36.4,17.5,14.7,16.2,3.63,8.9,-,-,1.04,0.79,0.31,0.24,0.22
42,Nic Wise,2009,Arizona,35,36.4,19.6,14.6,16.1,5.54,15.2,-,-,1.03,0.74,0.28,0.30,0.19
43,Amir Johnson,2009,Radford,33,36.3,11.7,12.0,13.2,0.51,12.4,-,-,0.78,0.63,0.26,0.42,0.27
44,Anthony Smith,2009,Liberty,35,36.3,21.8,17.6,19.4,6.92,15.6,-,-,1.12,0.80,0.29,0.14,0.14
45,Jeremy Hazell,2009,Seton Hall,32,36.3,23.9,15.5,17.1,7.57,18.8,-,-,1.21,0.92,0.34,0.05,0.11
46,Ben Smith,2009,Jacksonville,32,36.3,21.9,15.7,17.3,6.40,15.7,-,-,1.08,0.80,0.35,0.26,0.15
47,Kenard Moore,2009,Southeast Mo St,30,36.2,16.6,11.2,12.4,3.11,18.0,-,-,1.05,0.89,0.17,0.09,0.16
48,David Dubois,2009,Western Ill,27,36.1,22.8,15.7,17.4,5.80,15.6,-,-,1.14,0.98,0.22,0.08,0.13
49,Robert Mitchell,2009,Seton Hall,30,36.1,17.7,15.4,17.1,3.68,14.7,-,-,1.00,0.93,0.21,0.11,0.15
50,Stefon Jackson,2009,UTEP,37,36.1,25.6,19.0,21.1,9.85,21.3,-,-,1.15,0.84,0.47,0.09,0.10
51,Sean Ogirri,2009,Wyoming,33,36.1,15.5,11.9,13.2,2.77,12.5,-,-,1.15,0.83,0.17,0.18,0.16
52,Dwight Lewis,2009,USC,33,36.1,14.4,10.3,11.4,2.12,14.7,-,-,0.98,0.84,0.25,0.14,0.17
53,Darryl Shazier,2009,Bucknell,30,36.1,10.3,9.6,10.6,-0.28,10.0,-,-,0.78,0.72,0.20,0.46,0.22
54,Michael Deloach,2009,Norfolk St,32,36.1,22.9,16.6,18.4,6.95,20.4,-,-,1.05,0.84,0.31,0.13,0.18
55,Lester Hudson,2009,UT Martin,32,36.0,33.7,26.6,29.6,13.13,24.2,-,-,1.14,0.90,0.22,0.17,0.14
56,Garrison Carr,2009,American,32,36.0,17.7,11.5,12.7,3.96,17.4,-,-,1.03,0.85,0.19,0.10,0.15
57,Erik Kangas,2009,Oakland,35,36.0,21.3,14.5,16.2,6.58,15.8,-,-,1.20,0.92,0.17,0.11,0.12
58,Matt Janning,2009,Northeastern,32,36.0,18.3,12.7,14.1,4.29,14.8,-,-,0.97,0.82,0.26,0.18,0.17
59,Roderick Flemings,2009,Hawaii,30,36.0,20.7,15.2,16.9,5.29,14.3,-,-,1.16,0.83,0.46,0.13,0.18
60,Peter Sullivan,2009,Brown,28,35.9,14.1,11.3,12.6,1.66,14.6,-,-,0.98,0.82,0.28,0.11,0.14
61,James Harden,2009,Arizona St,35,35.8,28.2,20.1,22.4,10.84,18.1,-,-,1.11,0.71,0.43,0.23,0.19
62,Sean Baptiste,2009,Fairleigh Dickinson,27,35.8,19.2,14.1,15.7,4.02,14.5,-,-,1.13,0.92,0.31,0.07,0.14
63,Deonta Vaughn,2009,Cincinnati,32,35.8,17.2,13.5,15.1,3.66,16.4,-,-,0.93,0.76,0.23,0.28,0.20
64,Kyle Gibson,2009,Louisiana Tech,32,35.8,19.3,13.3,14.9,4.84,14.8,-,-,1.09,0.72,0.38,0.19,0.20
65,Ben Uzoh,2009,Tulsa,36,35.8,19.1,14.9,16.6,5.28,14.3,-,-,0.98,0.75,0.31,0.25,0.18
66,Pierre Miller,2009,Presbyterian,29,35.7,8.3,6.3,7.0,-1.31,9.3,-,-,0.84,0.75,0.18,0.31,0.28
67,Jonathan Han,2009,Fairfield,21,35.7,15.1,12.0,13.4,1.61,14.2,-,-,0.88,0.68,0.27,0.38,0.24
68,Nick Weiermiller,2009,UTPA,27,35.7,13.8,11.9,13.4,1.44,12.2,-,-,0.88,0.72,0.19,0.46,0.25
