,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Jon Iati,2004,Albany,28,40.1,9.2,6.7,6.7,-0.92,17.7,-,-,0.79,0.83,0.09,0.17,0.18
1,Marques Green,2004,St. Bonaventure,27,39.4,21.7,16.2,16.4,5.74,20.6,-,-,0.94,0.84,0.19,0.25,0.19
2,Mardy Collins,2004,Temple,29,39.2,17.9,12.1,12.3,3.98,17.2,-,-,0.90,0.91,0.20,0.15,0.10
3,David Hawkins,2004,Temple,29,38.9,30.8,18.9,19.4,11.18,22.0,-,-,1.11,0.89,0.37,0.13,0.12
4,Keydren Clark,2004,St. Peter's,29,38.8,28.4,21.2,21.8,9.81,23.8,-,-,1.12,0.82,0.34,0.18,0.14
5,Deforrest Riley-Smith,2004,Penn St,10,38.6,15.2,14.0,14.5,0.84,15.2,-,-,0.87,0.74,0.15,0.33,0.24
6,Aaron Thomas,2004,Robert Morris,29,38.6,18.6,16.1,16.7,4.34,11.4,-,-,1.22,0.86,0.20,0.12,0.14
7,Chaz McCrommon,2004,Robert Morris,29,38.6,20.3,16.4,17.0,5.27,14.9,-,-,1.14,0.83,0.28,0.17,0.19
8,Bracey Wright,2004,Indiana,29,38.3,20.4,14.8,15.4,5.31,17.7,-,-,1.04,0.84,0.35,0.14,0.13
9,Chris Thomas,2004,Notre Dame,32,38.3,22.3,16.6,17.3,7.01,19.6,-,-,1.00,0.87,0.22,0.24,0.12
10,Shantay Legans,2004,Fresno St,29,38.2,20.7,15.1,15.8,5.47,14.2,-,-,1.06,0.83,0.25,0.39,0.15
11,Jitim Young,2004,Northwestern,29,38.2,25.2,18.1,18.9,7.91,14.8,-,-,1.21,0.79,0.44,0.14,0.16
12,Anthony Anderson,2004,Massachusetts,29,38.1,16.5,14.2,15.0,3.10,12.3,-,-,1.05,0.79,0.19,0.29,0.17
13,Ben Luber,2004,Penn St,28,38.0,5.3,5.2,5.5,-2.95,11.4,-,-,0.60,0.69,0.17,0.36,0.29
14,Donny Lotz,2004,UNF,1,38.0,12.6,15.0,15.8,0.03,21.0,-,-,0.91,0.57,0.38,0.00,0.33
15,Jason Erickson,2004,Montana St,27,37.9,21.7,17.3,18.3,5.55,14.5,-,-,1.19,0.81,0.24,0.19,0.14
16,Michael Watson,2004,UMKC,29,37.9,23.3,17.1,18.1,6.84,22.1,-,-,1.06,0.87,0.24,0.16,0.12
