,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Tyus Battle,2018,Syracuse,27,38.7,19.1,14.0,14.5,4.30,19.5,64.7,30.2%,1.02,0.81,0.28,0.09,0.12
1,Jon Elmore,2018,Marshall,25,38.4,22.4,22.7,23.6,5.53,21.7,76.7,28.2%,1.00,0.70,0.37,0.31,0.17
2,Justin Wright-Foreman,2018,Hofstra,27,38.3,23.2,18.4,19.2,6.37,22.6,69.0,32.8%,1.09,0.84,0.23,0.14,0.10
3,Ahmad Caver,2018,Old Dominion,25,38.2,20.0,16.4,17.2,4.38,14.5,66.1,22.0%,1.00,0.83,0.27,0.43,0.13
4,Ryan Daly,2018,Delaware,22,38.1,18.7,15.1,15.8,3.27,16.3,65.7,24.8%,1.04,0.91,0.30,0.14,0.07
5,Eric Lockett,2018,FIU,24,38.1,16.3,15.7,16.5,2.49,14.4,70.9,20.3%,0.98,0.83,0.26,0.22,0.14
6,Frank Howard,2018,Syracuse,27,38.0,15.9,13.0,13.7,2.59,17.6,64.7,27.2%,0.86,0.77,0.22,0.29,0.20
7,Matthew Butler,2018,UT Martin,27,38.0,11.6,9.7,10.3,0.40,17.3,66.9,25.8%,0.90,0.83,0.11,0.16,0.19
8,Jalen Adams,2018,Connecticut,26,38.0,18.7,15.3,16.2,3.89,18.9,67.0,28.2%,0.95,0.87,0.17,0.24,0.15
9,Ky Bowman,2018,Boston College,27,37.9,17.7,17.6,18.6,3.49,17.7,69.2,25.6%,0.92,0.81,0.16,0.28,0.17
10,RJ Cole,2018,Howard,27,37.9,21.9,17.9,18.9,5.63,23.2,71.9,32.3%,1.01,0.80,0.32,0.24,0.17
11,O'Shae Brissett,2018,Syracuse,27,37.9,17.5,15.6,16.5,3.40,14.6,64.7,22.5%,1.01,0.85,0.39,0.07,0.11
12,Nat Dixon,2018,Chattanooga,25,37.8,16.7,13.9,14.7,2.75,12.9,67.6,19.1%,1.14,0.84,0.30,0.15,0.14
13,Temple Gibbs,2018,Notre Dame,27,37.7,18.3,14.0,14.8,3.76,13.6,66.1,20.5%,1.19,0.87,0.33,0.22,0.11
14,Kendrick Nunn,2018,Oakland,26,37.6,24.0,21.3,22.6,6.43,22.6,72.3,31.3%,1.13,0.87,0.20,0.17,0.13
15,Devin Cannady,2018,Princeton,24,37.4,20.1,16.1,17.3,4.13,15.5,66.6,23.2%,1.15,0.87,0.21,0.10,0.10
16,Ryan Woolridge,2018,North Texas,24,37.3,15.0,14.0,15.0,1.85,14.7,68.9,21.3%,0.87,0.67,0.34,0.39,0.25
17,Tanner Leissner,2018,New Hampshire,26,37.2,21.7,17.3,18.6,5.25,16.1,64.7,24.8%,1.18,0.88,0.44,0.13,0.10
18,Devonte Graham,2018,Kansas,28,37.2,22.8,19.7,21.2,6.20,16.7,69.6,23.9%,1.06,0.76,0.32,0.43,0.16
19,Martez Walker,2018,Oakland,26,37.1,18.0,15.4,16.6,3.44,14.4,72.3,19.9%,1.22,0.80,0.44,0.11,0.12
20,Matt Mobley,2018,St. Bonaventure,25,37.0,19.7,17.1,18.5,4.10,17.1,68.9,24.8%,1.10,0.79,0.28,0.15,0.13
21,John Konchar,2018,IPFW,26,37.0,23.7,22.2,24.0,6.18,13.4,72.7,18.4%,1.12,0.88,0.25,0.36,0.14
22,Sa'eed Nelson,2018,American,26,37.0,17.4,14.1,15.2,3.16,19.5,66.4,29.3%,0.93,0.76,0.34,0.24,0.20
23,Aaron Holiday,2018,UCLA,27,37.0,21.3,18.7,20.2,5.23,18.3,72.2,25.4%,1.06,0.70,0.33,0.31,0.20
24,Anthony Cowan,2018,Maryland,29,37.0,19.8,16.9,18.3,4.80,15.9,66.0,24.0%,0.98,0.67,0.38,0.32,0.18
25,Shamorie Ponds,2018,St. John's,25,37.0,24.7,20.3,21.9,6.38,21.0,70.8,29.6%,1.05,0.87,0.27,0.23,0.13
26,Peyton Aldridge,2018,Davidson,25,37.0,25.1,21.3,23.1,6.59,17.5,65.0,27.0%,1.19,0.91,0.25,0.15,0.08
27,JoJo Cooper,2018,Wagner,25,36.9,17.7,16.7,18.1,3.15,15.2,68.7,22.2%,0.90,0.73,0.31,0.45,0.22
28,Jonathan Stark,2018,Murray St,25,36.9,25.3,19.1,20.7,6.63,19.1,66.7,28.6%,1.17,0.81,0.26,0.22,0.14
29,Adam Grant,2018,Bryant,25,36.9,12.8,10.7,11.6,0.89,16.4,69.8,23.6%,0.99,0.91,0.19,0.16,0.15
30,Yuta Watanabe,2018,GW,27,36.9,19.4,16.3,17.7,4.23,14.7,65.0,22.7%,1.07,0.91,0.21,0.10,0.11
31,Damontrae Jefferson,2018,Texas Southern,18,36.8,19.6,15.3,16.6,2.88,22.0,72.1,30.5%,1.04,0.83,0.25,0.17,0.15
32,Cameron Reynolds,2018,Tulane,26,36.7,16.2,15.5,16.9,2.56,15.2,69.8,21.7%,1.04,0.92,0.20,0.16,0.09
33,Terrell Lewis,2018,Eastern Illinois,7,36.7,12.1,10.0,10.9,0.16,9.4,65.8,14.3%,1.00,0.88,0.17,0.47,0.21
