,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Dewayne Russell,2017,Grand Canyon,27,38.6,20.0,17.0,17.6,4.74,22.4,70.4,31.8%,0.95,0.79,0.32,0.25,0.12
1,Matt Mobley,2017,St. Bonaventure,32,38.3,20.2,18.1,18.9,5.70,17.4,69.5,25.0%,1.07,0.75,0.32,0.15,0.13
2,Alec Wintering,2017,Portland,17,38.2,20.7,16.9,17.7,3.19,21.6,66.2,32.6%,0.92,0.73,0.33,0.26,0.22
3,T.J. Williams,2017,Northeastern,30,38.2,23.3,19.3,20.2,7.12,20.6,66.9,30.8%,1.04,0.70,0.43,0.26,0.16
4,Nick Coppola,2017,La Monroe,31,37.9,10.8,9.8,10.3,-0.00,10.6,66.2,16.0%,0.91,0.79,0.23,0.40,0.15
5,Braylon Rayson,2017,Central Michigan,30,37.9,18.2,15.6,16.5,4.19,20.8,76.4,27.2%,1.03,0.82,0.31,0.15,0.13
6,Sa'eed Nelson,2017,American,30,37.9,15.6,12.2,12.9,2.69,16.8,64.4,26.1%,0.89,0.74,0.35,0.16,0.17
7,Marcus Keene,2017,Central Michigan,30,37.6,25.9,21.7,23.1,8.45,28.5,76.4,37.3%,1.06,0.78,0.28,0.18,0.16
8,Jaylen Adams,2017,St. Bonaventure,30,37.4,24.8,20.4,21.8,7.84,19.4,69.5,27.9%,1.07,0.69,0.43,0.34,0.18
9,Lamarr Kimble,2017,St Joseph's,24,37.4,12.7,10.9,11.7,0.82,18.6,68.8,27.0%,0.84,0.79,0.25,0.24,0.18
10,Jaylon Brown,2017,Evansville,31,37.3,21.8,17.7,18.9,6.30,19.8,66.7,29.7%,1.05,0.74,0.38,0.15,0.13
11,Andrew White,2017,Syracuse,34,37.2,20.6,16.5,17.7,6.15,15.5,67.2,23.0%,1.19,0.86,0.27,0.07,0.11
12,Jaleen Smith,2017,New Hampshire,29,37.2,19.3,17.3,18.6,4.55,15.9,66.5,23.9%,1.01,0.79,0.25,0.25,0.19
13,Yettra Specks,2017,Jackson St,29,37.2,16.7,12.6,13.5,3.17,14.1,64.9,21.7%,1.08,0.85,0.30,0.19,0.14
14,Bogdan Bliznyuk,2017,Eastern Wash.,32,37.2,24.4,20.6,22.1,8.01,20.4,69.3,29.5%,1.04,0.79,0.29,0.20,0.15
15,Jared Brownridge,2017,Santa Clara,32,37.2,19.1,13.9,15.0,4.92,17.0,63.8,26.7%,1.08,0.84,0.25,0.16,0.10
16,Jonathan Stark,2017,Murray St,31,37.1,23.0,18.9,20.3,6.98,21.8,70.5,30.9%,1.02,0.81,0.20,0.24,0.13
17,Quinton Hooker,2017,North Dakota,29,37.0,22.6,19.4,21.0,6.27,16.7,72.6,23.0%,1.16,0.84,0.28,0.22,0.11
18,Peyton Aldridge,2017,Davidson,32,36.9,25.4,22.8,24.7,8.58,16.9,68.8,24.5%,1.21,0.87,0.27,0.13,0.10
