,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
236,Dorian Green,2013,Colorado St,32,33.8,18.1,11.8,13.9,3.90,13.4,64.1,20.9%,0.99,0.74,0.34,0.28,0.14
237,Travis Releford,2013,Kansas,37,33.8,19.3,14.4,17.1,5.29,9.3,68.8,13.5%,1.27,0.78,0.33,0.28,0.17
238,Dylan Garrity,2013,Sacramento St,26,33.8,18.0,12.8,15.2,3.15,11.8,63.2,18.6%,0.99,0.67,0.31,0.43,0.21
239,Miles Cartwright,2013,Penn,30,33.8,14.2,11.1,13.2,1.71,15.3,67.9,22.5%,0.88,0.67,0.36,0.25,0.23
240,Brandon Triche,2013,Syracuse,40,33.8,17.1,11.7,13.9,4.19,12.9,65.6,19.7%,1.05,0.86,0.33,0.28,0.21
241,Melquan Bolding,2013,Fairleigh Dickinson,31,33.8,14.2,10.5,12.4,1.78,14.3,69.8,20.4%,0.94,0.79,0.33,0.12,0.16
242,Sherwood Brown,2013,FGCU,35,33.8,20.7,15.7,18.6,5.79,14.1,69.7,20.3%,1.11,0.88,0.24,0.09,0.13
243,Devon Moore,2013,James Madison,36,33.8,18.7,13.6,16.1,4.76,10.8,64.2,16.8%,1.02,0.71,0.39,0.46,0.23
244,Keith Appling,2013,Michigan St,35,33.7,17.1,11.9,14.1,3.68,14.2,63.9,22.2%,0.92,0.74,0.32,0.24,0.17
245,Jamal Webb,2013,North Dakota,31,33.7,15.6,12.3,14.6,2.47,11.4,67.1,17.0%,0.85,0.74,0.21,0.37,0.27
246,Kyle Gaillard,2013,William & Mary,29,33.7,14.1,11.8,13.9,1.57,7.6,64.4,11.9%,1.09,0.78,0.26,0.28,0.19
247,Evan Hymes,2013,Siena,31,33.7,7.9,5.6,6.7,-1.49,13.1,64.5,20.3%,0.81,0.75,0.22,0.28,0.30
248,Ty Greene,2013,USC Upstate,31,33.7,15.4,10.3,12.2,2.38,12.1,66.9,18.1%,1.04,0.88,0.26,0.20,0.13
249,Glenn Robinson,2013,Michigan,38,33.7,20.1,13.8,16.3,5.92,8.2,64.3,12.7%,1.35,0.92,0.34,0.13,0.10
250,Vincent Council,2013,Providence,24,33.7,15.0,11.5,13.6,1.66,12.9,66.2,19.4%,0.81,0.81,0.30,0.53,0.21
251,Stan Okoye,2013,VMI,28,33.6,26.3,20.5,24.4,7.23,21.0,72.2,29.1%,1.04,0.84,0.32,0.12,0.15
252,Jarvis Threatt,2013,Delaware,30,33.6,18.7,13.4,16.0,3.95,14.6,67.6,21.6%,0.89,0.72,0.44,0.22,0.17
