,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
0,Corey Wickware,2010,SIU Edwardsville,1,44.0,29.7,27.0,24.5,0.41,18.0,69.3,25.9%,1.45,0.67,0.78,0.28,0.06
1,Frankie Dobbs,2010,Bryant,1,40.0,7.8,7.0,7.0,-0.06,14.0,64.5,21.7%,0.64,0.79,0.00,0.29,0.21
2,Jawan Carter,2010,Delaware,31,39.2,20.3,15.2,15.5,5.74,17.6,65.2,26.9%,1.04,0.76,0.39,0.28,0.17
3,Frank Turner,2010,Canisius,32,38.3,21.7,17.9,18.7,6.61,16.8,66.7,25.2%,0.96,0.68,0.39,0.34,0.20
4,C.J. Reed,2010,Bethune Cookman,29,38.0,13.2,9.5,10.0,1.28,19.0,60.8,31.3%,0.79,0.78,0.24,0.20,0.21
5,Charlie Westbrook,2010,South Dakota,1,38.0,25.0,22.0,23.2,0.27,19.2,74.6,25.7%,1.25,1.20,0.16,0.00,0.05
6,Michael Thompson,2010,Northwestern,34,37.7,17.2,12.9,13.7,4.09,12.5,62.9,19.8%,1.14,0.84,0.26,0.33,0.14
7,Joe Zeglinski,2010,Hartford,29,37.7,16.3,12.5,13.3,3.00,16.4,64.3,25.6%,1.00,0.93,0.14,0.10,0.11
8,Luke Babbitt,2010,Nevada,33,37.5,27.9,24.4,26.0,10.52,18.6,70.1,26.5%,1.19,0.81,0.35,0.11,0.13
9,Will Walker,2010,DePaul,32,37.5,17.0,10.8,11.5,3.70,16.7,62.6,26.6%,0.99,0.94,0.23,0.15,0.10
10,Tory Jackson,2010,Notre Dame,35,37.5,14.4,11.3,12.1,2.31,10.4,63.9,16.2%,0.93,0.79,0.26,0.51,0.19
11,Johnathon Jones,2010,Oakland,33,37.5,16.9,14.1,15.1,3.75,13.6,69.6,19.5%,0.93,0.71,0.26,0.47,0.24
12,Ben Smith,2010,Jacksonville,32,37.4,23.8,16.6,17.8,7.71,17.4,68.1,25.6%,1.12,0.78,0.45,0.21,0.12
13,Tasmin Mitchell,2010,LSU,31,37.3,22.4,18.3,19.6,6.67,16.0,63.5,25.2%,1.05,0.91,0.27,0.12,0.14
14,C.J. Wilkerson,2010,NCCU,25,37.3,13.7,10.3,11.0,1.34,15.9,67.0,23.7%,0.99,0.80,0.40,0.15,0.20
15,Kevin Anderson,2010,Richmond,36,37.2,20.9,14.9,16.0,6.71,17.3,65.7,26.3%,1.02,0.83,0.25,0.15,0.14
16,Jon Diebler,2010,Ohio St,36,37.1,16.6,11.9,12.9,3.82,10.5,64.4,16.4%,1.22,0.86,0.19,0.14,0.10
17,Zack Rosen,2010,Penn,28,37.1,21.1,16.0,17.3,5.30,15.9,64.2,24.8%,1.11,0.72,0.37,0.28,0.21
18,Rodney Green,2010,La Salle,30,37.1,17.8,14.6,15.7,3.85,21.0,68.3,30.7%,0.88,0.78,0.25,0.20,0.19
19,Dominique Jones,2010,South Florida,33,37.1,27.2,20.0,21.6,9.99,20.2,64.5,31.3%,1.06,0.74,0.42,0.18,0.15
20,Zach Plackemeier,2010,IPFW,29,37.0,10.5,9.2,9.9,-0.17,10.2,67.6,15.1%,0.85,0.74,0.17,0.35,0.24
21,Charles Jenkins,2010,Hofstra,31,36.9,24.1,18.5,20.0,7.53,19.7,69.1,28.5%,1.06,0.81,0.32,0.20,0.16
22,Aubrey Coleman,2010,Houston,32,36.8,29.8,21.9,23.7,11.12,23.1,71.7,32.2%,1.11,0.91,0.41,0.11,0.09
23,Jason Bohannon,2010,Wisconsin,33,36.8,17.9,12.7,13.8,4.28,10.1,59.4,16.9%,1.16,0.83,0.21,0.21,0.12
24,Derek Williams,2010,SMU,29,36.8,20.5,13.7,14.9,5.13,16.7,61.9,27.0%,1.01,0.74,0.37,0.21,0.15
25,Matthew Dellavedova,2010,St Mary's,32,36.8,17.4,13.8,15.0,3.83,11.2,66.3,16.9%,1.12,0.84,0.30,0.41,0.18
26,Matt Gatens,2010,Iowa,31,36.7,13.9,11.1,12.1,1.76,13.6,61.5,22.1%,0.92,0.78,0.24,0.24,0.20
27,Eddie Williams,2010,Stephen F. Austin,30,36.7,21.3,15.6,17.0,5.73,11.5,60.9,18.9%,1.15,0.85,0.32,0.22,0.17
28,Talor Battle,2010,Penn St,32,36.7,22.8,16.5,18.0,7.01,18.4,62.0,29.6%,0.99,0.80,0.29,0.23,0.13
29,Julius Wells,2010,James Madison,32,36.7,14.1,11.6,12.6,1.94,17.8,66.6,26.8%,0.91,0.80,0.21,0.12,0.18
30,Ryan Thompson,2010,Rider,33,36.6,20.7,15.9,17.3,5.94,15.4,68.9,22.4%,1.11,0.80,0.42,0.18,0.14
31,Jon Scheyer,2010,Duke,34,36.6,26.5,18.9,20.7,9.73,16.0,66.3,24.1%,1.18,0.86,0.35,0.32,0.10
32,Damian Saunders,2010,Duquesne,31,36.6,25.6,22.5,24.6,8.33,14.5,71.3,20.3%,1.03,0.84,0.33,0.17,0.21
33,Mike Gerrity,2010,USC,21,36.6,12.2,9.3,10.2,0.51,10.7,62.7,17.1%,0.86,0.69,0.31,0.32,0.20
34,Kelvin Lewis,2010,Houston,32,36.5,19.5,14.6,16.0,5.06,12.6,71.7,17.6%,1.24,1.00,0.19,0.09,0.06
35,Tyren Johnson,2010,La Lafayette,28,36.5,25.7,20.9,22.9,7.55,18.0,65.6,27.4%,1.01,0.79,0.26,0.19,0.20
36,A.J. Slaughter,2010,WKU,34,36.5,21.9,15.5,17.0,6.85,17.0,66.1,25.7%,1.03,0.77,0.31,0.25,0.16
37,Ishmael Smith,2010,Wake Forest,32,36.5,16.6,14.0,15.3,3.33,16.3,71.2,22.9%,0.81,0.83,0.18,0.36,0.18
38,David Lighty,2010,Ohio St,36,36.4,18.3,14.0,15.4,4.89,11.6,64.4,18.1%,1.09,0.77,0.35,0.26,0.20
39,Adrian Oliver,2010,San Jose St,30,36.4,25.1,18.9,20.7,7.78,20.8,66.7,31.1%,1.10,0.82,0.33,0.14,0.15
40,John Shurna,2010,Northwestern,34,36.4,23.7,18.5,20.3,7.95,15.7,62.9,24.9%,1.16,0.89,0.26,0.17,0.13
41,Mickey McConnell,2010,St Mary's,32,36.4,20.9,15.9,17.5,5.83,11.8,66.3,17.9%,1.18,0.79,0.22,0.43,0.18
42,Wes Channels,2010,Austin Peay,30,36.4,18.6,14.1,15.5,4.22,16.6,68.0,24.4%,1.03,0.81,0.32,0.19,0.17
43,Matt Bouldin,2010,Gonzaga,31,36.3,20.9,17.1,18.8,5.66,15.2,69.2,22.0%,1.05,0.75,0.29,0.27,0.16
44,Manny Harris,2010,Michigan,29,36.3,24.9,17.6,19.4,7.38,16.9,61.7,27.3%,1.07,0.83,0.36,0.23,0.17
45,Landry Fields,2010,Stanford,32,36.3,29.5,22.8,25.2,10.80,19.5,67.0,29.1%,1.13,0.81,0.41,0.14,0.13
46,Jack Eggleston,2010,Penn,28,36.3,16.7,14.4,15.9,2.97,12.5,64.2,19.4%,1.04,0.85,0.27,0.16,0.15
47,Zach Urbanus,2010,Citadel,30,36.2,14.2,9.7,10.7,1.84,10.5,59.5,17.7%,1.04,0.85,0.13,0.24,0.14
48,Derek Needham,2010,Fairfield,32,36.2,17.0,12.7,14.0,3.54,18.4,66.9,27.5%,0.89,0.77,0.27,0.28,0.20
49,Bo Spencer,2010,LSU,30,36.2,11.8,7.8,8.6,0.52,17.4,63.5,27.4%,0.84,0.79,0.23,0.15,0.19
50,Ceola Clark,2010,Western Ill,25,36.2,25.5,17.6,19.4,6.59,12.4,61.6,20.1%,1.19,0.82,0.34,0.25,0.14
51,Tweety Carter,2010,Baylor,30,36.2,21.5,16.1,17.8,5.76,14.5,67.0,21.7%,1.05,0.80,0.21,0.41,0.16
52,Ryan Brooks,2010,Temple,35,36.2,17.5,12.7,14.0,4.23,13.9,61.7,22.5%,1.03,0.89,0.21,0.17,0.09
53,Josh White,2010,North Texas,31,36.1,14.0,9.8,10.9,1.78,13.8,69.0,20.1%,1.02,0.71,0.42,0.25,0.23
54,Matt Janning,2010,Northeastern,33,36.1,20.0,13.4,14.9,5.45,16.0,61.3,26.0%,0.97,0.81,0.27,0.19,0.13
55,Jaytornah Wisseh,2010,Long Island,29,36.0,20.0,15.3,17.0,4.77,19.7,68.8,28.6%,0.89,0.70,0.34,0.29,0.21
56,Ronald Moore,2010,Siena,34,36.0,11.9,10.9,12.0,0.68,10.4,69.8,14.9%,0.67,0.75,0.22,0.74,0.28
57,Cameron Jones,2010,Northern Arizona,26,36.0,20.4,15.8,17.6,4.47,18.9,67.4,28.0%,1.02,0.77,0.26,0.14,0.17
58,Josh Vaughan,2010,North Dakota St,27,36.0,16.2,13.9,15.4,2.60,13.8,69.1,20.0%,0.98,0.84,0.22,0.25,0.14
59,Akeem Bennett,2010,St. Francis (NY),29,36.0,17.6,14.0,15.5,3.51,16.5,65.4,25.2%,0.88,0.70,0.43,0.24,0.26
60,Broderick Gilchrest,2010,Idaho St,27,36.0,19.0,12.5,13.9,3.97,15.0,64.1,23.5%,1.00,0.74,0.31,0.22,0.20
61,Mike Scott,2010,Fairleigh Dickinson,31,36.0,15.4,13.6,15.1,2.54,14.1,68.3,20.6%,0.88,0.64,0.32,0.38,0.26
62,Bilal Benn,2010,Niagara,30,36.0,19.8,18.0,20.0,4.82,13.6,69.2,19.7%,0.99,0.92,0.24,0.23,0.18
63,John Roberson,2010,Texas Tech,35,35.9,17.2,13.8,15.4,3.97,13.9,73.3,19.0%,1.04,0.71,0.37,0.39,0.20
64,Michael Deloach,2010,Norfolk St,30,35.9,23.9,18.0,20.1,7.02,21.3,73.1,29.2%,1.02,0.74,0.32,0.16,0.19
65,Malcolm Delaney,2010,Virginia Tech,33,35.8,23.0,16.4,18.3,7.16,19.2,68.7,27.9%,1.05,0.76,0.43,0.23,0.16
66,Chris Howard,2010,South Florida,33,35.8,15.2,11.7,13.1,2.57,9.9,64.5,15.3%,1.04,0.79,0.40,0.38,0.17
67,Kyle Singler,2010,Duke,34,35.8,23.0,17.6,19.7,7.35,15.4,66.3,23.2%,1.14,0.90,0.32,0.15,0.13
68,Da'Sean Butler,2010,West Virginia,38,35.8,23.0,17.2,19.2,8.26,15.5,64.1,24.2%,1.11,0.85,0.36,0.20,0.12
