,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1946,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
1947,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
1948,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
1949,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
1950,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
1951,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
1952,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
1953,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
1954,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
1955,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
